0fb10a3 0fa2d11 0fa63ea 
0fa8de5 0f9a82b 0f9e05b 
0fa4c86 0f96cb9 0f9a0fa 
0faa7d5 0f9cdc6 0f9fe51 
0fb218a 0fa4541 0fa776f 
0fb1292 0fa2f50 0fa6628 
0fa8f61 0f9a9f4 0f9e20c 
0fa4e13 0f96e89 0f9a2a5 
0faa93b 0f9cf6d 0f9ffd2 
0fb22b1 0fa46b8 0fa78bb 
0fb1442 0fa3142 0fa6805 
0fa9130 0f9abe5 0f9e40d 
0fa4fdd 0f9704d 0f9a48b 
0faaa9a 0f9d0ae 0fa0136 
0fb244b 0fa4827 0fa7a3c 
0fb1698 0fa337e 0fa6a30 
0fa941f 0f9aed2 0f9e6d0 
0fa5218 0f972a7 0f9a6b9 
0faac81 0f9d2da 0fa034b 
0fb2586 0fa49bf 0fa7bd9 
0fb1670 0fa33bf 0fa6a8f 
0fa932d 0f9ae58 0f9e662 
0fa5114 0f97221 0f9a62f 
0faab1b 0f9d1ec 0fa0254 
0fb23e1 0fa4878 0fa7a8c 
0fb1503 0fa3272 0fa6945 
0fa919a 0f9ac9c 0f9e4d1 
0fa4f2f 0f96fcc 0f9a409 
0faa9a3 0f9cfd9 0fa0057 
0fb226d 0fa4667 0fa786e 
0fb1325 0fa3028 0fa66d7 
0fa8f71 0f9aa3f 0f9e24b 
0fa4cbe 0f96d5b 0f9a17d 
0faa6d3 0f9cd18 0f9fd92 
0fb2019 0fa4420 0fa7638 
0fb1142 0fa2e47 0fa650f 
0fa8d83 0f9a855 0f9e084 
0fa4b1b 0f96bc2 0f99ffe 
0faa53e 0f9cba3 0f9fc2d 
0fb1e25 0fa424c 0fa746d 
0fb0f0e 0fa2c24 0fa6306 
0fa8bac 0f9a668 0f9de99 
0fa491b 0f96998 0f99dcd 
0faa319 0f9c94f 0f9f9d4 
0fb1bb3 0fa3fb5 0fa71dd 
0fb0cd8 0fa29d1 0fa60a1 
0fa89af 0f9a460 0f9dc85 
0fa4666 0f966d1 0f99b0e 
0fa9ff3 0f9c611 0f9f692 
0fb187d 0fa3c6e 0fa6e85 
0fb09c8 0fa26c4 0fa5d8b 
0fa8671 0f9a12f 0f9d950 
0fa4353 0f963d8 0f99810 
0fa9cf9 0f9c330 0f9f3b2 
0fb1564 0fa3958 0fa6b6b 
0fb0646 0fa2332 0fa59f6 
0fa82ae 0f99d4c 0f9d569 
0fa3f33 0f95f9e 0f993c7 
0fa986e 0f9be95 0f9ef02 
0fb11bf 0fa35b7 0fa67c9 
0fb0331 0fa2025 0fa56e4 
0fa7f55 0f999f7 0f9d212 
0fa3c38 0f95c98 0f990ca 
0fa95c3 0f9bbd5 0f9ec4f 
0fb0dda 0fa31bb 0fa63c9 
0fafef2 0fa1bc8 0fa528b 
0fa7abe 0f99549 0f9cd73 
0fa379f 0f957f8 0f98c36 
0fa917a 0f9b791 0f9e812 
0fb0a86 0fa2e6e 0fa6088 
0fafb12 0fa17f6 0fa4ebd 
0fa768a 0f9912b 0f9c93d 
0fa33f1 0f9545e 0f9887d 
0fa8e69 0f9b496 0f9e501 
0fb06b8 0fa2aaf 0fa5cbc 
0faf70c 0fa1402 0fa4abe 
0fa72b0 0f98d75 0f9c598 
0fa3023 0f950b9 0f984e8 
0fa89d1 0f9b018 0f9e093 
0fb02ab 0fa26b6 0fa58d7 
0faf329 0fa1024 0fa4709 
0fa6e75 0f9892d 0f9c17d 
0fa2b16 0f94b9a 0f97ff1 
0fa84ca 0f9aae8 0f9db91 
0fafd13 0fa20f2 0fa5349 
0faed4d 0fa0a1d 0fa4125 
0fa68db 0f98369 0f9bbc8 
0fa2625 0f94678 0f97ae4 
0fa7fa6 0f9a5a5 0f9d65d 
0faf74e 0fa1b0c 0fa4d62 
0fae7b2 0fa0470 0fa3b70 
0fa63a1 0f97e1a 0f9b677 
0fa2076 0f940b4 0f9752f 
0fa79cc 0f99fb3 0f9d089 
0faf1df 0fa1585 0fa47fe 
0fae1e8 0f9fe80 0fa359d 
0fa5d3c 0f9779c 0f9b009 
0fa192a 0f9395f 0f96ddc 
0fa721c 0f99801 0f9c8bc 
0fae9e9 0fa0d8f 0fa3fe8 
0fad9fd 0f9f699 0fa2daa 
0fa54b2 0f96f23 0f9a795 
0fa10ef 0f9313b 0f965bd 
0fa6a1d 0f99026 0f9c0e9 
0fae1f2 0fa05c2 0fa3826 
0fad220 0f9eeed 0fa25ff 
0fa4d26 0f967b0 0f9a014 
