0fabc17 0fa2b4b 0fa0fb6 
0fafb72 0fa669d 0fa515d 
0fb454d 0fab069 0fa99db 
0fb35bc 0faa4e6 0fa872c 
0fae2bc 0fa5473 0fa338b 
0fac0d0 0fa3017 0fa145b 
0faffb5 0fa6aee 0fa5589 
0fb48b5 0fab3d7 0fa9d2f 
0fb38d0 0faa7e8 0fa8a2f 
0fae5df 0fa576f 0fa3697 
0fac3bf 0fa32b8 0fa172f 
0fb026e 0fa6d36 0fa5829 
0fb4aa0 0fab54e 0fa9f2d 
0fb3a48 0faa8f3 0fa8bd7 
0fae718 0fa5845 0fa37fa 
0fac4a8 0fa335a 0fa1853 
0fb02f8 0fa6da3 0fa58e2 
0fb4b4c 0fab5f6 0fa9fcc 
0fb3a96 0faa94c 0fa8bfc 
0fae6fd 0fa584a 0fa37cc 
0fac467 0fa3336 0fa17fa 
0fb0231 0fa6cde 0fa580c 
0fb4a18 0fab4a0 0fa9ea1 
0fb39d4 0faa852 0fa8b44 
0fae655 0fa5749 0fa3714 
0fac366 0fa31de 0fa16e7 
0fb0190 0fa6c01 0fa5755 
0fb4967 0fab3d2 0fa9dda 
0fb37d0 0faa644 0fa8939 
0fae350 0fa545a 0fa3419 
0fabf85 0fa2e20 0fa1319 
0fafca8 0fa6733 0fa5284 
0fb4469 0faaee3 0fa98e9 
0fb3352 0faa1d0 0fa84c4 
0fadfed 0fa50f6 0fa30b3 
0fabc79 0fa2b0e 0fa1003 
0faf9b8 0fa6442 0fa4f89 
0fb40f0 0faab6b 0fa9563 
0fb2fb6 0fa9e25 0fa8113 
0fadbe6 0fa4cce 0fa2c82 
0fab95b 0fa27c9 0fa0cb2 
0faf73b 0fa61a3 0fa4cd4 
0fb3e69 0faa8ca 0fa92b0 
0fb2cb8 0fa9b18 0fa7df8 
0fad80a 0fa48ee 0fa28b9 
0fab45b 0fa22ba 0fa07d9 
0faf23a 0fa5c7f 0fa47f0 
0fb3a19 0faa458 0fa8e73 
0fb2851 0fa969d 0fa799f 
0fad384 0fa4461 0fa2434 
0faafac 0fa1e15 0fa0320 
0faecc6 0fa5726 0fa427b 
0fb3362 0fa9dbd 0fa87c5 
0fb21ac 0fa900d 0fa72ff 
0facd67 0fa3e52 0fa1e0e 
0faaa55 0fa18c6 0f9fdb4 
0fae742 0fa51a3 0fa3ce5 
0fb2ddb 0fa982b 0fa8222 
0fb1be1 0fa8a3a 0fa6d25 
0fac792 0fa387c 0fa1847 
0faa40d 0fa1288 0f9f789 
0fae0cf 0fa4b3b 0fa3689 
0fb271d 0fa918a 0fa7b8a 
0fb1520 0fa839b 0fa6683 
0fac110 0fa320f 0fa11d5 
0fa9d5f 0fa0be2 0f9f0e7 
0fada81 0fa44f9 0fa3049 
0fb21f5 0fa8c5f 0fa7665 
0fb113d 0fa7fa3 0fa629e 
0fabd56 0fa2e3b 0fa0e0a 
0fa9a7b 0fa08ed 0f9edf3 
0fad836 0fa429b 0fa2de9 
0fb1f08 0fa8966 0fa735b 
0fb0c48 0fa7aab 0fa5da0 
0fab7b8 0fa2898 0fa0875 
0fa9486 0fa02e6 0f9e809 
0fad1bf 0fa3c12 0fa2782 
0fb18af 0fa82f2 0fa6d15 
0fb06d0 0fa7513 0fa5830 
0fab2a4 0fa2361 0fa036a 
0fa8f7a 0f9fdb7 0f9e2ff 
0facc68 0fa369d 0fa2237 
0fb12f8 0fa7d28 0fa6770 
0faffbc 0fa6dec 0fa5128 
0faaa99 0fa1b42 0f9fb6a 
0fa86cc 0f9f4fe 0f9da5f 
0fac387 0fa2db2 0fa1945 
0fb095c 0fa737e 0fa5dbb 
0faf57e 0fa63a3 0fa46e2 
0fa9f8a 0fa102a 0f9f059 
0fa7bed 0f9ea0b 0f9cf77 
0fab92d 0fa233e 0fa0eda 
0faffaa 0fa69b4 0fa53ee 
0faed0d 0fa5b0d 0fa3e46 
0fa9823 0fa0897 0f9e8b9 
0fa7499 0f9e297 0f9c7f0 
0fab18c 0fa1b8a 0fa071a 
0faf742 0fa6144 0fa4b6c 
0fae44f 0fa525f 0fa357c 
0fa8f82 0fa001e 0f9e022 
0fa6bc7 0f9d9f9 0f9bf25 
0faa7c7 0fa1204 0f9fd5a 
0faecc7 0fa5702 0fa40ff 
0fad9ed 0fa4821 0fa2b1d 
0fa85c9 0f9f678 0f9d660 
0fa6213 0f9d05b 0f9b570 
0fa9e48 0fa089d 0f9f3dc 
0fae38f 0fa4ded 0fa37db 
0facfc3 0fa3e18 0fa211a 
0fa7abc 0f9eb8b 0f9cb6c 
0fa5692 0f9c4f5 0f9aa04 
0fa923d 0f9fca6 0f9e7e0 
0fad69c 0fa4103 0fa2ada 
0fac1d1 0fa3034 0fa1308 
0fa6ad6 0f9dbb3 0f9bb73 
0fa4501 0f9b36b 0f9985d 
0fa7f2a 0f9e99e 0f9d4ba 
0fac36d 0fa2dd5 0fa1792 
0faadfc 0fa1c59 0f9ff20 
0fa5655 0f9c72f 0f9a6e6 
0fa30d5 0f99f39 0f98425 
0fa6b38 0f9d5a3 0f9c0c4 
0faaed6 0fa193b 0fa02fd 
0fa99d4 0fa0832 0f9eb00 
0fa433c 0f9b40f 0f993d8 
0fa1dd2 0f98c2d 0f97132 
0fa58f4 0f9c353 0f9ae89 
0fa9d67 0fa07b1 0f9f18c 
0fa8906 0f9f735 0f9da28 
0fa32d0 0f9a375 0f98368 
0fa0e23 0f97c4d 0f96180 
0fa4a06 0f9b42e 0f99f95 
