0fe087f 00004c5 0fd4dca 
0fd6b90 000543e 0fca6c2 
0fcbd4b 000d755 0fbfbd4 
0fcf1fb 000c878 0fc3b81 
0fdc224 0004122 0fd0f4f 
0fe0eed 000066e 0fd5405 
0fd70eb 00057d3 0fcac30 
0fcc15b 000daee 0fbffcf 
0fcf574 000cb2d 0fc3edb 
0fdc5d5 00042b7 0fd12c8 
0fe13ad 000066b 0fd586a 
0fd7662 0005697 0fcb148 
0fcc613 000d97e 0fc0424 
0fcf891 000ca4e 0fc41ad 
0fdc7f8 0004249 0fd14ea 
0fe1524 000065c 0fd5a2c 
0fd7720 00056e5 0fcb23e 
0fcc53c 000dad2 0fc0377 
0fcf540 000cdb2 0fc3e6c 
0fdc3c5 00044b8 0fd1030 
0fe1138 00003bf 0fd54d2 
0fd70c0 0005a98 0fcab38 
0fcbcca 000e26b 0fbfabd 
0fceb2c 000d698 0fc340c 
0fdb8c1 0004a95 0fd04e4 
0fe0646 0fffe0b 0fd4958 
0fd6582 0005fa3 0fc9fbf 
0fcaf58 000eea5 0fbed3c 
0fcdbfc 000e446 0fc24c4 
0fda8e7 00054bc 0fcf4da 
0fdf74e 0fff9e9 0fd3a2c 
0fd56d5 00067f7 0fc90f9 
0fca03c 000fcce 0fbde06 
0fccc56 000f2fa 0fc150c 
0fd99b3 0005f5a 0fce59f 
0fde90e 0fff689 0fd2c05 
0fd495b 0007077 0fc838b 
0fc926a 0010a60 0fbd03d 
0fcbda0 0010155 0fc0657 
0fd8b83 0006a74 0fcd76b 
0fddc45 0fff4a9 0fd1f3f 
0fd3cf9 00078f6 0fc7727 
0fc8509 0011791 0fbc2e8 
0fcafa2 0010ece 0fbf86e 
0fd7dbd 000758b 0fcc9b9 
0fdcec2 0fff48a 0fd11d2 
0fd2fb1 0008324 0fc69cd 
0fc77c9 00124a0 0fbb579 
0fca172 0011c9b 0fbea08 
0fd6ef5 0008257 0fcbae2 
0fdc12e 0fff61c 0fd0437 
0fd2374 0008d25 0fc5d72 
0fc6b5a 0013121 0fba8fd 
0fc945e 0012997 0fbdd0f 
0fd629a 0008d02 0fcae96 
0fdb723 0fff564 0fcfa5a 
0fd1a9a 000939d 0fc54a6 
0fc623d 0013ad6 0fb9fdf 
0fc8b6a 00132eb 0fbd3f7 
0fd5a6a 000925c 0fca675 
0fdaf71 0fff02b 0fcf304 
0fd1316 000978d 0fc4d05 
0fc5a43 0014359 0fb97c5 
0fc8301 0013ba0 0fbcb81 
0fd5257 00095aa 0fc9e1f 
0fda82e 0ffe59a 0fceafe 
0fd0cbb 00097fc 0fc46ad 
0fc53db 0014a12 0fb916d 
0fc7bdb 00142cc 0fbc453 
0fd4a78 000978b 0fc9646 
0fda089 0ffdb2a 0fce397 
0fd063a 000982c 0fc406a 
0fc4d86 001505a 0fb8b2d 
0fc73c9 0014a90 0fbbc4e 
0fd41f6 0009b3e 0fc8da5 
0fd98b4 0ffd50c 0fcdb66 
0fcfdc8 0009c69 0fc3780 
0fc43c0 00159a9 0fb8105 
0fc68b3 00154b2 0fbb0eb 
0fd366b 000a482 0fc81e4 
0fd8de2 0ffd587 0fcd068 
0fcf34a 000a4a4 0fc2cec 
0fc37d7 0016498 0fb751a 
0fc5b13 0016106 0fba347 
0fd2884 000b24b 0fc73ec 
0fd80f6 0ffdca3 0fcc359 
0fce6cb 000b170 0fc2049 
0fc2a91 00170fa 0fb67b2 
0fc4c7a 0016e85 0fb9494 
0fd19ea 000c306 0fc6538 
0fd7325 0ffe9a7 0fcb562 
0fcd9ba 000c01e 0fc131a 
0fc1cd7 0017ded 0fb59d7 
0fc3df1 0017c06 0fb85d2 
0fd0a52 000d5d7 0fc5578 
0fd642b 0fffed7 0fca622 
0fccaef 000d2ad 0fc0433 
0fc0d41 0018c85 0fb4a31 
0fc2d79 0018b2d 0fb7538 
0fcf9ba 000ebcb 0fc44bf 
0fd54dd 00028c0 0fc9626 
0fcbc2a 000eb5f 0fbf515 
0fbfe9f 0019a26 0fb3b22 
0fc1d1f 0019a14 0fb6499 
0fce8e7 0010470 0fc33bb 
0fd4449 00067e4 0fc85a2 
0fcabc1 001077a 0fbe4d1 
0fbed7a 001aa4b 0fb2a06 
0fc0b5b 001aaaa 0fb52cc 
0fcd683 0011e89 0fc2164 
0fd3292 000aabf 0fc741b 
0fc9b3e 001226d 0fbd42f 
0fbdd2f 001b9b8 0fb1976 
0fbfa29 001bad8 0fb4149 
0fcc40c 0013473 0fc0ebc 
0fd1f41 000e1de 0fc6107 
0fc88e3 0013dff 0fbc1db 
0fbca70 001cbc8 0fb06c5 
0fbe638 001cdb7 0fb2d6a 
0fcb010 001479e 0fbfaaa 
0fd0c2d 000f7bd 0fc4e02 
