0fb658b 0007a47 0fa9613 
0fb2abd 0024eab 0fa67e0 
0fbcf38 0ff86a7 0fb14f7 
0fc6f8b 0fda9a7 0fbafcd 
0fc32ab 0fdd1cf 0fb65a8 
0fb6c63 000794d 0fa9ca6 
0fb2f2a 0025050 0fa6c0f 
0fbd227 0ff8947 0fb17d0 
0fc725b 0fda90d 0fbb2a0 
0fc3677 0fdcf16 0fb6967 
0fb7052 0006f84 0faa076 
0fb312d 0024e56 0fa6de9 
0fbd245 0ff8869 0fb17e1 
0fc7379 0fda855 0fbb3ce 
0fc3852 0fdcc2b 0fb6b54 
0fb716a 000671d 0faa184 
0fb3108 0024dc4 0fa6dc3 
0fbd1c0 0ff880d 0fb176c 
0fc730c 0fda6ae 0fbb371 
0fc3861 0fdc8be 0fb6b6d 
0fb71b7 0005fe5 0faa1d3 
0fb30da 0024d6d 0fa6d81 
0fbd0e4 0ff8958 0fb166b 
0fc72dd 0fda5fe 0fbb334 
0fc395b 0fdc5e0 0fb6c65 
0fb71da 0005706 0faa1eb 
0fb2f79 0024d57 0fa6c13 
0fbcefd 0ff899f 0fb1497 
0fc71a9 0fda48f 0fbb22e 
0fc398d 0fdc3a4 0fb6cc1 
0fb72c5 0005251 0faa2cf 
0fb2efa 0024eb5 0fa6b88 
0fbcd9b 0ff8e35 0fb133d 
0fc7141 0fda4a0 0fbb1da 
0fc3a85 0fdc223 0fb6dc3 
0fb732d 0004d2b 0faa333 
0fb2d97 0025080 0fa6a15 
0fbcb94 0ff9321 0fb113e 
0fc6f88 0fda391 0fbb037 
0fc39c8 0fdbf30 0fb6cff 
0fb72f3 000480a 0faa2d1 
0fb2c9f 00251b0 0fa68ee 
0fbc96a 0ff9737 0fb0ef4 
0fc6e14 0fda2d3 0fbaec7 
0fc398f 0fdbd93 0fb6ce6 
0fb71d6 000458b 0faa1ba 
0fb29e9 0025610 0fa663e 
0fbc63d 0ff9f7e 0fb0bde 
0fc6c07 0fda2c3 0fbaccf 
0fc387e 0fdbc56 0fb6bdd 
0fb7132 00045b3 0faa0f9 
0fb2755 0025b78 0fa637f 
0fbc24b 0ffabf2 0fb07c5 
0fc68e7 0fda319 0fba99d 
0fc368e 0fdbbe3 0fb69d8 
0fb6f66 000496c 0fa9f13 
0fb2471 00262c2 0fa607c 
0fbbe5e 0ffbbeb 0fb03d5 
0fc6523 0fda3eb 0fba5f6 
0fc33dd 0fdbc71 0fb6741 
