0fbac4a 0fcc4c8 0fb3db7 
0fb243d 0fcbf17 0fab1a7 
0fa9e43 0fcb7a7 0fa2e91 
0fad374 0fcb932 0fa695f 
0fb78ac 0fcc330 0fb0f40 
0fba734 0fcc795 0fb3891 
0fb202a 0fcc32d 0faad98 
0fa9a44 0fcbc00 0fa2a8f 
0face58 0fcbe2d 0fa645e 
0fb71da 0fcc723 0fb08b2 
0fba340 0fcce49 0fb3505 
0fb1ab7 0fcca6b 0faa870 
0fa92a5 0fcc659 0fa2343 
0fac4eb 0fccec5 0fa5b67 
0fb6827 0fcdc46 0faff2d 
0fb9aeb 0fcde79 0fb2ca0 
0fb158f 0fcd6bd 0faa32c 
0fa8f79 0fccc56 0fa1fba 
0fac233 0fccc82 0fa5830 
0fb6520 0fcd92b 0fafc48 
0fb965b 0fce5f3 0fb287b 
0fb0fe5 0fce2c4 0fa9db1 
0fa8806 0fcd9f4 0fa187d 
0fabb54 0fcda5e 0fa5161 
0fb6057 0fce31c 0faf737 
0fb936d 0fce8a8 0fb252a 
0fb0ead 0fce2a8 0fa9c60 
0fa870b 0fcd96d 0fa1768 
0fab7f9 0fcd96a 0fa4df0 
0fb5c99 0fce001 0faf366 
0fb9230 0fce19d 0fb23c4 
0fb0e6a 0fcd8a9 0fa9bdb 
0fa86ff 0fccd64 0fa1713 
0fab88c 0fccbdb 0fa4e52 
0fb5d66 0fcd27f 0faf3fe 
0fb91de 0fcd548 0fb235c 
0fb0e73 0fcce4b 0fa9bf0 
0fa8686 0fcc4ff 0fa16b4 
0fab611 0fcc526 0fa4bf0 
0fb597f 0fccca1 0faf054 
0fb8f21 0fcd000 0fb20d6 
0fb0b05 0fcc8c5 0fa9898 
0fa827d 0fcbfa8 0fa12bd 
0fab31f 0fcc098 0fa4915 
0fb5779 0fcc8cc 0faee49 
0fb8d1f 0fcccce 0fb1ed4 
0fb0a62 0fcc5da 0fa9804 
0fa8244 0fcbc48 0fa128d 
0fab11e 0fcbc23 0fa4717 
0fb5563 0fcc3c3 0faec4f 
0fb8d68 0fcc78c 0fb1f45 
0fb0b17 0fcc08a 0fa98ce 
0fa81c6 0fcb6c4 0fa1216 
0fab041 0fcb65b 0fa4642 
0fb543b 0fcbd9c 0faeb2d 
0fb8a7d 0fcc04b 0fb1c66 
0fb0894 0fcb8a1 0fa9654 
0fa7fc9 0fcaf25 0fa101c 
0faacb0 0fcaed2 0fa42b5 
0fb5049 0fcb660 0fae753 
0fb88f5 0fcb9b7 0fb1afb 
0fb06ad 0fcb1ef 0fa9490 
0fa7bf2 0fca7d9 0fa0c74 
0faa8b1 0fca744 0fa3ee3 
0fb4cf2 0fcaef8 0fae416 
0fb84f2 0fcb25c 0fb1701 
0fb0461 0fcab33 0fa921c 
0fa7a5d 0fca11a 0fa0a93 
0faa519 0fca012 0fa3b00 
0fb47b1 0fca70f 0fade9b 
0fb8159 0fcaa82 0fb1336 
0faff87 0fca290 0fa8d28 
0fa7417 0fc9876 0fa0448 
0fa9f41 0fc97e9 0fa3532 
0fb42bc 0fc9f7a 0fad9bb 
0fb7b9d 0fca2e6 0fb0da7 
0fafacf 0fc9b30 0fa889a 
0fa6f44 0fc90e0 0f9ff84 
0fa98a5 0fc9008 0fa2e90 
0fb3b5d 0fc976a 0fad254 
0fb7617 0fc9b39 0fb0806 
0faf63c 0fc9456 0fa83ed 
0fa6a41 0fc8a8a 0f9fa62 
0fa933f 0fc8a22 0fa2917 
0fb366b 0fc9214 0facd64 
0fb71af 0fc9674 0fb03b0 
0faf1fd 0fc8fe3 0fa7fad 
0fa6567 0fc8625 0f9f585 
0fa8d9e 0fc85c0 0fa2363 
0fb30aa 0fc8e40 0fac788 
0fb6c1c 0fc92e8 0fafe07 
0faecb8 0fc8c5a 0fa7a54 
0fa5ffc 0fc8335 0f9f000 
0fa87a4 0fc8401 0fa1d60 
0fb2a31 0fc8d33 0fac10c 
0fb65df 0fc9214 0faf7bc 
0fae6ef 0fc8c08 0fa747f 
0fa5953 0fc82cb 0f9e94e 
0fa803b 0fc8379 0fa15f4 
0fb2372 0fc8d16 0faba56 
0fb6041 0fc924f 0faf22c 
0fae249 0fc8c82 0fa6fdb 
0fa5471 0fc82fd 0f9e457 
