0fb7ce2 0fc8414 0fad69a 
0fc0355 0fc89d5 0fb5b81 
0fbeffc 0fc89ba 0fb438d 
0fb5da7 0fc83a7 0faafb9 
0fb1904 0fc7fba 0fa6efc 
0fb8310 0fc8473 0fadcd6 
0fc0a9c 0fc8b71 0fb62b9 
0fbf821 0fc8cb1 0fb4b85 
0fb659d 0fc86b7 0fab789 
0fb20c1 0fc83e6 0fa76c0 
0fb8ba3 0fc8883 0fae56c 
0fc1488 0fc8e8b 0fb6cc6 
0fc03fd 0fc8edd 0fb5779 
0fb72c3 0fc8842 0fac4c2 
0fb2dc4 0fc84bc 0fa83cc 
0fb989a 0fc8b8a 0faf280 
0fc2280 0fc94b4 0fb7acd 
0fc12c7 0fc93fb 0fb6648 
0fb8276 0fc8b85 0fad484 
0fb3c81 0fc8871 0fa9293 
0fba651 0fc8f0f 0fb0045 
0fc3011 0fc9690 0fb8876 
0fc2042 0fc96df 0fb73ef 
0fb8ee7 0fc91a8 0fae11f 
0fb48ea 0fc8faa 0fa9efe 
0fbb2b5 0fc9341 0fb0c8e 
0fc3cc1 0fc97a7 0fb9511 
0fc2d2c 0fc962f 0fb80e7 
0fb9c65 0fc8f7f 0faee8b 
0fb5551 0fc8b4b 0faab3f 
0fbbd4d 0fc906f 0fb1714 
0fc466b 0fc997c 0fb9eb5 
0fc377d 0fc9bda 0fb8b0e 
0fba608 0fc95ee 0faf7fd 
0fb5db4 0fc9184 0fab399 
0fbc5a2 0fc95f5 0fb1f6e 
0fc4eea 0fc9c8c 0fba733 
0fc3f4f 0fc9c39 0fb92e8 
0fbae30 0fc9616 0fb0024 
0fb65d0 0fc920c 0fabb94 
0fbcce8 0fc964a 0fb2692 
0fc555a 0fc9c86 0fbada9 
0fc469c 0fc9d15 0fb9a46 
0fbb51a 0fc9766 0fb0729 
0fb6b7e 0fc93e4 0fac162 
0fbd0f5 0fc9863 0fb2aae 
0fc58fc 0fc9fa9 0fbb140 
0fc4a2e 0fca086 0fb9dc5 
0fbb85a 0fc9af4 0fb0a4e 
0fb6d9a 0fc97e0 0fac34c 
0fbd1e5 0fc9cb8 0fb2b77 
0fc5909 0fca3ab 0fbb145 
0fc4980 0fca3e6 0fb9d1d 
0fbb7fc 0fc9e30 0fb09f0 
0fb6d4b 0fc9b12 0fac316 
0fbd0dc 0fc9fb3 0fb2a93 
0fc57e2 0fca6d7 0fbb03e 
0fc48f5 0fca7ea 0fb9c99 
0fbb70c 0fca1fa 0fb0902 
0fb6b8e 0fc9e16 0fac152 
0fbce50 0fca1e5 0fb27fb 
0fc5558 0fca844 0fbada3 
0fc474d 0fca8d4 0fb9af3 
0fbb5ac 0fca27a 0fb0798 
0fb694f 0fc9e27 0fabf03 
0fbcbdb 0fca26a 0fb257d 
0fc52e3 0fca92b 0fbab36 
0fc4481 0fca980 0fb982a 
0fbb2f3 0fca37a 0fb04e9 
0fb6607 0fc9f6b 0fabbb8 
0fbc79d 0fca369 0fb2137 
0fc4ec3 0fca9f1 0fba707 
0fc414e 0fca9e7 0fb94ed 
0fbaf8d 0fca2b4 0fb017f 
0fb6221 0fc9e19 0fab7ca 
0fbc2cc 0fca19a 0fb1c56 
0fc49ce 0fca832 0fba211 
0fc3cda 0fca8b9 0fb9088 
0fbab9b 0fca257 0fafd8e 
0fb5cfc 0fc9d69 0fab2ac 
0fbbcfb 0fca127 0fb169d 
0fc440a 0fca816 0fb9c6a 
0fc3732 0fca8e2 0fb8af2 
0fba4c5 0fca230 0faf6d0 
0fb54cf 0fc9dd7 0faaa82 
0fbb37a 0fca206 0fb0d0e 
0fc3a5b 0fca94f 0fb92b1 
0fc2e12 0fca9f1 0fb81cf 
0fb9bf4 0fca328 0faedf7 
0fb4b6d 0fc9db9 0faa133 
0fba974 0fca02f 0fb0328 
0fc2f5b 0fca5dc 0fb87cf 
0fc2275 0fca5e8 0fb7653 
0fb9050 0fc9f1e 0fae26d 
0fb3f08 0fc9a04 0fa94d4 
0fb9b8d 0fc9d07 0faf536 
0fc2082 0fca332 0fb78ea 
0fc12b4 0fca35f 0fb6683 
0fb7e34 0fc9c14 0fad04d 
0fb29c8 0fc96dc 0fa7f87 
0fb825e 0fc994f 0fadc0c 
0fc044b 0fc9f27 0fb5cb0 
0fbf381 0fc9ebe 0fb4735 
0fb5d4d 0fc96a4 0faaf54 
0fb0c31 0fc90ea 0fa61f9 
0fb6ba7 0fc941e 0fac55d 
0fbf642 0fc9ae4 0fb4ec3 
0fbefd6 0fc9b6f 0fb43c9 
0fb61b7 0fc946f 0fab3f4 
0fb11c7 0fc8f71 0fa67a9 
0fb7088 0fc93ce 0faca53 
0fbf9fe 0fc9b32 0fb52a2 
0fbf28e 0fc9c3f 0fb4690 
0fb6393 0fc9574 0fab5bc 
0fb12ec 0fc906e 0fa68b5 
0fb70fe 0fc9439 0facab2 
0fbfada 0fc9b89 0fb534d 
0fbf3c4 0fc9c88 0fb47b7 
0fb6449 0fc9594 0fab67b 
0fb1299 0fc908b 0fa6867 
0fb7071 0fc9525 0faca2f 
0fbfa7b 0fc9cfc 0fb5308 
0fbf3a9 0fc9e4f 0fb479c 
0fb6424 0fc97cc 0fab63e 
0fb1149 0fc9309 0fa6705 
0fb6df0 0fc97e3 0fac79f 
0fbf7d5 0fca00d 0fb5056 
0fbf1ca 0fca1bb 0fb45be 
0fb6297 0fc9b57 0fab4c4 
0fb0f70 0fc9669 0fa652f 
0fb6b15 0fc9a5e 0fac4b5 
0fbf52b 0fca238 0fb4db0 
0fbf000 0fca3f8 0fb43ed 
0fb6170 0fc9d91 0fab388 
0fb0ecc 0fc98e2 0fa6482 
0fb6af0 0fc9d15 0fac4a4 
0fbf575 0fca4e9 0fb4dfd 
0fbf064 0fca63b 0fb4447 
0fb614b 0fc9f9b 0fab34f 
0fb0cf8 0fc9a89 0fa6284 
0fb6779 0fc9e3c 0fac107 
0fbf218 0fca620 0fb4aa4 
0fbee6a 0fca800 0fb426b 
0fb6019 0fca1bb 0fab23a 
0fb0bb5 0fc9cea 0fa615e 
0fb667a 0fca11d 0fac01e 
0fbf164 0fca8c3 0fb49f4 
0fbedc7 0fca9cc 0fb41c1 
0fb5fee 0fca31e 0fab1f4 
0fb0b5c 0fc9e09 0fa60e9 
0fb65d0 0fca208 0fabf72 
0fbf19b 0fcaa35 0fb4a3c 
0fbee9c 0fcab2a 0fb42aa 
0fb6098 0fca44c 0fab2ac 
0fb0b42 0fc9f59 0fa60c9 
0fb650d 0fca3e3 0fabe96 
0fbf0ca 0fcac5a 0fb4949 
0fbef1b 0fcae1b 0fb430c 
0fb617a 0fca721 0fab385 
0fb0b2d 0fca100 0fa60b5 
0fb6421 0fca412 0fabd9f 
0fbf08b 0fcabbe 0fb490c 
0fbf0be 0fcad75 0fb44af 
0fb64ee 0fca6f6 0fab6eb 
0fb0f45 0fca128 0fa64c3 
0fb68a9 0fca496 0fac23b 
0fbf60a 0fcac2a 0fb4eaf 
0fbf7b0 0fcadca 0fb4bcc 
0fb6c5a 0fca6b5 0fabe76 
0fb17b2 0fca17c 0fa6d47 
0fb71f0 0fca535 0facb9b 
0fc0040 0fcacd8 0fb58f0 
0fc027f 0fcae50 0fb569d 
