0fcdd34 0fcc2c2 0fd4885 
0fc9623 0fc7c10 0fd01c9 
0fc8de5 0fc6eff 0fcf319 
0fcd0b6 0fcae83 0fd31d9 
0fd01fb 0fce284 0fd66d4 
0fcdf2d 0fcc4cc 0fd4aba 
0fc9936 0fc7f2c 0fd0500 
0fc9085 0fc718c 0fcf5de 
0fcd41b 0fcb1a6 0fd35db 
0fd0600 0fce635 0fd6b75 
0fce2ec 0fcc84e 0fd4eb5 
0fc9c25 0fc8203 0fd0808 
0fc94c0 0fc75b7 0fcf9fb 
0fcd778 0fcb51d 0fd3883 
0fd0964 0fce9b3 0fd6df3 
0fce702 0fccc8a 0fd5257 
0fca0be 0fc86b0 0fd0c83 
0fc98f4 0fc7a03 0fcfe43 
0fcdb69 0fcb921 0fd3c3d 
0fd0e02 0fcee53 0fd7136 
0fceb28 0fcd0aa 0fd55f4 
0fca44e 0fc8a2d 0fd104e 
0fc9d07 0fc7dfc 0fd029a 
0fce02f 0fcbdc4 0fd4157 
0fd12c4 0fcf2e7 0fd7674 
0fcef29 0fcd479 0fd5a3c 
0fca82d 0fc8de7 0fd1436 
0fca123 0fc81f6 0fd067d 
0fce43f 0fcc1af 0fd453e 
0fd1694 0fcf6a9 0fd7a97 
0fcf447 0fcd98d 0fd5f36 
0fcad4d 0fc92fc 0fd190f 
0fca61e 0fc86e3 0fd0b41 
0fce93c 0fcc6a7 0fd4a11 
0fd1b45 0fcfb6a 0fd7f8f 
0fcf939 0fcde87 0fd643e 
0fcb268 0fc9833 0fd1e51 
0fcab05 0fc8bf9 0fd108e 
0fcede1 0fccb7e 0fd4f16 
0fd1f51 0fcffa5 0fd8403 
0fcfcce 0fce251 0fd6835 
0fcb629 0fc9c27 0fd2241 
0fcae5a 0fc8f7b 0fd13d6 
0fcf161 0fccf2d 0fd525f 
0fd2290 0fd0318 0fd8727 
0fcff67 0fce528 0fd6adc 
0fcb860 0fc9ea2 0fd24ab 
0fcb03d 0fc919d 0fd15ff 
0fcf2df 0fcd0d8 0fd541c 
0fd242c 0fd04ca 0fd88eb 
0fd0174 0fce72f 0fd6ce9 
0fcbad1 0fca0fd 0fd26fe 
0fcb2fd 0fc9445 0fd1893 
0fcf52b 0fcd30e 0fd564a 
0fd2649 0fd06da 0fd8b16 
0fd03bf 0fce977 0fd6f42 
0fcbbfe 0fca226 0fd283b 
0fcb344 0fc947a 0fd18e0 
0fcf58a 0fcd34a 0fd5694 
0fd263c 0fd06a2 0fd8ad5 
0fd02f2 0fce87c 0fd6e33 
0fcbaf7 0fca101 0fd270c 
0fcb177 0fc92b1 0fd170c 
0fcf2b0 0fcd079 0fd53c4 
0fd23c5 0fd042c 0fd8860 
0fd0073 0fce5fb 0fd6bc2 
0fcb85e 0fc9e5f 0fd246c 
0fcaebe 0fc8feb 0fd1452 
0fcefbc 0fccd7a 0fd50c5 
0fd20af 0fd0111 0fd851c 
0fcfd86 0fce31b 0fd68c0 
0fcb520 0fc9b46 0fd211e 
0fcaabe 0fc8c0e 0fd1050 
0fceb2a 0fcc90a 0fd4c58 
0fd1bbf 0fcfc2e 0fd8035 
0fcf878 0fcde0d 0fd63b9 
0fcb062 0fc9682 0fd1c62 
0fca6b8 0fc8801 0fd0c29 
0fce6f3 0fcc4c4 0fd47fd 
0fd17b2 0fcf813 0fd7bf6 
0fcf45f 0fcd9ea 0fd5f9a 
0fcabe1 0fc91f5 0fd17ef 
0fca20d 0fc8341 0fd0787 
0fce2de 0fcc09e 0fd43e3 
0fd144e 0fcf492 0fd782e 
0fcf1b8 0fcd739 0fd5cbe 
0fca983 0fc8f9b 0fd157a 
0fc9fd1 0fc811a 0fd054c 
0fce0d7 0fcbea5 0fd41d7 
0fd12fc 0fcf33d 0fd76a5 
0fcf0a5 0fcd624 0fd5b92 
0fca95b 0fc8f65 0fd1529 
0fc9fcc 0fc80f4 0fd0504 
0fce076 0fcbe24 0fd413c 
0fd120d 0fcf239 0fd757d 
0fcee75 0fcd3e9 0fd595a 
0fca5e4 0fc8be8 0fd11c5 
0fc9b82 0fc7caf 0fd00e3 
0fcdb76 0fcb924 0fd3c7b 
0fd0b65 0fceba7 0fd6f97 
0fce7c7 0fccd3f 0fd5302 
0fc9f72 0fc8571 0fd0b47 
0fc9446 0fc756a 0fcf98e 
0fcd46d 0fcb21e 0fd3562 
0fd04df 0fce534 0fd6959 
0fce182 0fcc70e 0fd4cce 
0fc9858 0fc7e6d 0fd042f 
0fc8c98 0fc6dd2 0fcf1e2 
0fccb72 0fca936 0fd2c78 
0fcfaa1 0fcdb09 0fd5f40 
0fcd69a 0fcbc39 0fd420f 
0fc8cd7 0fc72fa 0fcf8b4 
0fc805d 0fc61a1 0fce5aa 
0fcbee6 0fc9cb8 0fd1fff 
0fcedd2 0fcce47 0fd5280 
0fcc949 0fcaef4 0fd34ca 
0fc7e9b 0fc64da 0fcea8b 
0fc712a 0fc5296 0fcd6a2 
0fcaf64 0fc8d5d 0fd10aa 
0fcde2b 0fcbeca 0fd4303 
0fcb97a 0fc9f51 0fd2536 
0fc6e89 0fc54ed 0fcda9b 
0fc60f1 0fc426a 0fcc670 
0fc9f29 0fc7d19 0fd0060 
0fcce36 0fcaebe 0fd3303 
0fca960 0fc8f14 0fd14ee 
0fc5e9c 0fc44d1 0fcca60 
0fc513e 0fc328c 0fcb676 
0fc8f05 0fc6cca 0fceff1 
0fcbd88 0fc9def 0fd2246 
0fc988c 0fc7e33 0fd03fd 
0fc4d3e 0fc3376 0fcb8f4 
0fc3f87 0fc20e1 0fca4c1 
0fc7df8 0fc5bd1 0fcdee1 
0fcacce 0fc8d43 0fd1243 
0fc8798 0fc6d49 0fcf349 
0fc3bae 0fc21fa 0fca776 
0fc2da8 0fc0f13 0fc92f5 
0fc6bb4 0fc4992 0fccc8b 
0fc9ab5 0fc7b2a 0fcff2e 
0fc75bb 0fc5b70 0fce0f7 
0fc29d6 0fc101c 0fc959e 
0fc1b5f 0fbfcb5 0fc80a9 
0fc5907 0fc36d3 0fcb9d7 
0fc87e7 0fc6853 0fcec5a 
0fc6291 0fc483a 0fccdca 
0fc1682 0fbfcc4 0fc8243 
0fc0828 0fbe98a 0fc6d6f 
0fc4698 0fc246d 0fca763 
0fc75e4 0fc565b 0fcda4b 
0fc5108 0fc36cb 0fcbc36 
0fc048d 0fbeaf5 0fc7056 
0fbf576 0fbd701 0fc5acb 
0fc33ae 0fc11aa 0fc947d 
0fc638e 0fc442c 0fcc7f9 
0fc3e82 0fc2469 0fca9bd 
0fbf210 0fbd89d 0fc5dec 
0fbe37d 0fbc520 0fc48de 
0fc2164 0fbff71 0fc8235 
0fc5120 0fc31c6 0fcb57d 
0fc2ca6 0fc129b 0fc97dd 
0fbdfff 0fbc698 0fc4bd2 
0fbd10b 0fbb2c0 0fc365f 
0fc0fa1 0fbedc2 0fc7066 
0fc4015 0fc20d1 0fca47f 
0fc1bf5 0fc0203 0fc873a 
0fbcf8b 0fbb638 0fc3b71 
0fbc0a1 0fba265 0fc2608 
0fbff63 0fbdd8e 0fc603d 
0fc2ffc 0fc10bd 0fc946f 
0fc0b60 0fbf175 0fc76c0 
0fbbeb7 0fba56d 0fc2ac8 
0fbb009 0fb91d5 0fc15ac 
0fbede0 0fbcc12 0fc4f1c 
0fc1e47 0fbff10 0fc832f 
0fbfa02 0fbe018 0fc65d4 
0fbad23 0fb93db 0fc19a9 
0fb9e3a 0fb8005 0fc0449 
0fbdd32 0fbbb5c 0fc3eba 
0fc0dea 0fbeebb 0fc7325 
0fbe951 0fbcf7f 0fc558b 
0fb9c0e 0fb82da 0fc08ef 
0fb8cb0 0fb6e7e 0fbf2ff 
0fbcb42 0fba96a 0fc2d0a 
0fbfbb5 0fbdc74 0fc6110 
0fbd663 0fbbc80 0fc42ab 
0fb88cb 0fb6f89 0fbf5b3 
0fb78d1 0fb5a9e 0fbdf36 
0fbb6f9 0fb9522 0fc18c8 
0fbe7fa 0fbc8bd 0fc4d59 
0fbc330 0fba94e 0fc2f79 
0fb7539 0fb5c00 0fbe227 
0fb65b5 0fb477b 0fbcc00 
0fba4c0 0fb82dd 0fc0656 
0fbd616 0fbb6c8 0fc3b29 
0fbb124 0fb9732 0fc1d3d 
0fb630f 0fb49c9 0fbcfdc 
0fb5384 0fb353c 0fbb99d 
0fb92bb 0fb70be 0fbf41f 
0fbc432 0fba4d1 0fc2937 
0fba01a 0fb8623 0fc0c18 
0fb526d 0fb391d 0fbbf1d 
0fb42da 0fb2489 0fba8f3 
0fb82a7 0fb609e 0fbe414 
0fbb4d3 0fb955c 0fc19d0 
0fb90f5 0fb76e1 0fbfcf9 
0fb435e 0fb29fc 0fbb01d 
0fb33d6 0fb1580 0fb9a02 
0fb738d 0fb5187 0fbd506 
0fba616 0fb86a4 0fc0b0f 
0fb81af 0fb6798 0fbed97 
0fb33f5 0fb1a83 0fba08d 
0fb248f 0fb061e 0fb8a94 
0fb646d 0fb4243 0fbc5b6 
0fb9743 0fb77aa 0fbfc1b 
0fb73bd 0fb597d 0fbdf8f 
0fb26a4 0fb0d14 0fb9327 
0fb1778 0faf8ec 0fb7d62 
0fb5794 0fb354e 0fbb8c0 
0fb8a4f 0fb6aad 0fbef13 
0fb6648 0fb4c01 0fbd208 
0fb1851 0fafeb0 0fb84b6 
0fb0834 0fae997 0fb6dfa 
0fb4871 0fb2617 0fba96a 
0fb7b15 0fb5b4e 0fbdf9b 
0fb570f 0fb3cb7 0fbc2a5 
0fb0866 0faeebf 0fb74c6 
0faf800 0fad96c 0fb5dda 
0fb3809 0fb15c6 0fb992d 
0fb6ae6 0fb4b3d 0fbcfa2 
0fb46d5 0fb2c92 0fbb2a5 
0faf82f 0fade9d 0fb64c4 
0fae7ab 0fac917 0fb4d94 
0fb27d4 0fb0580 0fb88e3 
0fb5b65 0fb3ba7 0fbbff5 
0fb380c 0fb1db9 0fba39c 
0fae934 0facf8e 0fb5590 
0fad838 0fab98e 0fb3e02 
0fb17f5 0faf593 0fb78f6 
0fb4b4a 0fb2b86 0fbafe4 
0fb26e0 0fb0c88 0fb929b 
0fad7f7 0fabe4e 0fb4475 
0fac783 0faa8d5 0fb2d4b 
0fb0830 0fae5b7 0fb6923 
0fb3ba2 0fb1bbb 0fba029 
0fb175e 0fafcdc 0fb82f5 
0fac835 0faae6d 0fb348c 
0fab74f 0fa988d 0fb1d07 
0faf821 0fad59c 0fb5902 
0fb2c5f 0fb0c6d 0fb90cb 
0fb0895 0faee11 0fb741c 
0fab943 0fa9f7b 0fb2599 
0faa8dd 0fa8a1a 0fb0e7f 
0fae9a1 0fac719 0fb4a6d 
0fb1d7f 0fafd86 0fb81de 
0fafa4a 0fadfc0 0fb65c0 
0faac2d 0fa9260 0fb1870 
0fa9be5 0fa7d17 0fb0183 
0fadd83 0fabae8 0fb3e36 
0fb1361 0faf34d 0fb7789 
0faf110 0fad663 0fb5c42 
0faa23c 0fa8858 0fb0e52 
0fa91f4 0fa7313 0faf766 
0fad3a4 0fab0ef 0fb3434 
0fb0915 0fae8ef 0fb6d33 
0fae6f0 0facc3e 0fb5227 
0fa995f 0fa7f6d 0fb055e 
0fa8a0c 0fa6b11 0faef57 
0facccb 0faa9fa 0fb2d22 
