0fd3f26 0fd2361 0fd9e8d 
0fd1ad0 0fd055f 0fd8292 
0fcc253 0fcaddc 0fd2be1 
0fcafbe 0fc9591 0fd119d 
0fcfc5f 0fcddae 0fd583b 
0fd3f24 0fd237a 0fd9e37 
0fd1b8c 0fd0648 0fd82fe 
0fcc2cb 0fcaeae 0fd2c1c 
0fcafb9 0fc9602 0fd1163 
0fcfc41 0fcde05 0fd57b3 
0fd3e73 0fd2316 0fd9cee 
0fd1b31 0fd05f0 0fd8239 
0fcc32b 0fcaf0d 0fd2c2b 
0fcb05b 0fc96c1 0fd1196 
0fcfcb7 0fcde97 0fd57cf 
0fd3f46 0fd2452 0fd9d3c 
0fd1c58 0fd0791 0fd82dd 
0fcc38b 0fcaf1e 0fd2d10 
0fcaf9d 0fc9589 0fd11af 
0fcfc9e 0fcddbb 0fd5881 
0fd3f9e 0fd2345 0fd9ee7 
0fd1d35 0fd074d 0fd84fe 
0fcc506 0fcb081 0fd2ea8 
0fcb1e8 0fc9788 0fd142a 
0fcfe8f 0fcdf46 0fd5ae7 
0fd41f7 0fd2564 0fda1b5 
0fd2075 0fd0a39 0fd88ab 
0fcc890 0fcb362 0fd32c4 
0fcb510 0fc9a29 0fd17a5 
0fd01d3 0fce252 0fd5e46 
0fd461b 0fd2971 0fda603 
0fd2544 0fd0ecd 0fd8de4 
0fcccf8 0fcb7a5 0fd379c 
0fcb988 0fc9eb4 0fd1c59 
0fd0649 0fce6fb 0fd6281 
0fd4a61 0fd2dfe 0fda9f7 
0fd29b9 0fd13d9 0fd9177 
0fcd1df 0fcbd45 0fd3b6a 
0fcbe72 0fca434 0fd208e 
0fd0adb 0fcec16 0fd66b6 
0fd4ec3 0fd32de 0fdae25 
0fd2e79 0fd1908 0fd95fd 
0fcd688 0fcc262 0fd3fcf 
0fcc209 0fca80b 0fd241e 
0fd0e19 0fceefa 0fd6a68 
0fd5183 0fd3501 0fdb193 
0fd30d7 0fd1ab6 0fd9926 
0fcd7f8 0fcc31b 0fd421a 
0fcc314 0fca89a 0fd25cb 
0fd0f36 0fcf025 0fd6b80 
0fd52c5 0fd3665 0fdb299 
0fd319b 0fd1b82 0fd99bf 
0fcd95d 0fcc448 0fd43c9 
0fcc48b 0fca981 0fd27f7 
0fd0fb3 0fcefe0 0fd6c9f 
0fd52d4 0fd35d1 0fdb350 
0fd31f5 0fd1b78 0fd9a8c 
0fcd8ed 0fcc3c2 0fd4370 
0fcc2e4 0fca805 0fd2637 
0fd0dca 0fcee19 0fd6ad5 
0fd50cc 0fd33c3 0fdb181 
0fd3067 0fd19c5 0fd9932 
0fcd7a7 0fcc258 0fd4237 
0fcc186 0fca698 0fd24b0 
0fd0c4d 0fcec9d 0fd690c 
0fd4f77 0fd327a 0fdafb6 
0fd2f27 0fd189b 0fd97aa 
0fcd602 0fcc0bc 0fd408b 
0fcbed4 0fca3d6 0fd2226 
0fd096e 0fce99a 0fd666b 
0fd4dd0 0fd309c 0fdae37 
0fd2d78 0fd16c1 0fd9610 
0fcd3fc 0fcbea5 0fd3e71 
0fcbd76 0fca27f 0fd207c 
0fd08d2 0fce916 0fd6588 
0fd4cdc 0fd2fd3 0fdacff 
0fd2db5 0fd1731 0fd961b 
0fcd446 0fcbf2a 0fd3eb3 
0fcbd36 0fca27a 0fd2051 
0fd082b 0fce88f 0fd64e5 
0fd4caf 0fd2fad 0fdacdb 
0fd2dbe 0fd1735 0fd961b 
0fcd4d7 0fcbfb3 0fd3f2a 
0fcbdc9 0fca2fe 0fd20c7 
0fd08d1 0fce92b 0fd657e 
0fd4d78 0fd306f 0fdad87 
0fd2e9b 0fd180d 0fd96e2 
0fcd5bd 0fcc0a0 0fd4023 
0fcbe4d 0fca398 0fd2172 
0fd08e5 0fce951 0fd65a0 
0fd4e3d 0fd3143 0fdae69 
0fd3048 0fd19c7 0fd98a2 
0fcd77a 0fcc25b 0fd41dc 
0fcbfe0 0fca513 0fd2301 
0fd0a31 0fcea7e 0fd66e3 
0fd4f44 0fd323e 0fdaf70 
0fd317f 0fd1b19 0fd99ef 
0fcd8a9 0fcc3d7 0fd4338 
0fcbff7 0fca58f 0fd2357 
0fd09a9 0fcea37 0fd669b 
0fd4f87 0fd3254 0fdafde 
0fd3194 0fd1af0 0fd9a2f 
0fcd867 0fcc385 0fd4327 
0fcbffe 0fca54d 0fd2379 
0fd0983 0fce9bb 0fd666d 
0fd4f3a 0fd31e6 0fdaf72 
0fd31aa 0fd1ad4 0fd9a27 
0fcd876 0fcc31a 0fd4310 
0fcbf4f 0fca447 0fd22c0 
0fd0914 0fce93b 0fd65ff 
0fd4e71 0fd3104 0fdae9e 
0fd3093 0fd1977 0fd98fe 
0fcd72b 0fcc178 0fd41bd 
0fcbe02 0fca2ba 0fd215b 
0fd0745 0fce755 0fd63f7 
0fd4d8b 0fd304b 0fdad74 
0fd3048 0fd199d 0fd9875 
0fcd6d3 0fcc1c1 0fd4140 
0fcbd4d 0fca29c 0fd2090 
0fd0704 0fce76a 0fd63c6 
0fd4d9b 0fd3092 0fdada5 
0fd30d3 0fd1a68 0fd9917 
0fcd769 0fcc2a6 0fd41c9 
0fcbd64 0fca30c 0fd2075 
0fd070e 0fce7b4 0fd638c 
0fd4e2e 0fd3149 0fdadf1 
0fd31e6 0fd1b91 0fd9a0d 
0fcd809 0fcc358 0fd4287 
0fcbd9c 0fca35a 0fd20f4 
0fd073a 0fce7d6 0fd63ed 
0fd4e9c 0fd3186 0fdae73 
0fd3242 0fd1ba5 0fd9a65 
0fcd8ba 0fcc3ac 0fd432a 
0fcbe9e 0fca3ff 0fd21df 
0fd0856 0fce8a4 0fd6502 
0fd502d 0fd32d6 0fdb019 
0fd3469 0fd1dac 0fd9cb2 
0fcdad5 0fcc5bc 0fd4588 
0fcc06f 0fca5bc 0fd2400 
0fd09f7 0fcea22 0fd66d1 
0fd519b 0fd3428 0fdb19f 
0fd3643 0fd1f67 0fd9e8a 
0fcdd33 0fcc81c 0fd47f9 
0fcc21e 0fca78a 0fd25e0 
0fd0afb 0fceb4e 0fd67ec 
0fd5322 0fd35d6 0fdb348 
0fd37ea 0fd2142 0fda065 
0fcde58 0fcc974 0fd4952 
0fcc2bf 0fca851 0fd26ae 
0fd0b6f 0fcebe6 0fd685f 
0fd53e6 0fd36b7 0fdb3f7 
0fd38c4 0fd222c 0fda13d 
0fcde97 0fcc9c0 0fd4996 
0fcc258 0fca7f8 0fd264e 
0fd0af1 0fceb5a 0fd67ea 
0fd53a6 0fd3655 0fdb3ae 
0fd3934 0fd2278 0fda185 
0fcdf07 0fcca0d 0fd49cc 
0fcc230 0fca7b5 0fd25e5 
0fd0ab8 0fceb18 0fd6781 
0fd53a9 0fd3655 0fdb38a 
