0fb1444 0fb39d9 0fb377f 
0fac3e6 0fae997 0fae776 
0faba43 0fadf84 0fadba1 
0fb033c 0fb2827 0fb2311 
0fb3ab0 0fb5fcc 0fb5bb9 
0fb1409 0fb3992 0fb3766 
0fac2d1 0fae85a 0fae6c3 
0fab9b5 0fadf0b 0fadb33 
0fb0227 0fb270a 0fb21a2 
0fb39bf 0fb5e98 0fb5a82 
0fb122e 0fb3788 0fb3580 
0fac1c7 0fae774 0fae5d3 
0fab892 0fadde5 0fadabd 
0fb01b6 0fb268e 0fb2214 
0fb3913 0fb5e00 0fb59d4 
0fb12a8 0fb380f 0fb357c 
0fac30a 0fae887 0fae664 
0faba4e 0fadf6d 0fadb9e 
0fb04e4 0fb29ca 0fb24ae 
0fb3d3a 0fb6250 0fb5e0e 
0fb1657 0fb3bd9 0fb3924 
0fac499 0faea2e 0fae785 
0faba36 0fadf57 0fadad1 
0fb0e27 0fb32de 0fb2d01 
0fb5288 0fb777f 0fb72c7 
0fb2a04 0fb4fa0 0fb4d0f 
0facdbb 0faf377 0faf116 
0fac0a3 0fae5da 0fae16d 
0fb15fc 0fb3aba 0fb34de 
0fb5ac6 0fb7fac 0fb7aea 
0fb3254 0fb57d3 0fb5532 
0fad621 0fafbc4 0faf972 
0faca16 0faef3a 0faeaf3 
0fb209d 0fb4559 0fb3f96 
0fb6733 0fb8c30 0fb877a 
0fb3fa9 0fb6544 0fb629a 
0fae4bf 0fb0a71 0fb07fa 
0fad9f5 0faff15 0fafa98 
0fb318a 0fb563b 0fb504a 
0fb787e 0fb9d64 0fb988b 
0fb5132 0fb76b6 0fb7402 
0faf679 0fb1c2c 0fb19b5 
0faebfd 0fb1131 0fb0ca9 
0fb4453 0fb6915 0fb6309 
0fb8b37 0fbb030 0fbab28 
0fb6402 0fb898b 0fb868e 
0fb09da 0fb2f8c 0fb2cdc 
0faffeb 0fb251f 0fb2081 
0fb5822 0fb7ce7 0fb76e2 
0fba03b 0fbc538 0fbc03e 
0fb795f 0fb9ef5 0fb9c11 
0fb1ece 0fb448d 0fb41e0 
0fb14fe 0fb3a3b 0fb3597 
0fb6ecb 0fb9394 0fb8d62 
0fbb787 0fbdc8b 0fbd745 
0fb919f 0fbb746 0fbb3fc 
0fb37a1 0fb5d66 0fb5a67 
0fb2e1d 0fb5358 0fb4e76 
0fb8888 0fbad5a 0fba701 
0fbd205 0fbf712 0fbf1b7 
0fbabf5 0fbd195 0fbce58 
0fb526d 0fb7825 0fb753f 
0fb49bc 0fb6eea 0fb6a15 
0fba45b 0fbc923 0fbc2d2 
0fbed5e 0fc1269 0fc0d24 
0fbc720 0fbeccf 0fbe9a5 
0fb6cae 0fb9280 0fb8faa 
0fb6389 0fb88d1 0fb8409 
0fbbe80 0fbe357 0fbdd22 
0fc07ee 0fc2cfb 0fc27d6 
0fbe16f 0fc0721 0fc0406 
0fb86ce 0fbacb0 0fba9cf 
0fb7d5b 0fba2c2 0fb9df1 
0fbd804 0fbfcfe 0fbf6c6 
0fc2112 0fc4649 0fc4135 
0fbfa41 0fc2015 0fc1d28 
0fb9edd 0fbc4da 0fbc231 
0fb94f3 0fbba68 0fbb5cf 
0fbefd6 0fc14d7 0fc0ed9 
0fc38bf 0fc5dfd 0fc5927 
0fc10c3 0fc36b3 0fc340c 
0fbb467 0fbda83 0fbd81b 
0fba9c3 0fbcf50 0fbcaf7 
0fc043e 0fc2957 0fc239d 
0fc4ca5 0fc7201 0fc6d65 
0fc23f2 0fc49f5 0fc477a 
0fbc72f 0fbed54 0fbeb2c 
0fbbc9e 0fbe239 0fbde2a 
0fc17c0 0fc3ce2 0fc3771 
0fc617d 0fc86e0 0fc828f 
0fc39f4 0fc600b 0fc5ddb 
0fbddd9 0fc0416 0fc021f 
0fbd3df 0fbf98b 0fbf59b 
0fc2f75 0fc54a9 0fc4f4b 
0fc78e1 0fc9e53 0fc9a0e 
0fc4f45 0fc7562 0fc733e 
0fbf0ca 0fc1710 0fc1525 
0fbe581 0fc0b2f 0fc074a 
0fc3fee 0fc652b 0fc5fd8 
0fc87c6 0fcad4c 0fca917 
0fc5cab 0fc82e4 0fc80d3 
0fbfce8 0fc2344 0fc216c 
0fbf11f 0fc16df 0fc12fb 
0fc4b50 0fc7094 0fc6b3f 
0fc92d9 0fcb85e 0fcb42c 
0fc66f3 0fc8d2c 0fc8b10 
0fc05ff 0fc2c5b 0fc2a91 
0fbf957 0fc1f1b 0fc1b5b 
0fc531a 0fc785f 0fc732f 
0fc9a67 0fcbfe9 0fcbbd3 
0fc6e15 0fc9445 0fc9236 
0fc0cd4 0fc3334 0fc3153 
0fbfffb 0fc25c5 0fc21e9 
0fc59c1 0fc7f15 0fc79d9 
0fca0cb 0fcc667 0fcc24f 
0fc73ab 0fc99f8 0fc9805 
0fc11f0 0fc3853 0fc369b 
