0fc52c0 0fbae85 0fd7b6f 
0fc90bd 0fbee49 0fd9762 
0fc79b6 0fbdc33 0fd194e 
0fc2d26 0fb9106 0fca653 
0fc1560 0fb7547 0fce23c 
0fc5208 0fbae47 0fd7aaf 
0fc9139 0fbee56 0fd93a2 
0fc7b37 0fbdc81 0fd12bd 
0fc2f78 0fb92c5 0fc9e90 
0fc1765 0fb770f 0fcdf19 
0fc546f 0fbb014 0fd7c23 
0fc9273 0fbefca 0fd9569 
0fc7b87 0fbde11 0fd17e4 
0fc2e5e 0fb923a 0fca6c0 
0fc159a 0fb7525 0fce303 
0fc51cf 0fbada4 0fd7baa 
0fc8fd6 0fbed54 0fd99ec 
0fc7981 0fbdbbe 0fd1c8d 
0fc2ce5 0fb908b 0fca8f9 
0fc144d 0fb73c3 0fce65d 
0fc50f5 0fbac87 0fd7ee8 
0fc8f3c 0fbec9d 0fd989b 
0fc7897 0fbdb39 0fd191e 
0fc2b4b 0fb8f31 0fca26d 
0fc1331 0fb72ba 0fcd9d4 
0fc5034 0fbabfa 0fd75d4 
0fc8f4f 0fbece8 0fd9819 
0fc792e 0fbdbae 0fd1d84 
0fc2bd1 0fb8fd5 0fcab9f 
0fc1218 0fb71dc 0fceb43 
0fc4deb 0fba9b4 0fd8693 
0fc8c51 0fbe9c0 0fda3f2 
0fc767e 0fbd8d2 0fd24a8 
0fc29ec 0fb8d98 0fcb0a7 
0fc10c4 0fb7040 0fceb3d 
0fc4c7d 0fba82a 0fd803b 
0fc8b0b 0fbe862 0fd9b7b 
0fc75fe 0fbd85c 0fd1c82 
0fc2a6e 0fb8e2e 0fca883 
0fc11dd 0fb7176 0fce248 
0fc4d7e 0fba950 0fd7963 
0fc8c61 0fbe9ce 0fd976e 
0fc7745 0fbd9b3 0fd1b63 
0fc2b79 0fb8f5b 0fca8eb 
0fc12ad 0fb725f 0fce370 
0fc4efc 0fbaac5 0fd7c84 
0fc8ee2 0fbec46 0fd9dd6 
0fc7ab5 0fbdd08 0fd21e9 
0fc2eea 0fb92af 0fcae17 
0fc156e 0fb74ff 0fce77d 
0fc5292 0fbae3e 0fd7f56 
0fc9337 0fbf095 0fda094 
0fc7ef0 0fbe157 0fd2587 
0fc334c 0fb972c 0fcb15b 
0fc19ea 0fb7998 0fceb35 
0fc56c5 0fbb28f 0fd8513 
0fc980e 0fbf561 0fda5fc 
0fc8265 0fbe552 0fd2779 
0fc2e63 0fb9361 0fca856 
0fc107a 0fb7066 0fce037 
0fc5299 0fbad67 0fd8aac 
0fc9bfb 0fbf87b 0fdb42c 
0fc88ca 0fbeb9f 0fd2f45 
0fc34d8 0fb99d7 0fcabf8 
0fc154f 0fb7534 0fce00a 
0fc571f 0fbb1d9 0fd8a6a 
0fca13e 0fbfdb4 0fdb4b7 
0fc8e46 0fbf10c 0fd3031 
0fc39b9 0fb9ead 0fca918 
0fc1a47 0fb7a18 0fcdae1 
0fc5c2b 0fbb6c2 0fd874b 
0fca66b 0fc02b2 0fdb3a8 
0fc93b7 0fbf65c 0fd3071 
0fc3ed4 0fba3b0 0fca8a1 
0fc1f7c 0fb7f3a 0fcd922 
0fc616c 0fbbbf8 0fd859d 
0fcabb3 0fc07f2 0fdb1a7 
0fc9960 0fbfc06 0fd302c 
