0fe79e3 0fbc84f 001779c 
0fdb64b 0fbbfff 000d102 
0fd1011 0fb6192 00035e7 
0fd6f90 0fb2f52 0007d67 
0fe4c90 0fb6da7 00142a2 
0fe7a72 0fbc681 00179cd 
0fdb79a 0fbbe7e 000d7b0 
0fd10f7 0fb61c6 000314a 
0fd7173 0fb2fed 000787c 
0fe4f05 0fb6fdd 0014286 
0fe7df7 0fbcaf4 0017aa0 
0fdba2d 0fbc52f 000d4f4 
0fd0f6d 0fb66c4 0003486 
0fd6d34 0fb330b 0007a30 
0fe4c6b 0fb719d 00142b4 
0fe7d16 0fbcbe2 0017a56 
0fdba16 0fbc5cb 000d39e 
0fd0fd6 0fb67a1 0003562 
0fd6c8d 0fb332f 0007c49 
0fe4ac2 0fb704a 0014303 
0fe7c15 0fbca6f 0017977 
0fdb96f 0fbc49e 000d26d 
0fd0ce4 0fb662e 0003235 
0fd686d 0fb312a 00075d0 
0fe48e8 0fb6dae 0013cd0 
0fe7b25 0fbc825 0017719 
0fdb82e 0fbc2fb 000d393 
0fd0b2a 0fb640b 00033c1 
0fd6657 0fb2e11 0007718 
0fe4791 0fb6a96 0013f93 
0fe7c95 0fbc5a1 0017bc1 
0fdbb3c 0fbc0c5 000d816 
0fd0d73 0fb6281 000362a 
0fd668c 0fb2cf0 00077ae 
0fe47e5 0fb6a05 0013fe3 
0fe7e15 0fbc54d 0017c89 
0fdbd2b 0fbc1a3 000d85e 
0fd0f10 0fb641a 00035bc 
0fd6812 0fb2dfe 0007593 
0fe49f8 0fb6ac2 0013d3e 
0fe8065 0fbc61a 00179f4 
0fdbf0a 0fbc2ef 000d5b2 
0fd0f3c 0fb650a 00031f0 
0fd66be 0fb2edf 00071ba 
0fe46b8 0fb6b7f 0013962 
0fe7dbe 0fbc76b 0017729 
0fdbe7a 0fbc4e1 000d50f 
0fd0e8c 0fb6771 00031d1 
0fd6614 0fb30e6 00071b6 
0fe475c 0fb6ca6 0013a0d 
0fe7fc5 0fbc94e 0017927 
0fdc07d 0fbc78d 000d70f 
0fd0f54 0fb69f8 00032ae 
0fd6557 0fb3298 0007151 
0fe468d 0fb6e10 0013983 
0fe8115 0fbcace 0017a92 
0fdc2ac 0fbc9f4 000da64 
0fd116d 0fb6ccc 000364f 
0fd66f1 0fb34c9 0007497 
0fe4941 0fb7010 0013da1 
0fe8460 0fbcd94 0017f42 
0fdc441 0fbcd28 000ddab 
0fd106f 0fb6f94 00037a6 
0fd6410 0fb37bd 00073b9 
0fe4711 0fb72e2 0013d10 
0fe82f8 0fbcff9 0017edb 
0fdc441 0fbcfa1 000dda0 
0fd10e0 0fb727d 00037a5 
0fd6525 0fb3ae8 00074a0 
0fe48b8 0fb75db 0013d9d 
0fe86c9 0fbd368 0018125 
0fdc77c 0fbd3f2 000df99 
0fd1241 0fb76c8 0003740 
0fd6492 0fb3e23 0007160 
0fe482d 0fb7911 00139df 
0fe87aa 0fbd78d 0017ea5 
0fdc971 0fbd89d 000de79 
0fd1236 0fb7bee 00035ba 
0fd636b 0fb42d3 0006fef 
0fe47fc 0fb7dcb 0013a1e 
0fe88fa 0fbddb1 0018067 
0fdcabd 0fbe0a0 000e016 
0fd1356 0fb83f7 000367a 
0fd63a6 0fb4b1b 0006fcf 
0fe488d 0fb86b6 0013a52 
0fe8a7c 0fbe774 001821f 
0fdcd48 0fbeb38 000e2ed 
0fd14c4 0fb8f87 000385a 
0fd641a 0fb565d 0006ffb 
0fe4b87 0fb924c 0013bce 
0fe90e2 0fbf489 00185c7 
0fdd3af 0fbf9b6 000e694 
0fd17e1 0fb9e97 0003958 
0fd65f0 0fb65fe 0007055 
0fe4e47 0fba2ba 0013d77 
0fe93f8 0fc05e9 0018817 
0fdd667 0fc0c3b 000e88d 
0fd1a93 0fbb18e 0003b32 
0fd67b2 0fb788d 000715a 
0fe51c9 0fbb536 0013f4b 
0fe9941 0fc198e 0018c67 
0fdda8a 0fc20e9 000ec96 
0fd1a8f 0fbc630 0003bd6 
0fd655e 0fb8d2f 0007024 
0fe502b 0fbc9cb 0013e63 
0fe98fa 0fc2e83 0018c20 
0fdda72 0fc365d 000ebb0 
0fd18ac 0fbdb42 0003938 
0fd61d7 0fba063 0006c8f 
0fe4e34 0fbdc43 0013bbc 
0fe971f 0fc406a 0018a3c 
0fdd863 0fc4745 000e918 
0fd14dd 0fbeb03 000343e 
0fd5b78 0fbae5c 0006583 
0fe4914 0fbe8c0 0013579 
0fe9406 0fc4c2b 00185aa 
0fdd5d6 0fc51d7 000e5ae 
0fd10c8 0fbf3ab 0003103 
0fd5593 0fbb541 0006312 
0fe4545 0fbee30 0013534 
0fe92d9 0fc5177 0018862 
0fdd644 0fc5843 000e8d1 
0fd107e 0fbf9aa 00032d3 
0fd5501 0fbba0c 00064e5 
0fe4734 0fbf337 00138ad 
0fe9513 0fc5729 0018c3e 
0fdd80a 0fc5e57 000ec62 
0fd108a 0fbffbd 00035bd 
0fd5170 0fbbf7a 00065f3 
0fe436f 0fbf836 00138fe 
0fe935b 0fc5d0b 0018dcc 
0fdd7fe 0fc650c 000ee51 
0fd0f24 0fc0663 00035dd 
0fd4d75 0fbc4c1 00064f2 
0fe40cf 0fbfc79 00138ea 
0fe90e0 0fc6082 0018f4a 
0fdd53f 0fc6819 000ef43 
0fd0dc6 0fc0986 000368e 
0fd4a1a 0fbc7e0 0006427 
0fe4092 0fbffcc 00138c1 
0fe9421 0fc6541 0019141 
0fdda24 0fc6e12 000f1cf 
0fd0f8b 0fc0fcb 00036aa 
0fd47a0 0fbcd88 00063e5 
0fe407c 0fc0609 0013993 
0fe969b 0fc6d2b 00193fd 
0fddf69 0fc7869 000f6d7 
0fd179d 0fc1bc6 0003df3 
0fd4f43 0fbdc21 0006c81 
0fe4a9e 0fc1813 00143b4 
0fea1b5 0fc81db 001a01d 
0fdebfb 0fc8ff8 0010309 
0fd224e 0fc35bf 0004868 
0fd51d0 0fbf924 00075fe 
0fe4f8e 0fc36d4 0014ced 
0fea6f2 0fca284 001a8b2 
0fdf545 0fcb1b3 0010954 
0fd3503 0fc55ed 0004ad2 
0fd5224 0fc170c 0007663 
0fe4cfe 0fc5352 0014e32 
0feaad2 0fcc0a6 001aef7 
0fe0638 0fcd32b 0011577 
0fd558e 0fc7c4c 00057cb 
0fd61b2 0fc4204 00080b3 
0fe526c 0fc80fe 001552a 
0fead96 0fcedca 001afa8 
0fe1391 0fcfcb3 0011126 
0fd746f 0fca077 0004dd5 
0fd6439 0fc5f6c 000750f 
0fe3fae 0fc98ad 00148b0 
0fea05a 0fd019f 001a4e5 
0fe14bf 0fd0d59 0010882 
0fd803a 0fcadb1 0004440 
0fd646a 0fc690a 0006b4b 
0fe366a 0fca035 0014044 
0fe9bca 0fd07fe 0019f2a 
0fe155b 0fd12b2 0010440 
0fd8348 0fcb115 0003ff7 
0fd636f 0fc6afd 000668c 
0fe30f2 0fca06f 0013bf0 
0fe9895 0fd079f 0019c3e 
0fe14b2 0fd1254 00102e4 
0fd82b2 0fcb0a0 0003f69 
0fd621f 0fc69f4 00065ad 
0fe30bb 0fc9f0b 0013ca7 
0fe9920 0fd059a 0019e30 
0fe146a 0fd10a6 00104ed 
0fd8245 0fcb036 0004109 
0fd6316 0fc69da 00066e8 
0fe33c0 0fc9f6d 0013d70 
0fe9cfb 0fd0732 0019f5e 
0fe177d 0fd1361 0010721 
0fd853d 0fcb340 00042e8 
0fd6455 0fc6d1f 0006777 
0fe32a8 0fca28a 0013db8 
0fe9d67 0fd0af6 001a099 
0fe1b5c 0fd187b 0010a50 
0fd8ab7 0fcb8cc 000446f 
0fd6755 0fc72a1 0006729 
0fe3192 0fca800 0013cc3 
0fe9d6d 0fd1077 001a06b 
0fe1ee8 0fd1dec 0010c02 
0fd905b 0fcbe8c 000457c 
0fd69f4 0fc77f7 0006753 
0fe2f41 0fcad10 0013c19 
