0f16520 0f109e5 0f6d903 
0f11561 0f0ba4a 0f61e2c 
0f106d9 0f0a9ba 0f54069 
0f14e5d 0f0efd5 0f4c086 
0f18bb9 0f12e5a 0f4eb4c 
0f16df2 0f112b2 0f545ed 
0f12012 0f0c50a 0f52765 
0f1123c 0f0b526 0f497c7 
0f159fc 0f0fb66 0f441e3 
0f19793 0f13a05 0f48611 
0f179b6 0f11e31 0f4f1bd 
0f12b97 0f0d04c 0f4dfa6 
0f11c40 0f0befe 0f459f6 
0f162af 0f10409 0f40a24 
0f19eec 0f1415c 0f454bf 
0f18030 0f124be 0f4c71f 
0f1313d 0f0d60c 0f4b8e4 
0f121bf 0f0c497 0f433a8 
0f1681e 0f10988 0f3e394 
0f1a414 0f1468b 0f42cc2 
0f1851f 0f129a8 0f49d76 
0f135a7 0f0da66 0f48ce5 
0f124f8 0f0c7b3 0f40448 
0f16986 0f10ad1 0f3b215 
0f1a3be 0f14627 0f3fed0 
0f18382 0f12815 0f479c3 
0f13353 0f0d82d 0f473a1 
0f1218c 0f0c46c 0f3f257 
0f1655d 0f106cc 0f3a640 
0f1a04e 0f142cf 0f3f6f6 
0f18122 0f125c2 0f4718d 
0f13125 0f0d615 0f46ba6 
0f11fd7 0f0c2d7 0f3ec94 
0f164da 0f10669 0f39f13 
0f1a029 0f142be 0f3ecf6 
0f180b1 0f12556 0f46699 
0f13111 0f0d5ef 0f45f12 
0f11fc1 0f0c296 0f3de18 
0f16476 0f105c1 0f38ed0 
0f1a017 0f14266 0f3da8a 
0f180da 0f1253e 0f451a0 
0f130f7 0f0d5ae 0f4446d 
0f11ebb 0f0c187 0f3bbba 
0f16303 0f10468 0f36a5d 
0f19ebb 0f14142 0f3b075 
0f17ee8 0f1239e 0f425e1 
0f12d78 0f0d282 0f41ed5 
0f11a34 0f0bd4a 0f39b7e 
0f15e5e 0f0fffc 0f35097 
0f199aa 0f13c59 0f39dae 
0f178f9 0f11dcf 0f41831 
0f125e3 0f0cb07 0f41373 
0f111b4 0f0b4de 0f3920b 
0f154ef 0f0f69d 0f345b8 
0f18f7d 0f1323d 0f390c1 
0f16e2f 0f11311 0f40b1c 
0f11a7f 0f0bfb5 0f404c6 
0f1054e 0f0a889 0f380d4 
