0fb793c 0fb4bc1 0fcde02 
0fbb94d 0fb8cfc 0fd1862 
0fb9c20 0fb721e 0fd21cb 
0fb4982 0fb1fc6 0fced8d 
0fb3569 0fb0983 0fcc53c 
0fb7a4d 0fb4cea 0fcdf93 
0fbb92e 0fb8d0d 0fd1871 
0fb9c5f 0fb7272 0fd21e9 
0fb4bcf 0fb2209 0fcef7b 
0fb3755 0fb0b48 0fcc6a8 
0fb7c6c 0fb4ed0 0fce14e 
0fbbb07 0fb8ed8 0fd19f0 
0fb9e52 0fb7493 0fd2339 
0fb4cf6 0fb2385 0fcf03c 
0fb3887 0fb0cf9 0fcc7f8 
0fb7d10 0fb4ff2 0fce1ef 
0fbbb9d 0fb8f9c 0fd1a1d 
0fb9f0e 0fb7561 0fd23de 
0fb4d6f 0fb2401 0fcf178 
0fb3881 0fb0cc6 0fcc974 
0fb7db5 0fb504c 0fce481 
0fbbd05 0fb90b2 0fd1d5d 
0fba13a 0fb772a 0fd2737 
0fb4fbe 0fb2607 0fcf465 
0fb3a23 0fb0e58 0fccb4c 
0fb7eb8 0fb514c 0fce4f6 
0fbbe80 0fb923f 0fd1d72 
0fba2a4 0fb78c7 0fd274e 
0fb5120 0fb2795 0fcf4e5 
0fb3afd 0fb0f58 0fccbc7 
0fb7f7f 0fb5243 0fce586 
0fbbfa3 0fb9381 0fd1e53 
0fba419 0fb7a54 0fd284c 
0fb51c1 0fb2867 0fcf543 
0fb3b27 0fb0faf 0fccbf0 
0fb7f1d 0fb51f5 0fce563 
0fbbf2c 0fb931d 0fd1e1f 
0fba3fe 0fb7a42 0fd28c8 
0fb51f2 0fb288a 0fcf65e 
0fb3a78 0fb0ef0 0fccc67 
0fb7ddd 0fb50b0 0fce529 
0fbbe7b 0fb9261 0fd1e44 
0fba344 0fb7973 0fd28a1 
0fb50c4 0fb2750 0fcf609 
0fb389b 0fb0d1a 0fccc1d 
0fb7b1f 0fb4e03 0fce44d 
0fbbb4c 0fb8f4e 0fd1cf3 
0fba08f 0fb76ea 0fd27a5 
0fb4e00 0fb24c1 0fcf4de 
0fb35f6 0fb0a9d 0fcca96 
0fb77cd 0fb4ac2 0fce196 
0fbb803 0fb8c02 0fd19ad 
0fb9d1f 0fb7368 0fd2415 
0fb4a10 0fb20bf 0fcf0b7 
0fb314d 0fb05e2 0fcc5c3 
0fb734b 0fb4625 0fcdca7 
0fbb322 0fb8709 0fd1424 
0fb9884 0fb6ec6 0fd1e5f 
0fb45fd 0fb1cad 0fceb42 
0fb2d59 0fb01f5 0fcc058 
0fb6ef2 0fb41ea 0fcd6d2 
0fbaf66 0fb836b 0fd0ee0 
0fb9548 0fb6b9a 0fd19ec 
0fb4233 0fb18f2 0fce6bb 
0fb281a 0fafcc4 0fcbb24 
0fb6990 0fb3c87 0fcd1dc 
0fba995 0fb7d99 0fd09a3 
0fb8fc8 0fb661c 0fd1515 
0fb3cfb 0fb13bd 0fce224 
0fb226d 0faf71e 0fcb651 
0fb635d 0fb365f 0fccc56 
0fba3f7 0fb77ff 0fd044c 
0fb8a19 0fb607a 0fd0fbd 
0fb36c8 0fb0d9b 0fcdc58 
0fb1bd2 0faf095 0fcb055 
0fb5c71 0fb2f74 0fcc5ec 
0fb9dc2 0fb71bf 0fcfddb 
0fb84e5 0fb5b37 0fd09be 
0fb3198 0fb0863 0fcd73f 
0fb1594 0faea58 0fcaaa4 
0fb5598 0fb28a8 0fcbfb1 
0fb96f0 0fb6af8 0fcf786 
0fb7de9 0fb5446 0fd0342 
0fb2a9f 0fb0173 0fcd12c 
0fb0e6d 0fae331 0fca49b 
0fb4dfe 0fb2106 0fcb932 
0fb8f4a 0fb6344 0fcf098 
0fb76f5 0fb4d3f 0fcfcdf 
0fb23ac 0fafa6e 0fccae7 
0fb06b9 0fadb6f 0fc9da3 
0fb462e 0fb1927 0fcb1ec 
0fb876b 0fb5b65 0fce91a 
0fb6f49 0fb459d 0fcf563 
0fb1be5 0faf2c0 0fcc369 
0fafeee 0fad3b8 0fc9630 
0fb3ed4 0fb11de 0fcaaba 
0fb8121 0fb5526 0fce2bc 
0fb6a18 0fb4075 0fcf008 
0fb1726 0faee09 0fcbec5 
0fafa93 0facf69 0fc9236 
0fb3a76 0fb0d8c 0fca6bd 
0fb7d40 0fb5151 0fcded5 
0fb66f0 0fb3d56 0fceca6 
0fb13dd 0faeacd 0fcbb29 
0faf665 0facb44 0fc8da9 
0fb3618 0fb092a 0fca188 
0fb7996 0fb4d97 0fcd9cb 
0fb631f 0fb3972 0fce740 
0fb0f12 0fae5f6 0fcb529 
0faf0eb 0fac5c6 0fc873a 
0fb3071 0fb0384 0fc9ae5 
0fb73d8 0fb47de 0fcd2db 
0fb5dbb 0fb3425 0fce0cb 
0fb0a84 0fae17a 0fcafcf 
0faebfa 0fac0e8 0fc81e6 
0fb2af6 0fafe0c 0fc951d 
0fb6e7c 0fb4285 0fccd53 
0fb588f 0fb2ef2 0fcdba4 
0fb04ca 0fadbbe 0fcaa85 
0fae615 0fabb08 0fc7cc8 
0fb2515 0faf837 0fc9026 
0fb6922 0fb3d2d 0fcc8c1 
0fb538f 0fb29f3 0fcd765 
0fb0013 0fad70c 0fca6bd 
0fae15e 0fab64e 0fc7920 
0fb2030 0faf352 0fc8c3e 
0fb6483 0fb388c 0fcc4d4 
0fb4fa1 0fb2604 0fcd3e8 
0fafc62 0fad35a 0fca370 
0fadc91 0fab180 0fc74b5 
