0fb2119 0fb149a 0fc7966 
0fb3f5d 0fb3440 0fca156 
0fb1314 0fb0993 0fc91eb 
0fad98c 0facfac 0fc604e 
0fae3ff 0fad84a 0fc527d 
0fb2429 0fb17c4 0fc7c0e 
0fb42e3 0fb37f3 0fca46e 
0fb17a3 0fb0e54 0fc9574 
0fadebc 0fad4f8 0fc6424 
0fae8e0 0fadd4a 0fc5639 
0fb2958 0fb1d1b 0fc805c 
0fb47a5 0fb3ceb 0fca8ca 
0fb1b6d 0fb125b 0fc9958 
0fae24d 0fad8af 0fc67e1 
0faec65 0fae0e7 0fc59f6 
0fb2d17 0fb20fe 0fc84a4 
0fb4be8 0fb4154 0fcadf3 
0fb1fbe 0fb16cd 0fc9ed3 
0fae639 0fadcb8 0fc6d51 
0faf067 0fae4e4 0fc5fc1 
0fb3113 0fb24d9 0fc8a66 
0fb505e 0fb459b 0fcb3d4 
0fb2469 0fb1b38 0fca495 
0faeaeb 0fae12d 0fc72c4 
0faf49f 0fae8f4 0fc6441 
0fb3502 0fb289c 0fc8e60 
0fb53a1 0fb4884 0fcb724 
0fb272a 0fb1db3 0fca764 
0faed87 0fae3ad 0fc7546 
0faf7a3 0faebeb 0fc6725 
0fb385a 0fb2c05 0fc917f 
0fb56b4 0fb4bd8 0fcb9e4 
0fb29fc 0fb20bf 0fca9d3 
0faef9e 0fae5de 0fc7737 
0faf924 0faed7a 0fc68c8 
0fb3876 0fb2c34 0fc91ee 
0fb56a7 0fb4be4 0fcba31 
0fb2971 0fb2050 0fca990 
0faeee2 0fae537 0fc7684 
0faf868 0faecc7 0fc67cd 
0fb37b3 0fb2b69 0fc90ab 
0fb55ae 0fb4ae4 0fcb8c3 
0fb2892 0fb1f62 0fca85a 
0faee58 0fae4a6 0fc75c0 
0faf73c 0faeba3 0fc6690 
0fb36d9 0fb2a99 0fc8ff7 
0fb546e 0fb49b7 0fcb7db 
0fb2742 0fb1e26 0fca776 
0faec79 0fae2d8 0fc7452 
0faf570 0fae9eb 0fc6541 
0fb34fc 0fb28da 0fc8edd 
0fb52c2 0fb481f 0fcb72c 
0fb258b 0fb1c7e 0fca6f7 
0faeb0e 0fae169 0fc744c 
0faf4b5 0fae916 0fc6612 
0fb33b5 0fb2768 0fc8f0d 
0fb5051 0fb4589 0fcb615 
0fb22ba 0fb1992 0fca543 
0fae823 0fade6d 0fc724e 
0faf113 0fae56c 0fc633d 
0fb3012 0fb23cf 0fc8c31 
0fb4d0e 0fb4245 0fcb380 
0fb1efe 0fb15ce 0fca25d 
0fae42c 0fada75 0fc6f54 
0faecd4 0fae128 0fc5fe1 
0fb2b52 0fb1f02 0fc884e 
0fb47ad 0fb3ce4 0fcaf02 
0fb1929 0fb1001 0fc9d44 
0faddda 0fad42f 0fc69a7 
0fae65e 0fadac5 0fc5a0a 
0fb250a 0fb18ce 0fc826e 
0fb41bc 0fb3706 0fca949 
0fb139d 0fb0a89 0fc97cb 
0fad8a0 0facf08 0fc6430 
0fae0ec 0fad572 0fc5416 
0fb1f80 0fb136b 0fc7c54 
0fb3bc5 0fb3137 0fca2cc 
0fb0d82 0fb0486 0fc9155 
0fad25e 0fac8cd 0fc5db8 
0fadabb 0facf37 0fc4dd8 
0fb18bb 0fb0c92 0fc7594 
0fb34ec 0fb2a4a 0fc9c0e 
0fb0638 0fafd33 0fc8a10 
0faca96 0fac10e 0fc55ff 
0fad365 0fac7f3 0fc466b 
0fb1313 0fb06f7 0fc6fa4 
0fb3033 0fb2596 0fc96e3 
0fb0264 0faf95e 0fc85ce 
0fac7ff 0fabe6d 0fc52f7 
0fad18a 0fac607 0fc4419 
0fb11b0 0fb0581 0fc6db2 
0fb2fe0 0fb252a 0fc95fe 
0fb02ae 0faf986 0fc85a0 
0fac7f3 0fabe41 0fc52b6 
0fad0cd 0fac534 0fc4366 
0fb0eeb 0fb02b6 0fc6b35 
0fb2aa6 0fb1fff 0fc9162 
0fafa5a 0faf15a 0fc7e3e 
0fabc9d 0fab317 0fc485e 
0fac41f 0fab89c 0fc377f 
0fb01f2 0faf5c2 0fc5ec4 
0fb1d1b 0fb1267 0fc841e 
0faecdf 0fae3c9 0fc70f7 
0faaefb 0faa55e 0fc3aee 
0fab512 0faa984 0fc28aa 
