0fb6620 0fb7081 0fc80a7 
0fb2bd5 0fb389e 0fc693a 
0fae739 0faf342 0fc2afd 
0faf75d 0fb00b8 0fc1d69 
0fb4700 0fb4f75 0fc54a5 
0fb68c6 0fb7348 0fc8503 
0fb2f48 0fb3be9 0fc6d37 
0faea9c 0faf67b 0fc2ee0 
0fafaaf 0fb0405 0fc213c 
0fb4aaa 0fb5343 0fc58af 
0fb6d73 0fb7820 0fc89aa 
0fb3433 0fb4107 0fc71ff 
0faefd3 0fafbdf 0fc33fe 
0fb000c 0fb0985 0fc269a 
0fb5001 0fb58ab 0fc5ded 
0fb7291 0fb7d40 0fc8ec2 
0fb39a9 0fb4677 0fc7794 
0faf48d 0fb009b 0fc3933 
0fb0475 0fb0de0 0fc2b6a 
0fb5444 0fb5cd3 0fc627e 
0fb77c9 0fb8263 0fc9423 
0fb3f53 0fb4c17 0fc7d58 
0faf9c8 0fb05d8 0fc3e98 
0fb080e 0fb1186 0fc2f6f 
0fb578a 0fb6019 0fc660e 
0fb7abe 0fb8546 0fc9724 
0fb41da 0fb4e75 0fc8007 
0fafc41 0fb081a 0fc419c 
0fb0a57 0fb139c 0fc327e 
0fb58b8 0fb6125 0fc6823 
0fb7b5a 0fb85d7 0fc98a6 
0fb42c5 0fb4f68 0fc81d2 
0fafc8f 0fb0879 0fc42bf 
0fb09f6 0fb134b 0fc32d4 
0fb585a 0fb60da 0fc6829 
0fb7b0f 0fb859b 0fc9861 
0fb4200 0fb4eb4 0fc80e7 
0fafb81 0fb076f 0fc4184 
0fb088f 0fb11e3 0fc3130 
0fb56f4 0fb5f71 0fc6651 
0fb7ab8 0fb853e 0fc9754 
0fb4204 0fb4eb0 0fc8007 
0fafaa2 0fb0699 0fc3fe5 
0fb0693 0fb1007 0fc2e90 
0fb5455 0fb5cf2 0fc62e8 
0fb780b 0fb82b3 0fc93b5 
0fb3f81 0fb4c53 0fc7cbd 
0faf79d 0fb03b5 0fc3c78 
0fb0383 0fb0d04 0fc2b65 
0fb5176 0fb5a0b 0fc6011 
0fb754d 0fb7fdb 0fc9137 
0fb3c72 0fb4929 0fc7a3d 
0faf46d 0fb006d 0fc3a00 
0faff89 0fb08f3 0fc2825 
0fb4da7 0fb563a 0fc5d04 
0fb713a 0fb7bd7 0fc8dde 
0fb3853 0fb4512 0fc76d7 
0faf028 0fafc2d 0fc3692 
0fafab5 0fb042e 0fc2442 
0fb479f 0fb5036 0fc57be 
0fb6b18 0fb75ac 0fc883b 
0fb327e 0fb3f3f 0fc7188 
0fae94f 0faf563 0fc3061 
0faf389 0fafd07 0fc1dab 
0fb40f2 0fb497d 0fc5159 
0fb650f 0fb6f8c 0fc8257 
0fb2ce8 0fb3989 0fc6bfa 
0fae438 0faf02f 0fc2b74 
0faee4c 0faf7ad 0fc18b5 
0fb3b7c 0fb43fa 0fc4c13 
0fb600e 0fb6a81 0fc7d1e 
0fb2806 0fb34a4 0fc66bc 
0fadf5b 0faeb57 0fc2644 
0fae92e 0faf29d 0fc1343 
0fb36bd 0fb3f47 0fc46c9 
0fb5bed 0fb6675 0fc7861 
0fb24c5 0fb3182 0fc62ee 
0fadc3f 0fae85a 0fc22cd 
0fae60c 0faef95 0fc0fcd 
0fb3396 0fb3c2c 0fc4328 
0fb58cc 0fb6352 0fc7495 
0fb21d1 0fb2e90 0fc5f71 
0fad8c7 0fae4e9 0fc1ef0 
0fae1cf 0faeb65 0fc0b5c 
0fb2f3e 0fb37e5 0fc3eaf 
0fb544a 0fb5ef7 0fc7008 
0fb1d1b 0fb2a01 0fc5ab7 
0fad41b 0fae05f 0fc1a73 
0fadca4 0fae651 0fc0666 
0fb29da 0fb328b 0fc3956 
0fb4f92 0fb5a35 0fc6b26 
0fb1885 0fb255c 0fc5611 
0faceec 0fadb29 0fc1561 
0fad6a5 0fae056 0fc00a4 
0fb22c5 0fb2b7e 0fc3282 
0fb47d4 0fb5283 0fc63a4 
0fb0fa0 0fb1c80 0fc4d4e 
0fac4c4 0fad103 0fc0b72 
0facbd1 0fad576 0fbf619 
0fb17ba 0fb2069 0fc27ab 
0fb3cdc 0fb477d 0fc58b5 
0fb0544 0fb121c 0fc4328 
0fab9b3 0fac5ed 0fc00cd 
0fabfe3 0fac985 0fbea8e 
0fb0bc6 0fb145d 0fc1bd7 
0fb30df 0fb3b64 0fc4cb1 
0faf874 0fb0536 0fc365c 
0faac99 0fab8cd 0fbf3dc 
0fab306 0fabca9 0fbdddf 
0faff31 0fb07da 0fc0f5d 
0fb24cc 0fb2f70 0fc40bb 
0faed91 0fafa72 0fc2b97 
0faa1cd 0faae16 0fbe932 
0faa804 0fab1bc 0fbd2fe 
0faf41f 0fafcd6 0fc0430 
0fb19be 0fb2467 0fc3548 
0fae1ca 0faeeb8 0fc1f66 
0fa95c1 0faa224 0fbdcdb 
0fa9bba 0faa587 0fbc656 
0fae7b6 0faf07f 0fbf734 
0fb0e23 0fb18db 0fc28f2 
0fad739 0fae427 0fc1426 
0fa8b32 0fa9788 0fbd1c1 
0fa90f5 0fa9ab7 0fbbb18 
0fade21 0fae6e3 0fbed1b 
0fb04fc 0fb0fb7 0fc1f6f 
0facd99 0fada9a 0fc0a77 
0fa8130 0fa8da3 0fbc7f9 
0fa8694 0fa906c 0fbb106 
0fad2fe 0fadbc7 0fbe234 
0faf9f1 0fb049f 0fc147f 
0fac276 0facf61 0fbff84 
0fa7593 0fa81f3 0fbbcc0 
0fa79f3 0fa83bc 0fba4df 
0fac621 0facee0 0fbd5b9 
0faed50 0faf804 0fc0835 
0fab5e1 0fac2d8 0fbf371 
0fa689c 0fa7508 0fbb07b 
0fa6ccd 0fa769f 0fb9854 
0fab8fe 0fac1c0 0fbc8ea 
0fae00d 0faeabc 0fbfb2d 
0faa928 0fab628 0fbe706 
0fa5b22 0fa67ab 0fba387 
0fa5e2d 0fa681c 0fb8a55 
0faa9ba 0fab28b 0fbba2b 
0fad1bc 0fadc72 0fbed25 
0fa9a6e 0faa76d 0fbd8b6 
0fa4bbc 0fa5835 0fb94b4 
0fa4e72 0fa5846 0fb7b23 
0fa9a8a 0faa34b 0fbab5f 
0fac262 0facd17 0fbde46 
0fa8ac6 0fa97d5 0fbc9ad 
0fa3beb 0fa4878 0fb85af 
0fa3ea2 0fa4887 0fb6c11 
0fa8b1a 0fa93e1 0fb9c7a 
0fab471 0fabf1a 0fbd087 
0fa7df2 0fa8ae0 0fbbce8 
0fa2f23 0fa3b95 0fb78fe 
0fa3259 0fa3c33 0fb5ff1 
0fa7fc4 0fa888f 0fb912e 
0faa9a6 0fab45c 0fbc5a8 
0fa73f3 0fa80ec 0fbb2ce 
0fa2631 0fa3298 0fb6fef 
0fa29d5 0fa338e 0fb5744 
0fa77bb 0fa804f 0fb88d6 
0faa2ad 0faad2c 0fbbe58 
0fa6e09 0fa7ae3 0fbaca7 
0fa1fc9 0fa2c32 0fb6990 
0fa2333 0fa2d02 0fb50f1 
0fa7177 0fa7a23 0fb82ee 
0fa9cfc 0faa787 0fbb8d8 
0fa68d7 0fa75a9 0fba792 
0fa1b76 0fa27cd 0fb656c 
0fa1efc 0fa28bc 0fb4d0f 
0fa6d85 0fa762f 0fb7f65 
0fa9931 0faa3bb 0fbb566 
0fa6566 0fa723f 0fba47c 
0fa185d 0fa24b8 0fb62bc 
0fa1bee 0fa25ac 0fb4a56 
0fa6ab6 0fa7343 0fb7cae 
0fa9850 0faa2ad 0fbb469 
0fa6603 0fa72af 0fba4e0 
