0faae69 0fa5814 0fa7f46 
0fa7316 0fa1ca9 0fa4413 
0fab131 0fa5a01 0fa8212 
0fb11db 0faba94 0fae2ef 
0fb1096 0faba0c 0fae210 
0faadb5 0fa57c5 0fa7f4c 
0fa72e4 0fa1c65 0fa4416 
0fab194 0fa5a18 0fa8235 
0fb1284 0fababa 0fae2e5 
0fb11ea 0fabacd 0fae28f 
0faafdc 0fa5946 0fa80b7 
0fa75aa 0fa1eaa 0fa465f 
0fab493 0fa5cbe 0fa850c 
0fb15e1 0fabdfc 0fae66e 
0fb154d 0fabe4f 0fae634 
0fab356 0fa5cf1 0fa8486 
0fa79b0 0fa22d6 0fa4ab4 
0fab891 0fa60d3 0fa8937 
0fb1922 0fac151 0fae9c0 
0fb17c5 0fac0da 0fae8ca 
0fab59b 0fa5f50 0fa86e9 
0fa7bab 0fa24e5 0fa4cd5 
0faba0d 0fa6257 0fa8ad3 
0fb1a50 0fac27d 0faeb00 
0fb18cd 0fac1d4 0fae9e3 
0fab67f 0fa6013 0fa87e0 
0fa7cf8 0fa2616 0fa4e41 
0fabc22 0fa6462 0fa8d2b 
0fb1cb2 0fac4e7 0faedc3 
0fb1b5b 0fac479 0faecdd 
0fab8a5 0fa6267 0fa8a7a 
0fa7f15 0fa2875 0fa50db 
0fabe7f 0fa6704 0fa8fe0 
0fb1f03 0fac774 0faf03e 
0fb1d29 0fac67f 0faeec5 
0faba2e 0fa6428 0fa8c0c 
0fa809a 0fa2a1b 0fa524d 
0fabf97 0fa6832 0fa90f0 
0fb1f5c 0fac7d6 0faf09f 
0fb1d3d 0fac68c 0faeecc 
0fabae9 0fa64cd 0fa8ca5 
0fa81f7 0fa2b65 0fa53a2 
0fac211 0fa6a90 0fa936b 
0fb22e1 0facb39 0faf435 
0fb216a 0faca9e 0faf320 
0fabfa7 0fa697d 0fa9197 
0fa876f 0fa30d9 0fa5941 
0fac7ee 0fa707c 0fa9971 
0fb295a 0fad1c8 0fafad2 
0fb2890 0fad1d7 0fafa57 
0fac5f3 0fa6fc9 0fa97d6 
0fa8ce1 0fa3645 0fa5e86 
0facd63 0fa75e3 0fa9ea0 
0fb2ecb 0fad72d 0fb0002 
0fb2d84 0fad6c1 0faff22 
0faca7a 0fa7456 0fa9c50 
0fa913b 0fa3a9c 0fa62e8 
0fad1af 0fa7a2b 0faa2eb 
0fb323f 0fada9a 0fb0357 
0fb2fde 0fad90c 0fb0134 
0facc4f 0fa7624 0fa9dc8 
0fa922d 0fa3b9e 0fa6380 
0fad22a 0fa7ac6 0faa323 
0fb32e8 0fadb6a 0fb03cc 
0fb3076 0fad9cb 0fb019e 
0faccab 0fa768f 0fa9df9 
0fa92af 0fa3c34 0fa63e0 
0fad245 0fa7af6 0faa342 
0fb3384 0fadc17 0fb0493 
0fb3157 0fadad7 0fb02d5 
0facd26 0fa774b 0fa9eed 
0fa9350 0fa3d0c 0fa64fc 
0fad393 0fa7c6c 0faa4e2 
0fb34fa 0faddc1 0fb062d 
0fb328d 0fadc35 0fb0414 
0face9a 0fa78e6 0faa055 
0fa9440 0fa3e21 0fa65c2 
0fad467 0fa7d66 0faa58e 
0fb3578 0fade70 0fb069b 
0fb335b 0fadd2e 0fb04dc 
0facf19 0fa7988 0faa0cf 
0fa951a 0fa3f1b 0fa66be 
0fad5f5 0fa7f08 0faa737 
0fb37e4 0fae0d2 0fb0921 
0fb3632 0fadffa 0fb07c4 
0fad2f4 0fa7d51 0faa4cb 
