0fac81e 0fa69bc 0fa91d0 
0fad17c 0fa71d8 0fa9a9f 
0fb4803 0fae7a4 0fb10db 
0fb87e0 0fb284c 0fb513f 
0fb3a4f 0fadbf0 0fb0475 
0fac999 0fa6b32 0fa9410 
0fad235 0fa727e 0fa9c4a 
0fb485b 0fae7e7 0fb1245 
0fb8926 0fb2982 0fb538f 
0fb3bcf 0fadd65 0fb06e9 
0facb42 0fa6cc9 0fa9677 
0fad437 0fa746c 0fa9ef4 
0fb4a2e 0fae9ac 0fb14b2 
0fb8b68 0fb2bb2 0fb5651 
0fb3e65 0fadfec 0fb09d8 
0face04 0fa6f7c 0fa9972 
0fad748 0fa7775 0faa225 
0fb4d65 0faecdb 0fb17fd 
0fb8eea 0fb2f2e 0fb59d2 
0fb4204 0fae387 0fb0d4c 
0fad174 0fa72f2 0fa9cab 
0fad9f3 0fa7a2c 0faa48a 
0fb4fb1 0faef35 0fb19ca 
0fb91eb 0fb323e 0fb5c22 
0fb45cd 0fae767 0fb1080 
0fad478 0fa760c 0fa9f2d 
0fadbf1 0fa7c3a 0faa624 
0fb51cf 0faf15e 0fb1bc9 
0fb9422 0fb347e 0fb5e9a 
0fb4852 0fae9f0 0fb1387 
0fad70d 0fa78a5 0faa26b 
0fade41 0fa7e8e 0faa932 
0fb5447 0faf3d8 0fb1f07 
0fb9769 0fb37be 0fb6296 
0fb4b9b 0faed2b 0fb175b 
0fad97f 0fa7b06 0faa548 
0fae0da 0fa8112 0faac16 
0fb56f8 0faf669 0fb21d2 
0fb9a58 0fb3a8a 0fb6574 
0fb4e64 0faefd3 0fb1a21 
0fadc4c 0fa7db3 0faa813 
0fae26f 0fa8295 0faada2 
0fb57bd 0faf71e 0fb228e 
0fb9b85 0fb3ba4 0fb6698 
0fb508e 0faf1f4 0fb1c12 
0fade43 0fa7fad 0faa9b2 
0fae398 0fa83ce 0faae80 
0fb58c3 0faf844 0fb2358 
0fb9d1f 0fb3d70 0fb6801 
0fb52fa 0faf480 0fb1e4a 
0fae096 0fa821c 0faabec 
0fae5ae 0fa85fe 0fab086 
0fb5aed 0fafa86 0fb2583 
0fb9f81 0fb3fdd 0fb6a70 
0fb550e 0faf6a6 0fb2092 
0fae2b9 0fa8448 0faae44 
0fae718 0fa8759 0fab21f 
0fb5c2e 0fafbaa 0fb26ec 
0fba14e 0fb418c 0fb6c50 
0fb5757 0faf8d1 0fb22cf 
0fae416 0fa8581 0faaf8d 
0fae768 0fa8790 0fab263 
0fb5c2d 0fafb84 0fb26cb 
0fba1a6 0fb41b3 0fb6c85 
0fb57d3 0faf91f 0fb232e 
0fae49a 0fa85e9 0faafe5 
0fae70b 0fa871d 0fab1e3 
0fb5b96 0fafadd 0fb260b 
0fba148 0fb414f 0fb6bfe 
0fb5781 0faf8d3 0fb22c5 
0fae34c 0fa84b2 0faaead 
0fae5b9 0fa85e2 0fab095 
0fb5a22 0faf98e 0fb24b9 
0fba09f 0fb40db 0fb6b92 
0fb5727 0faf8ad 0fb22a7 
0fae274 0fa8408 0faae01 
0fae4a1 0fa84fb 0faafa7 
0fb585b 0faf7f3 0fb231b 
0fb9eb0 0fb3f15 0fb69d0 
0fb560a 0faf7b5 0fb21a9 
0fae1d9 0fa838a 0faad63 
0fae471 0fa84e4 0faae46 
0fb59f2 0faf9a8 0fb21d3 
0fba07a 0fb40f5 0fb688a 
0fb57fb 0faf9c6 0fb209b 
0fae3dc 0fa85c2 0faac97 
0fae5e7 0fa868c 0faae17 
0fb5ba9 0fafb77 0fb2366 
0fba272 0fb42ee 0fb6a69 
0fb5991 0fafb4b 0fb222e 
0fae5a5 0fa8754 0faae52 
0fae766 0fa87bd 0faaf76 
0fb5cb0 0fafc26 0fb2455 
0fba452 0fb4478 0fb6c2f 
0fb5c4f 0fafda8 0fb249b 
0fae80b 0fa895e 0fab051 
0fae8e0 0fa88f0 0fab09a 
0fb5deb 0fafd32 0fb254d 
0fba5c4 0fb45ca 0fb6d86 
0fb5d95 0fafef2 0fb25fe 
