0f66d24 0f53dec 0f65c98 0f5d1ce 0f642c6 
0f5f686 0f4c6b5 0f5e5b3 0f55ad7 0f5cbf4 
0f6761c 0f5457f 0f664d7 0f5d9b0 0f64b47 
0f627a2 0f4f89b 0f616ce 0f58c82 0f5fe1f 
0f631a4 0f50066 0f62034 0f594ed 0f6070d 
0f68168 0f5516b 0f67045 0f5e5e1 0f657f7 
0f60dd7 0f4dd6e 0f5fc62 0f571f9 0f5e3eb 
0f6972c 0f5662d 0f6855a 0f5fa48 0f66d41 
0f651c0 0f5222d 0f64025 0f5b64e 0f62916 
0f665c2 0f53559 0f65377 0f5c82f 0f63b16 
0f6bd96 0f58d45 0f6ab8e 0f62219 0f6957c 
0f65330 0f521c9 0f6412a 0f5b7a2 0f62a20 
0f6e877 0f5b69b 0f6d620 0f64c4e 0f6bf4a 
0f6ab89 0f57bff 0f699d0 0f6103e 0f681e8 
0f6c5b3 0f594f3 0f6b2e8 0f6284c 0f69b0e 
0f71fc1 0f5f10b 0f70d89 0f6842b 0f6f77a 
0f6ae3b 0f57dbf 0f69bc5 0f612d0 0f6868c 
0f73a03 0f607ec 0f726b5 0f69cea 0f7121b 
0f6ed0d 0f5bcc0 0f6da72 0f651a8 0f6c6c5 
0f6f508 0f5c14b 0f6df9b 0f655ec 0f6ca92 
0f73c63 0f60ba8 0f727dd 0f69f17 0f71215 
0f6bad5 0f58b94 0f6a72e 0f61dc7 0f68f6b 
0f73563 0f604fc 0f721b9 0f697a0 0f70a63 
0f6db2d 0f5ab3d 0f6c841 0f63ea4 0f6b33f 
0f6dac5 0f5a8fc 0f6c7e5 0f63cbd 0f6b2df 
0f71e9b 0f5ee25 0f70c1a 0f68197 0f6f808 
0f69ce7 0f56c73 0f68b13 0f600e0 0f675ec 
0f713c6 0f5e321 0f70228 0f67813 0f6eca8 
0f6b8cb 0f589d7 0f6a7c4 0f61ec9 0f692b2 
0f6b656 0f5857a 0f6a49a 0f61a7e 0f68e61 
0f6f4e8 0f5c5c8 0f6e39f 0f659f7 0f6cde9 
0f66db7 0f53dfc 0f65c48 0f5d2be 0f645ee 
0f6dd39 0f5ac96 0f6cb73 0f641e2 0f6b49a 
0f67c4d 0f54d78 0f66b4e 0f5e2db 0f654bf 
0f66f46 0f53e83 0f65da7 0f5d40f 0f64621 
0f6a865 0f57951 0f69758 0f60e4a 0f68060 
0f62126 0f4f141 0f60fe5 0f586ad 0f5f877 
0f6944e 0f563dc 0f682d1 0f5f8d1 0f66af8 
0f641a5 0f512b9 0f630cf 0f5a7a0 0f6193d 
0f64418 0f51307 0f632ae 0f5a8ac 0f619ec 
0f68b4d 0f55bea 0f67aa9 0f5f133 0f6624a 
0f6104a 0f4e079 0f5ffe5 0f57608 0f5e6e1 
0f689ea 0f55982 0f679a9 0f5ef1f 0f6604a 
0f63bc2 0f50cb9 0f62c39 0f5a279 0f61361 
0f63dbe 0f50d1b 0f62daf 0f5a2eb 0f61432 
0f682c9 0f553fb 0f67356 0f5e923 0f65a62 
0f60241 0f4d32f 0f5f2f1 0f5685f 0f5d95b 
0f6772b 0f54759 0f667b7 0f5dc80 0f64dca 
0f626e7 0f4f880 0f61827 0f58dbd 0f5fea0 
0f62517 0f4f48d 0f615d0 0f58a83 0f5fb38 
0f66b9a 0f53ce6 0f65ccf 0f5d214 0f6429a 
0f5f048 0f4c141 0f5e168 0f5564e 0f5c6bc 
0f66aa6 0f53af8 0f65b6f 0f5cfc2 0f64094 
0f6201d 0f4f212 0f61173 0f586ae 0f5f739 
0f625a3 0f4f5fa 0f616a4 0f58aea 0f5fb8a 
0f677c8 0f549bf 0f6696d 0f5de4d 0f64ee5 
0f60878 0f4da57 0f5fa57 0f56f18 0f5df7e 
0f68f65 0f5606c 0f680ca 0f5f4ed 0f665e6 
0f652c0 0f52566 0f64488 0f5b950 0f62a68 
0f65ffc 0f530b8 0f6510a 0f5c4ab 0f63634 
0f6ba53 0f58c6a 0f6ab7a 0f61fd7 0f691bf 
0f64ec8 0f51f6f 0f63f8f 0f5b46b 0f625e2 
0f6d8df 0f5a8a9 0f6c942 0f63dad 0f6afae 
0f69d7a 0f56ede 0f68e81 0f603a8 0f6758d 
0f6ac21 0f57b92 0f69c66 0f610ac 0f682a4 
0f70a39 0f5db30 0f6fade 0f66fc5 0f6e1cf 
0f69f30 0f56fb0 0f68f9f 0f60487 0f67635 
0f72a82 0f5fa43 0f71a99 0f68f1f 0f70112 
0f6f1ad 0f5c31f 0f6e234 0f65793 0f6c969 
0f701a1 0f5d11e 0f6f191 0f6660e 0f6d825 
0f76457 0f6358b 0f754e2 0f6ca15 0f73c19 
0f6fc47 0f5cd36 0f6eced 0f661f3 0f6d394 
0f78b83 0f65ba3 0f77c22 0f6f0b5 0f7621e 
0f7589d 0f62a23 0f749bb 0f6bf7f 0f7306c 
0f7690d 0f6385b 0f75939 0f6ce55 0f73f0a 
0f7cc09 0f69cdf 0f7bc90 0f732e6 0f7a343 
0f75f1c 0f62f9f 0f74f6a 0f6c614 0f73613 
0f7e92d 0f6b8d1 0f7d8c2 0f74f22 0f7bfca 
0f7b11a 0f68245 0f7a101 0f71820 0f788e3 
0f7b632 0f6855a 0f7a582 0f71b84 0f78cb6 
0f81557 0f6e5f9 0f8051b 0f77b95 0f7ed1c 
0f7a33b 0f67389 0f792d8 0f70904 0f77a2b 
0f82aa5 0f6fa41 0f81a1f 0f78f86 0f8013a 
0f7f480 0f6c614 0f7e488 0f75ad6 0f7cc1a 
0f7f99e 0f6c9f2 0f7e91b 0f75e86 0f7cf88 
0f85cb8 0f72ee0 0f84c50 0f7c27d 0f83319 
0f7ea7a 0f6bce6 0f7d98f 0f74ffb 0f7bfe2 
0f870a7 0f7428b 0f85f2a 0f7d55e 0f84596 
0f837f7 0f70a63 0f826f8 0f79e46 0f80fb0 
0f835bd 0f7061d 0f82457 0f79ab3 0f80c42 
0f89201 0f763eb 0f8813e 0f7f84c 0f86986 
0f817a3 0f6e983 0f806d5 0f77daf 0f7eee8 
0f892c4 0f763e5 0f881c1 0f7f7f5 0f869c9 
0f84faa 0f7228d 0f83f40 0f7b64e 0f827e4 
0f845b4 0f716a6 0f834bb 0f7aaf8 0f81cf4 
0f89a29 0f76c81 0f889b1 0f8009a 0f872aa 
0f81daa 0f6efb1 0f80d17 0f783f3 0f7f5af 
0f897b6 0f768c3 0f886ae 0f7fd2f 0f86f1a 
0f8590f 0f72bf0 0f8487e 0f7bfed 0f831b2 
0f8522e 0f7235c 0f840eb 0f7b775 0f82973 
0f8aba5 0f77e42 0f89ad0 0f811ff 0f8841e 
0f83581 0f707f3 0f8248d 0f79b9d 0f80d89 
0f8b517 0f7868f 0f8a3d8 0f81a29 0f88c7f 
0f8818f 0f754d0 0f87104 0f7e810 0f859fd 
0f88237 0f753c2 0f87166 0f7e756 0f85978 
0f8e72f 0f7ba01 0f8d706 0f84d40 0f8bf67 
0f87f22 0f751f6 0f86f05 0f7e50b 0f856f0 
0f908d5 0f7daea 0f8f842 0f86db2 0f8e02b 
0f8e49c 0f7b88c 0f8d463 0f84b01 0f8bcfc 
0f8edc2 0f7bfd4 0f8dc89 0f85293 0f8c492 
0f95937 0f82c2f 0f9480b 0f8bec7 0f930f2 
0f8f254 0f7c4cc 0f8e145 0f857f1 0f8c987 
0f97578 0f846c4 0f9646a 0f8da68 0f94c09 
0f94a33 0f81d64 0f93a36 0f8b10c 0f9222d 
0f94896 0f819f7 0f93821 0f8ade4 0f91f0e 
0f9aa50 0f87d1e 0f99ac0 0f9106d 0f981a3 
0f93906 0f80b86 0f929f5 0f89f49 0f9103e 
0f9b305 0f884f2 0f9a482 0f918ef 0f989be 
0f980ad 0f854d6 0f9734c 0f8e872 0f958a8 
0f9859b 0f8581f 0f97803 0f8ec2f 0f95c3b 
0f9ce4d 0f8a296 0f9c157 0f93659 0f9a641 
0f96045 0f833e2 0f95323 0f8c840 0f937a4 
0f9e149 0f8b432 0f9d3b6 0f9489e 0f9b834 
0f993bd 0f867d5 0f98655 0f8fc3e 0f96b73 
0f99fe5 0f8717e 0f9917d 0f906a0 0f9760b 
0f9deb3 0f8b163 0f9d01f 0f94615 0f9b5e1 
0f9654d 0f8370f 0f95636 0f8cbef 0f93b91 
0f9dead 0f8afc8 0f9cef4 0f94438 0f9b45a 
0f98981 0f85bfb 0f97a01 0f8f004 0f96025 
0f991f8 0f86267 0f981cc 0f8f6ae 0f9672f 
0f9d3d2 0f8a5d4 0f9c3ff 0f93971 0f9aa24 
0f95be1 0f82d6a 0f94bd3 0f8c135 0f9317e 
0f9dacd 0f8abd9 0f9ca66 0f93f84 0f9b05f 
0f98b8b 0f85e87 0f97b93 0f8f194 0f9621c 
0f99b5b 0f86c2e 0f98aa6 0f8ffba 0f970be 
0f9e975 0f8bc09 0f9d8e5 0f94f02 0f9c090 
0f97c4c 0f84e92 0f96b89 0f8e1c9 0f95350 
0fa09a0 0f8db79 0f9f861 0f96ea1 0f9e0ea 
0f9c5af 0f8990c 0f9b4d8 0f92c65 0f99e8a 
0f9e039 0f8b17c 0f9ceb9 0f94565 0f9b859 
0fa3532 0f90837 0fa23a5 0f99b35 0fa0fa2 
0f9c7a4 0f89a17 0f9b59c 0f92d1c 0f9a21d 
0fa52bd 0f92491 0fa4082 0f9b7ae 0fa2ad0 
0fa06fa 0f8dbc4 0f9f592 0f96d72 0f9dc6c 
0fa161c 0f8e4fd 0fa03e6 0f979ff 0f9ea11 
0fa5aea 0f92b44 0fa47f4 0f9be5c 0fa3074 
0f9dd16 0f8abc4 0f9c9f7 0f940ea 0f9b428 
0fa5857 0f9272c 0fa4514 0f9bbf6 0fa3103 
0f9fc43 0f8ce08 0f9e95f 0f96131 0f9d691 
0f9fec4 0f8cf25 0f9ebdc 0f961ba 0f9d741 
0fa3962 0f90bd4 0fa2782 0f99d66 0fa12a2 
0f9b51d 0f88795 0f9a41c 0f919c4 0f98e0c 
