0fb6bd7 0faa5c8 0fc6333 0fbc96b 0fb74ef 
0fbbba9 0faf6a2 0fcb31c 0fc1933 0fbc58d 
0fb749d 0faaea3 0fc6c76 0fbd288 0fb7d57 
0fb9886 0fad338 0fc8fe3 0fbf5f3 0fba288 
0fba72d 0fae219 0fc9f27 0fc054e 0fbb075 
0fb6cce 0faa6c6 0fc641c 0fbca66 0fb75f6 
0fbbf43 0fafa3d 0fcb6a6 0fc1ca3 0fbc935 
0fb7b64 0fab589 0fc7323 0fbd93d 0fb8418 
0fba170 0fadbf6 0fc9888 0fbfeb4 0fbab51 
0fbb4f1 0faefa1 0fcacc8 0fc12bb 0fbbe1f 
0fb7dc4 0fab7da 0fc7547 0fbdb7c 0fb86f2 
0fbd22c 0fb0d55 0fcc9d5 0fc2fd1 0fbdc37 
0fb8c6c 0fac6a2 0fc846a 0fbea6b 0fb953c 
0fbb0a5 0faeb5f 0fca7f8 0fc0e18 0fbba9d 
0fbbf29 0fafa08 0fcb724 0fc1cf9 0fbc86f 
0fb854d 0fabf80 0fc7cde 0fbe2f3 0fb8e94 
0fbd779 0fb12b2 0fccf1a 0fc3505 0fbe192 
0fb8f7a 0fac9b8 0fc877e 0fbed5e 0fb985b 
0fbb57e 0faf041 0fcacd0 0fc12dc 0fbbf8a 
0fbc11f 0fafc0c 0fcb92a 0fc1ee6 0fbca69 
0fb88a0 0fac2cb 0fc8023 0fbe625 0fb91d5 
0fbdb1f 0fb1662 0fcd2ca 0fc3899 0fbe52d 
0fb93bf 0face0e 0fc8bc0 0fbf194 0fb9c94 
0fbbbf7 0faf6bf 0fcb33b 0fc194b 0fbc600 
0fbc5f7 0fb00f4 0fcbdf1 0fc23b7 0fbcf4a 
0fb8c4b 0fac677 0fc83ba 0fbe9b8 0fb9580 
0fbdcd3 0fb182d 0fcd473 0fc3a41 0fbe6e6 
0fb91e2 0facc3a 0fc89cc 0fbefaa 0fb9ab7 
0fbb98b 0faf45d 0fcb0c2 0fc16c1 0fbc380 
0fbc067 0fafb74 0fcb87a 0fc1e21 0fbc9ba 
0fb8587 0fabfcf 0fc7d27 0fbe30e 0fb8ecc 
