0fb0986 0fa75b1 0fc47ae 0fb8b99 0fb42dc 
0fabb5d 0fa21d6 0fbfb9e 0fb3960 0faeb6d 
0faad5b 0fa19d1 0fbebf6 0fb2fce 0fae6ad 
0fb13de 0fa7c5e 0fc533b 0fb931c 0fb477a 
0fa7d3c 0f9e60a 0fbbd72 0fafd0b 0fab092 
0fb0bac 0fa77e1 0fc4a0e 0fb8d99 0fb44ee 
0fabf5b 0fa25c3 0fbffef 0fb3d1e 0faef3e 
0faafba 0fa1c34 0fbeec1 0fb3213 0fae8e0 
0fb1740 0fa7fca 0fc56b2 0fb9657 0fb4ab2 
0fa7f37 0f9e7f4 0fbbf8c 0fafeda 0fab245 
0fb0c9a 0fa78ed 0fc4af4 0fb8e98 0fb45be 
0fac192 0fa27ed 0fc0199 0fb3f4a 0faf151 
0fab060 0fa1cd1 0fbeee4 0fb32ab 0fae95d 
0fb181e 0fa8090 0fc56ca 0fb9720 0fb4b6d 
0fa80a3 0f9e942 0fbc006 0fb001a 0fab389 
0fb0c86 0fa78cb 0fc4a5e 0fb8e65 0fb4593 
0fac1ed 0fa2853 0fc01cc 0fb3f99 0faf19a 
0faafc6 0fa1c44 0fbee51 0fb3200 0fae8a5 
0fb1857 0fa810a 0fc57a0 0fb977e 0fb4bb6 
0fa8117 0f9e9e8 0fbc114 0fb0099 0fab403 
0fb0c5c 0fa78c0 0fc4a76 0fb8e2e 0fb4566 
0fac2ba 0fa2943 0fc02e4 0fb4071 0faf275 
0faaf44 0fa1bcf 0fbedc2 0fb3175 0fae829 
0fb18b5 0fa8163 0fc5794 0fb97ca 0fb4c28 
0fa8169 0f9ea0d 0fbc0c8 0fb00b1 0fab43c 
0fb0c8d 0fa78d9 0fc4a14 0fb8e2c 0fb4590 
0fac465 0fa2ad3 0fc0421 0fb41e4 0faf40b 
0faafc3 0fa1c39 0fbee41 0fb31d2 0fae89a 
0fb1ad8 0fa837e 0fc59d4 0fb99ba 0fb4e44 
0fa836b 0f9ec09 0fbc35d 0fb02b7 0fab63c 
0fb0d69 0fa79b7 0fc4ba6 0fb8f17 0fb467e 
0fac5fd 0fa2c6c 0fc064a 0fb4388 0faf5ad 
0faafdd 0fa1c39 0fbee96 0fb31de 0fae8ac 
0fb1ae7 0fa8362 0fc5a12 0fb99ec 0fb4e64 
0fa8252 0f9eaa9 0fbc245 0fb01b9 0fab517 
0fb0cb0 0fa78ac 0fc4a9b 0fb8e97 0fb45cf 
0fac610 0fa2c05 0fc05cb 0fb43c0 0faf5c0 
0faaefc 0fa1af8 0fbed26 0fb3147 0fae7cd 
0fb1b9d 0fa83ca 0fc5a24 0fb9ae5 0fb4f1b 
0fa841c 0f9ec35 0fbc3a2 0fb03cc 0fab6cf 
0fb0cea 0fa78d5 0fc4ad8 0fb8f3a 0fb460b 
0fac78f 0fa2d87 0fc0794 0fb45a8 0faf744 
0faafc0 0fa1bae 0fbee30 0fb3246 0fae879 
0fb1cfb 0fa853e 0fc5bf2 0fb9c8a 0fb506f 
0fa83db 0f9ebf9 0fbc393 0fb03b2 0fab673 
0fb0c0e 0fa77f9 0fc49ca 0fb8e51 0fb4506 
0fac8a3 0fa2e94 0fc084d 0fb46ad 0faf825 
0faae7e 0fa1a58 0fbeca1 0fb310a 0fae70c 
0fb1d1a 0fa8548 0fc5ba4 0fb9cc9 0fb508d 
0fa842f 0f9ec1b 0fbc38a 0fb0406 0fab6a3 
0fb0bc3 0fa7797 0fc4961 0fb8e3e 0fb44cf 
0fac985 0fa2f53 0fc0920 0fb47b1 0faf905 
0faad4f 0fa1912 0fbeb80 0fb300b 0fae5dd 
0fb1d26 0fa854d 0fc5bbd 0fb9cf0 0fb50ac 
0fa8435 0f9ec26 0fbc3d6 0fb0448 0fab6c9 
0fb0b70 0fa774c 0fc4949 0fb8e13 0fb4480 
0fac9a3 0fa2f7b 0fc0985 0fb47fc 0faf92a 
0faac5e 0fa1821 0fbea87 0fb2f33 0fae500 
0fb1cdc 0fa8505 0fc5b34 0fb9c9c 0fb5060 
0fa8356 0f9eb32 0fbc2b8 0fb0351 0fab5bb 
0fb0a7c 0fa765c 0fc4826 0fb8d21 0fb4398 
0facac2 0fa30a4 0fc0a55 0fb48f3 0fafa41 
0faaad5 0fa16ad 0fbe831 0fb2c78 0fae268 
0fb1c89 0fa84f3 0fc5a53 0fb9b4c 0fb4f2c 
0fa83d3 0f9ebf1 0fbc2aa 0fb02b9 0fab550 
0fb09a8 0fa75c7 0fc469b 0fb8b2e 0fb41d4 
