0f5fcf8 0f5a178 0f6bead 0f68263 0f64638 
0f6b23b 0f65795 0f7742e 0f72ea1 0f6fa72 
0f65d2a 0f602a2 0f71f4e 0f6e7b8 0f6a72f 
0f63ad1 0f5df5e 0f6fcf5 0f6b8d5 0f682e7 
0f6cd29 0f672b8 0f78fa2 0f752a5 0f7164c 
0f60840 0f5aced 0f6ca45 0f68e88 0f650c3 
0f6ba55 0f65f75 0f77c88 0f736ba 0f70199 
0f668ac 0f60de2 0f72aa1 0f6f22b 0f6b14e 
0f649d6 0f5ee4d 0f70b70 0f6c595 0f6901d 
0f6e1cd 0f68781 0f7a35b 0f763f2 0f728d1 
0f6235b 0f5c825 0f6e442 0f6a59a 0f669cc 
0f6db12 0f6802f 0f79c24 0f7530f 0f72076 
0f68e52 0f63358 0f74f52 0f713b2 0f6d54c 
0f66f8f 0f612bc 0f7305d 0f6e801 0f6b4cc 
0f70661 0f6a9c5 0f7c7b9 0f7854f 0f74d9e 
0f640d4 0f5e38f 0f7021c 0f6bfc0 0f687bc 
0f6eb27 0f68e77 0f7ac79 0f760e3 0f73111 
0f68f8c 0f63242 0f750da 0f71336 0f6d7dc 
0f65b4b 0f5fcc8 0f71c37 0f6d11e 0f6a1dc 
0f6dc2e 0f67eca 0f79d34 0f757b1 0f72415 
0f5fe9f 0f5a09d 0f6bf61 0f67fbb 0f6463d 
0f68f96 0f63248 0f75099 0f70816 0f6d5f7 
0f61b6e 0f5bec5 0f6dc77 0f6a3f3 0f66333 
0f5d3e5 0f5767d 0f694da 0f64eee 0f619ad 
0f64c84 0f5f009 0f70d82 0f6d00c 0f693c5 
0f56bf6 0f50e5d 0f62cb2 0f5f5d7 0f5b36c 
0f6037d 0f5a669 0f6c442 0f68785 0f649a0 
0f5a13a 0f5444f 0f66215 0f6321f 0f5e8e9 
0f568b2 0f50b3b 0f6293e 0f5e8a3 0f5ae27 
0f5ec56 0f5900b 0f6ad13 0f6704a 0f632cf 
0f51367 0f4b61a 0f5d3d5 0f597e2 0f55974 
0f5adde 0f55041 0f66e02 0f626f6 0f5f296 
0f54b63 0f4edb4 0f60ba8 0f5d2e5 0f59201 
0f50bb9 0f4ad7b 0f5cbeb 0f5860f 0f5507a 
0f58c70 0f52f78 0f64d0b 0f60d92 0f5d259 
0f4b688 0f4585c 0f57703 0f53a54 0f4fc58 
0f5549e 0f4f768 0f61576 0f5cdb9 0f5995e 
0f4fb65 0f49e9d 0f5bc51 0f582d3 0f541c5 
0f4c64a 0f468d8 0f58721 0f5400d 0f50a97 
0f5524d 0f4f639 0f61378 0f5d29a 0f5979c 
0f48539 0f42837 0f54622 0f50776 0f4ca4d 
0f52d75 0f4d0e2 0f5ee7b 0f5a4f2 0f57136 
0f4dfb8 0f48334 0f5a0b5 0f565c7 0f5250a 
0f4b4d2 0f45739 0f57548 0f52cba 0f4f7cc 
0f54e54 0f4f1c4 0f60eae 0f5cca3 0f59226 
0f489d1 0f42c42 0f549d3 0f509d7 0f4cd5c 
0f53717 0f4da43 0f5f727 0f5ac1e 0f57975 
