0fac25f 0fa3030 0fba515 0fb6d68 0fb1a4b 
0fac032 0fa2f41 0fba3d4 0fb7c7e 0fb1ba2 
0fa6955 0f9d797 0fb4cea 0fb1b43 0fac246 
0fadeea 0fa4d96 0fbc28f 0fb9121 0fb3884 
0fa5fe2 0f9cf35 0fb4482 0fb1d20 0fabb42 
0fa9fa5 0fa0dec 0fb8357 0fb4c21 0faf7b3 
0fa9f5a 0fa0ebf 0fb83c5 0fb5cc9 0fafab1 
0fa48d0 0f9b756 0fb2d2c 0fafbb9 0faa183 
0fabf3e 0fa2dde 0fba39e 0fb720c 0fb182d 
0fa4193 0f9b0b9 0fb26ea 0faff54 0fa9bf9 
0fa83c7 0f9f1f7 0fb6872 0fb309b 0fadabf 
0fa882a 0f9f791 0fb6df2 0fb46e0 0fae2a1 
0fa35d1 0f9a498 0fb1b88 0faeaf6 0fa8df4 
0fab291 0fa218b 0fb9918 0fb67cb 0fb0b4c 
0fa38cc 0f9a87a 0fb216e 0faf7e8 0fa9361 
0fa7bc6 0f9ea84 0fb65e8 0fb29e5 0fad307 
0fa8172 0f9f154 0fb6bfb 0fb40ff 0fadc39 
0fa2d9d 0f99d13 0fb158d 0fae334 0fa862a 
0faa9da 0fa19b7 0fb906b 0fb5f21 0fb02f1 
0fa3122 0f9a17f 0fb1823 0faf147 0fa8b80 
0fa7530 0f9e489 0fb5b16 0fb2412 0facc0c 
0fa7b07 0f9eb59 0fb6192 0fb3ad9 0fad581 
0fa25c5 0f9953c 0fb0bed 0fada11 0fa7e09 
0fa9eb8 0fa0e50 0fb8411 0fb5246 0faf786 
0fa21ca 0f991ce 0fb07ba 0fae066 0fa7c32 
0fa6081 0f9cf28 0fb4539 0fb0dae 0fab7ae 
0fa6321 0f9d2c8 0fb4883 0fb2074 0fabd83 
0fa09fb 0f978a0 0faeee2 0fabd06 0fa61d4 
0fa80c5 0f9efbb 0fb650f 0fb3316 0fad902 
0fa0199 0f97215 0fae6b4 0fac017 0fa5a69 
0fa3b3e 0f9aa63 0fb1f67 0fae844 0fa9128 
0fa39f1 0f9a970 0fb1ea8 0faf7c5 0fa94a7 
0f9dc9c 0f94b7d 0fac107 0fa9161 0fa34d5 
0fa52ff 0f9c211 0fb36c3 0fb08a1 0faab81 
0f9d607 0f9451b 0fabaa7 0fa965b 0fa3043 
0fa1458 0f9828d 0faf89d 0fac305 0fa6ac5 
0fa1b0e 0f98a6c 0fb00de 0fad787 0fa7500 
0f9c4ca 0f9335e 0faaa8e 0fa76f8 0fa1bff 
0fa412a 0f9af96 0fb26b9 0faf0f7 0fa9918 
0f9cab9 0f93979 0fab0e5 0fa84ac 0fa24ef 
0fa0ebc 0f97c79 0faf3d6 0fab8a0 0fa65a0 
0fa1a1e 0f988c6 0fb003a 0fad4d2 0fa7480 
0f9c743 0f93538 0faad27 0fa7832 0fa1f40 
0fa46c8 0f9b4dd 0fb2c63 0faf630 0fa9f99 
0f9d0e6 0f93f6f 0fab76b 0fa8b10 0fa2b53 
0fa13b7 0f9812a 0faf997 0fabd78 0fa6b0d 
0fa202d 0f98ea7 0fb06db 0fadbe9 0fa7b27 
0f9ccae 0f93a8c 0fab295 0fa7efd 0fa256b 
0fa4d26 0f9bb47 0fb3289 0fafec2 0faa64e 
0f9d8d5 0f94775 0fabeca 0fa95c4 0fa33d9 
0fa1d69 0f98aeb 0fb0270 0fac945 0fa74d0 
