0faf850 0fa13d8 0fba7db 0fa81a1 0fa8f4f 
0fb5144 0fa6ce7 0fc0085 0fada56 0fae6fc 
0fb0716 0fa21f4 0fbb785 0fa90b7 0faa10e 
0fb2576 0fa4164 0fbd3d2 0faae28 0fab9b4 
0fb3d2a 0fa5828 0fbed58 0fac68d 0fad669 
0faf671 0fa11f8 0fba59e 0fa7f87 0fa8d4d 
0fb503a 0fa6bed 0fbff1c 0fad911 0fae5c3 
0fb060a 0fa2107 0fbb666 0fa8fab 0fa9fd7 
0fb24ca 0fa40ee 0fbd314 0faad98 0fab8a7 
0fb3ce9 0fa5811 0fbed2e 0fac688 0fad5e2 
0faf517 0fa10b6 0fba43b 0fa7e63 0fa8bb4 
0fb5029 0fa6bff 0fbff06 0fad93a 0fae57b 
0fb079f 0fa22b6 0fbb80d 0fa9169 0faa175 
0fb2641 0fa425d 0fbd483 0faaf2a 0faba5a 
0fb3fc6 0fa5ae7 0fbf00f 0fac986 0fad8f6 
0faf80f 0fa13a5 0fba761 0fa8185 0fa8f0b 
0fb51ed 0fa6d9d 0fc00e7 0fadb10 0fae7a4 
0fb098c 0fa2468 0fbba11 0fa935e 0faa3b3 
0fb2551 0fa4141 0fbd3db 0faae49 0fab9b0 
0fb405c 0fa5b45 0fbf0cd 0faca1a 0fad9c4 
0faf762 0fa12c2 0fba6df 0fa80da 0fa8eb4 
0fb50c3 0fa6c47 0fbffda 0fad9e8 0fae69b 
0fb0931 0fa23dc 0fbb9d0 0fa930a 0faa390 
0fb2451 0fa400a 0fbd2e3 0faad54 0fab8d7 
0fb4267 0fa5d21 0fbf2ba 0facc17 0fadbc3 
0faf8c3 0fa13ff 0fba834 0fa823b 0fa9021 
0fb5335 0fa6ebb 0fc0264 0fadc6c 0fae907 
0fb0da9 0fa285a 0fbbe6d 0fa979f 0faa815 
0fb2885 0fa4447 0fbd73b 0fab19e 0fabd12 
0fb4757 0fa6215 0fbf7ce 0fad108 0fae0b7 
0fafe19 0fa194a 0fbadad 0fa877b 0fa9584 
0fb5968 0fa74d6 0fc089d 0fae27e 0faef43 
0fb1460 0fa2f0d 0fbc527 0fa9e41 0faaee8 
0fb2d54 0fa4901 0fbdbe6 0fab635 0fac204 
0fb4d31 0fa67ef 0fbfda2 0fad6c8 0fae6ab 
0fb0252 0fa1d73 0fbb1e0 0fa8bb2 0fa99ea 
0fb5cd3 0fa782b 0fc0bc6 0fae5dd 0faf29d 
0fb17cd 0fa3243 0fbc862 0faa19f 0fab236 
0fb2eac 0fa4a32 0fbdd4e 0fab7ab 0fac357 
