0fab69e 0f9f38d 0fab9a7 0fa47ea 0fa357e 
0fb42da 0fa80f3 0fb4610 0fad3db 0fac203 
0facc7e 0fa08bf 0facfcd 0fa5e68 0fa4b05 
0fb0b01 0fa4927 0fb0e6d 0fa9aa5 0fa8a89 
0fb2a02 0fa6738 0fb2d0a 0fabb99 0faa8d9 
0fac962 0fa0692 0facc6a 0fa59b7 0fa4883 
0fb5902 0fa9756 0fb5bca 0fae936 0fad86d 
0fae4f6 0fa2160 0fae7fb 0fa76a7 0fa63ba 
0fb258f 0fa63b0 0fb28b1 0fab542 0faa54f 
0fb4932 0fa8633 0fb4c1c 0fadb22 0fac82a 
0faeace 0fa27b2 0faedd9 0fa7b67 0fa6a1c 
0fb7dd8 0fabbf3 0fb80dd 0fb0de7 0fafdb7 
0fb0fe2 0fa4c0b 0fb12eb 0faa124 0fa8f57 
0fb5249 0fa9033 0fb556d 0fae1a9 0fad2ab 
0fb7a1b 0fab6a8 0fb7d24 0fb0b8a 0faf9ba 
0fb1c84 0fa58fc 0fb1fcc 0faaca3 0fa9c65 
0fbb110 0faef38 0fbb459 0fb415c 0fb3189 
0fb44ff 0fa8156 0fb4833 0fad6b4 0fac462 
0fb86f0 0fac51a 0fb8a20 0fb1697 0fb0740 
0fbb29e 0faef89 0fbb578 0fb43f4 0fb3208 
0fb53c4 0fa90c2 0fb56e8 0fae44c 0fad38a 
0fbe916 0fb2785 0fbec08 0fb7944 0fb6956 
0fb7df1 0faba8a 0fb80c6 0fb0f8a 0fafd75 
0fbbd2f 0fafb77 0fbc02f 0fb4cbf 0fb3daf 
0fbe892 0fb25b6 0fbeb49 0fb7a41 0fb6821 
0fb87f8 0fac48f 0fb8aca 0fb1843 0fb0768 
0fc1c71 0fb5a60 0fc1f47 0fbacc9 0fb9c5a 
0fbb19a 0faed66 0fbb44f 0fb4360 0fb30ab 
0fbf044 0fb2d5b 0fbf385 0fb7f6f 0fb702c 
0fc1c9a 0fb589c 0fc1fa4 0fbad55 0fb9c08 
0fbb915 0faf4f0 0fbbc48 0fb48b2 0fb392a 
0fc4901 0fb8681 0fc4bd1 0fbd945 0fbc948 
0fbda19 0fb1609 0fbdd3a 0fb6bc7 0fb5a19 
0fc1187 0fb4f76 0fc152a 0fba0be 0fb934f 
0fc3743 0fb74a2 0fc3ad6 0fbc870 0fbb86d 
0fbcba4 0fb0923 0fbcf25 0fb5ba9 0fb4cfa 
0fc552c 0fb94b2 0fc58d0 0fbe588 0fbd71f 
0fbe032 0fb1d32 0fbe444 0fb7295 0fb615c 
0fc0e14 0fb4ceb 0fc131d 0fb9fcf 0fb904d 
0fc304d 0fb6e25 0fc3539 0fbc408 0fbb1ec 
0fbbf1e 0fafcae 0fbc435 0fb51ed 0fb40ac 
0fc44ae 0fb83ac 0fc49ae 0fbd7e4 0fbc6d4 
0fbceb6 0fb0b52 0fbd3a9 0fb6357 0fb50a2 
0fbf961 0fb3763 0fbfe65 0fb8bf9 0fb7c98 
0fc1b1b 0fb57e7 0fc1ec0 0fbaeac 0fb9cf7 
0fba7e6 0fae457 0fbaba7 0fb3a77 0fb2956 
0fc2b69 0fb6a2a 0fc2fa4 0fbbebe 0fbace0 
0fbb4e5 0faf1c1 0fbb891 0fb4933 0fb3599 
0fbdcab 0fb1af8 0fbe086 0fb6eab 0fb5e99 
0fc0087 0fb3d4c 0fc038c 0fb93fa 0fb8184 
0fb8b6b 0fac769 0fb8edf 0fb1dea 0fb0cd2 
