0fb6f9b 0fc9012 0facdc5 0fadece 0fca88a 
0fbb65e 0fca41f 0fb1366 0fb349c 0fcb08d 
0fb3649 0fc8ed4 0fa93bc 0fab3d1 0fca390 
0fbba94 0fc9630 0fb1870 0fb2a26 0fcaa58 
0fb6e6b 0fc9702 0facb3b 0faf32d 0fca3ec 
0fb82e9 0fc8b90 0fae0fe 0faf2b7 0fc9d60 
0fbc6da 0fc9c0e 0fb23ad 0fb4417 0fca6b3 
0fb4479 0fc88c9 0faa1aa 0fac191 0fc94f0 
0fbc75b 0fc915a 0fb2505 0fb36b3 0fca2c1 
0fb6cc1 0fc8b5c 0fac938 0faf360 0fca75a 
0fb731c 0fc872f 0fad107 0fae1c1 0fca0eb 
0fbbafa 0fca067 0fb17ad 0fb3901 0fca60f 
0fb39c3 0fc8f61 0fa96d4 0fab6e6 0fc927a 
0fbbba1 0fc9a51 0fb1903 0fb2a09 0fc9c97 
0fb63db 0fca2da 0fac023 0faea3f 0fc8f61 
0fb6b98 0fc9882 0fac96d 0fada3e 0fc8304 
0fbb868 0fca4ec 0fb1526 0fb3562 0fc8747 
0fb395d 0fc8b6a 0fa9673 0fab643 0fc72c1 
0fbbd69 0fc8f9d 0fb1af7 0fb2c9f 0fc7a56 
0fb6554 0fc929d 0fac1d4 0faec23 0fc74e5 
0fb6b29 0fc83f9 0fac934 0fada45 0fc6fa5 
0fbb590 0fc998d 0fb125e 0fb32d0 0fc7a96 
0fb3302 0fc880b 0fa901f 0fab077 0fc7585 
0fbb67c 0fc916a 0fb1413 0fb2586 0fc8496 
0fb5fda 0fc912c 0fabc34 0fae706 0fc80e7 
0fb64ee 0fc7fc7 0fac2d5 0fad47b 0fc7e08 
0fbb0c9 0fc9416 0fb0d7b 0fb2dc2 0fc8749 
0fb2e7c 0fc80f3 0fa8b9e 0faabc1 0fc7b42 
0fbb18a 0fc8a41 0fb0f24 0fb2050 0fc835e 
0fb5c75 0fc8a8d 0fab8cf 0fae2b7 0fc7c8b 
