0fc442c 0fdcfc0 0fbbe91 0fb8f0d 0fb2318 
0fbe2c3 0fdb63a 0fb6087 0fb2cf5 0fb2b38 
0fc14fd 0fd991e 0fb8d53 0fb5fd6 0fb421d 
0fc1d1e 0fd8c7f 0fb98ed 0fb665b 0fb5b8f 
0fbe250 0fd6be0 0fb5c4d 0fb2cc5 0fb60fc 
0fc44bf 0fd70f3 0fbbe24 0fb8e80 0fb740a 
0fbdcda 0fd68d0 0fb59a4 0fb2595 0fb6474 
0fc07f8 0fd6483 0fb8092 0fb5205 0fb6417 
0fc0b18 0fd6921 0fb87a3 0fb53fb 0fb6865 
0fbbd8c 0fd6b61 0fb38c7 0fb079c 0fb4db0 
0fc1dbe 0fd796b 0fb97a0 0fb67b1 0fb5133 
0fbbeec 0fd6eb1 0fb3c62 0fb084e 0fb4307 
0fbf1ee 0fd64af 0fb6b07 0fb3c98 0fb41b0 
0fbfec2 0fd5c81 0fb7ba1 0fb47f3 0fb48b7 
0fbb92e 0fd48fa 0fb3498 0fb033c 0fb3c4e 
0fc2068 0fd4369 0fb9a94 0fb6a30 0fb4fb9 
0fbc5a2 0fd3555 0fb423c 0fb0db5 0fb4a52 
0fbf786 0fd3212 0fb6fb6 0fb40ff 0fb4b68 
0fc0349 0fd3792 0fb7f97 0fb4b84 0fb55f3 
0fbb9e2 0fd348f 0fb3371 0fb020b 0fb4868 
0fc17d4 0fd47f3 0fb91da 0fb61c1 0fb57ca 
0fbb55a 0fd49d8 0fb32d5 0fafead 0fb5423 
0fbe28d 0fd4925 0fb5b87 0fb2d12 0fb5643 
0fbea21 0fd43fa 0fb66b9 0fb3315 0fb60a2 
0fb9eff 0fd2a07 0fb1a24 0fae8e9 0fb5198 
0fbfe3b 0fd297b 0fb783b 0fb4811 0fb5cc6 
0fb9a46 0fd1e87 0fb17b7 0fae347 0fb5013 
0fbc504 0fd1cd6 0fb3e06 0fb0f40 0fb4968 
0fbc8db 0fd1fff 0fb45a9 0fb117d 0fb4dc9 
0fb7987 0fd0d79 0faf4c3 0fac2bf 0fb3fb5 
0fbd7b6 0fd1369 0fb51ff 0fb20f9 0fb44df 
0fb7214 0fd1276 0faeffa 0fabaa0 0fb34b7 
0fb9c71 0fd109b 0fb15be 0fae651 0fb31e7 
0fba5d8 0fd1416 0fb2274 0faee6b 0fb3e43 
0fb5953 0fd0d7e 0fad45c 0faa2d2 0fb352d 
0fbbd02 0fd1ba3 0fb36a6 0fb0661 0fb4290 
0fb5fb0 0fd0309 0fadd04 0faa829 0fb3f38 
0fb92ac 0fce6be 0fb0b7d 0fadc59 0fb440b 
0fba0a3 0fcdf25 0fb1d3c 0fae8f9 0fb4d2d 
0fb563c 0fcd19a 0fad19c 0fa9fb1 0fb3319 
0fbb9b4 0fcddb1 0fb342d 0fb0311 0fb3678 
0fb56da 0fcdcfb 0fad518 0fa9f87 0fb28c7 
0fb81e6 0fcec1a 0fafb43 0facbd2 0fb1d57 
0fb8b96 0fcfd73 0fb0863 0fad3ee 0fb1cf3 
0fb3e6b 0fcf6ef 0fab99b 0fa87b3 0fb0608 
0fba151 0fcff3d 0fb1b5a 0faea59 0fb0df4 
0fb4029 0fcfccd 0fabe06 0fa8871 0fafa4e 
0fb6d26 0fd01cd 0fae668 0fab6d2 0faf537 
0fb7620 0fd0fd4 0faf33c 0fabe7a 0fb0297 
0fb2a29 0fcfe89 0faa5b1 0fa7347 0fafa93 
0fb907c 0fcf714 0fb0ad4 0fad96c 0fb0e20 
0fb3143 0fcd7ea 0faaea1 0fa795a 0fb16b8 
0fb5f76 0fce08f 0fad8b9 0faa8d8 0fb1320 
0fb6b54 0fd1d26 0fae815 0fab392 0fafeff 
0fb2314 0fddf48 0fa9c53 0fa69e1 0faea69 
0fb8673 0fd1447 0fb00b8 0facf9d 0fb091b 
0fb2704 0fd03b0 0faa4a4 0fa6f3d 0fb0f06 
0fb5887 0fd01b4 0fad17d 0faa211 0fb1209 
0fb67ba 0fd099f 0fae535 0fab026 0fb1968 
0fb1ce1 0fd00a9 0fa9949 0fa662f 0fb0d15 
0fb80f1 0fd12a1 0fafbae 0fac9de 0fb1a7b 
0fb2200 0fd47bf 0fa9f4f 0fa692d 0fb11ca 
0fb5231 0fd38e6 0faca85 0fa9a76 0fb0be0 
0fb5ddd 0fd1642 0fadb49 0faa5d4 0fb0be3 
0fb13f5 0fd2e4b 0fa8eb0 0fa5af4 0faf8bd 
0fb7362 0fcf936 0faef10 0fabbe3 0fb0694 
0fb113d 0fce364 0fa8fae 0fa5915 0fafa2e 
0fb39e7 0fce738 0fab386 0fa8369 0fae5f1 
0fb409b 0fcf3d9 0fabddf 0fa8858 0fadfe3 
0faef2b 0fcdcd9 0fa6b20 0fa380d 0facd18 
0fb4ab5 0fce436 0fac523 0fa9389 0fad43e 
0fae4f1 0fccf76 0fa62db 0fa2cc4 0fac866 
0fb082e 0fcc143 0fa81dd 0fa517b 0fac01f 
0fb063d 0fcba3e 0fa8416 0fa4e12 0fac50d 
0faa799 0fc9472 0fa234c 0f9ef0a 0faba61 
0faf43c 0fc9219 0fa6cca 0fa3967 0fac1bd 
0fa7349 0fc95c1 0f9ef52 0f9b71a 0fab0d1 
0fa74f6 0fc9136 0f9ec55 0f9b984 0faa52c 
0fa4be0 0fcbaf8 0f9c76a 0f98efb 0fa9bd3 
0f9c904 0fec6b7 0f940d4 0f90a7d 0fa767a 
0f9f9f0 0fd39be 0f97167 0f93c4b 0fa6b93 
0f978a6 0fe18d4 0f8f3ba 0f8b941 0fa4a92 
