0fe347d 0fd6706 0fcf28e 0feb770 0fece13 
0fdafc4 0fcfbd3 0fc6fe3 0fe9def 0fec074 
0fe3de5 0fd4f26 0fcfefe 0fe8bee 0fec329 
0fdbea9 0fd297a 0fc7b2f 0fe7259 0fec0cd 
0fdddd8 0fd00cc 0fca036 0fe667a 0febfdd 
0fe0439 0fd45ac 0fcc0f7 0fe589d 0feb6bc 
0fd7848 0fcd0c5 0fc374b 0fe44af 0feab40 
0fe01fd 0fd150b 0fcc208 0fe3f67 0fead14 
0fd7d6d 0fce23b 0fc3921 0fe2fa1 0fe9d4e 
0fd9eff 0fcbcbe 0fc6077 0fe23a1 0fe8fdd 
0fdc977 0fd0110 0fc859a 0fe1ac3 0fe82f0 
0fd3e21 0fc8a50 0fbfc87 0fe0e57 0fe6ba4 
0fdc9b6 0fcd0cd 0fc8980 0fe1831 0fe6294 
0fd4739 0fca23b 0fc01eb 0fe1aa2 0fe4e8b 
0fd6624 0fc79ed 0fc2695 0fe22d2 0fe3bea 
0fd92c9 0fcc29b 0fc4e2a 0fe2f61 0fe2c47 
0fd07a5 0fc4ffb 0fbc507 0fe3335 0fe17b5 
0fd961f 0fc9b36 0fc5505 0fe39bb 0fe0dc5 
0fd16a5 0fc6d27 0fbd0dc 0fe3d02 0fdf3d3 
0fd377f 0fc4535 0fbf786 0fe40e0 0fde0d9 
0fd6773 0fc8eca 0fc2263 0fe46d7 0fdd2ac 
0fcdfb8 0fc1e1b 0fb9cfa 0fe4494 0fdb99b 
0fd73c5 0fc6ce0 0fc3290 0fe4c3c 0fdab3a 
0fcfa85 0fc4669 0fbb4d8 0fe48ed 0fd919e 
0fd2089 0fc23d2 0fbe0bb 0fe4ff0 0fd79bd 
0fd5318 0fc74bd 0fc0e97 0fe557d 0fd6986 
0fccf1d 0fc0a0f 0fb8ca8 0fe5026 0fd5526 
0fd5f3b 0fc53d5 0fc1ddc 0fe5c1d 0fd4ad4 
0fcde6b 0fc2384 0fb984b 0fe6a78 0fd31ee 
0fcfa0b 0fbf72f 0fbb904 0fe83aa 0fd1b15 
0fd2196 0fc36da 0fbdb5a 0fea2ba 0fd05c0 
0fc8c32 0fbb84f 0fb47f9 0fec385 0fce57e 
0fd0ec9 0fbf8c5 0fbcc03 0fef1ff 0fccfdc 
0fc84b5 0fbc5b8 0fb3f94 0ff1a7e 0fcb4f4 
0fc9915 0fb98e7 0fb59aa 0ff3eb7 0fcac0e 
0fcbfc2 0fbd68a 0fb7b47 0ff9935 0fcc51d 
0fc2d04 0fb5f22 0faeb31 000be4c 0fcd72a 
0fcb88c 0fba8be 0fb7504 000a6f5 0fcfac0 
0fc32c1 0fb78ef 0faeb17 000cbee 0fd181e 
0fc4756 0fb46bc 0fb05e7 000e130 0fd37bb 
0fc6ec0 0fb8c6c 0fb2847 000cf65 0fd5f25 
0fbd93e 0fb0f1b 0fa9554 0010b6c 0fd7c00 
0fc5c6e 0fb5081 0fb19cb 000f180 0fd9e35 
0fbd3e5 0fb1d67 0fa8d54 00114e5 0fdb483 
