0fc4527 0fe3b35 0fbbe91 0fb47bd 0fb7639 
0fcab26 0fe3910 0fc16a1 0fbb0a0 0fbc948 
0fc845d 0fe33d5 0fbfd23 0fb8509 0fbb8e1 
0fc5c88 0fe2ffe 0fbc874 0fb613e 0fb82cb 
0fcc56f 0fe306e 0fc3383 0fbc830 0fbf185 
0fc4720 0fe2c5d 0fbbd31 0fb494b 0fb7b65 
0fcada0 0fe32d7 0fc18c3 0fbb31e 0fbcdb3 
0fc885b 0fe3242 0fc0170 0fb88e9 0fbbc8d 
0fc60a0 0fe243a 0fbcc82 0fb64e1 0fb8346 
0fcc7a1 0fe1987 0fc3672 0fbc9e1 0fbf0b0 
0fc457e 0fe0e1b 0fbba96 0fb46dd 0fb784f 
0fca53a 0fe0e67 0fc0ee1 0fba920 0fbc534 
0fc79d3 0fe057b 0fbf0bd 0fb78d7 0fbaeea 
0fc4b28 0fdf6f6 0fbb60c 0fb4da6 0fb6e2c 
0fca88e 0fdecbd 0fc1895 0fba96b 0fbd1d7 
0fc1beb 0fddc20 0fb9320 0fb1bf6 0fb4e29 
0fc775a 0fdd3b5 0fbdfc3 0fb79f6 0fb93c3 
0fc474d 0fdc54e 0fbbdea 0fb4534 0fb7ab6 
0fc154f 0fdb8b4 0fb8254 0fb17cb 0fb3996 
0fc7479 0fdb8f6 0fbe540 0fb747f 0fb9b05 
0fbe861 0fdac77 0fb5fb7 0fae794 0fb1907 
0fc45a7 0fda7f4 0fbaea8 0fb480c 0fb645d 
0fc1a49 0fd89e3 0fb916d 0fb17e9 0fb4ed5 
0fbe8b1 0fd702d 0fb5942 0faeae8 0fb0e0f 
0fc4d5f 0fd5de0 0fbc08f 0fb4d2a 0fb73d0 
0fbcf98 0fd2f22 0fb4338 0faccf1 0fafb66 
0fc3b18 0fcfc2d 0fba498 0fb3c32 0fb523b 
0fc1dbd 0fccc8a 0fb8b16 0fb19a5 0fb51da 
0fbfce2 0fca1f1 0fb684a 0fafc30 0fb1491 
0fc67bf 0fcabac 0fbd23d 0fb65fe 0fb8f5b 
0fbe5aa 0fcbb73 0fb51ae 0fae1c1 0fb1916 
0fc4747 0fce5bc 0fba5d3 0fb464a 0fb6140 
0fc191c 0fd0cae 0fb86ae 0fb13f5 0fb4afd 
0fbe737 0fd2869 0fb4be5 0fae742 0fb0aee 
0fc4c5b 0fd3eff 0fbb6ba 0fb4b40 0fb74ae 
0fbc6a0 0fd44a6 0fb39a2 0fac4ce 0faf4f8 
0fc2736 0fd5538 0fb8ab5 0fb27e1 0fb43be 
0fbf59e 0fd7603 0fb6814 0faf136 0fb28da 
0fbaf92 0fde183 0fb1960 0fab02f 0fad487 
0fbfb5c 0fe72fc 0fb66e7 0fafa47 0fb282e 
0fb6734 0003a6e 0fad614 0fa646e 0fa9e61 
0fbbe64 0012709 0fb2483 0fac179 0fae492 
0fb8c13 0013061 0fb02a6 0fa8aea 0faca23 
0fb580a 00153b8 0fac529 0fa5b24 0fa8314 
0fbbe4c 00130fa 0fb3012 0fac10e 0faf05e 
0fb3f78 0015aaa 0fab829 0fa4112 0fa792f 
0fba01f 001470b 0fb0ca3 0faa545 0fac82a 
