0fbff51 00123c9 0fb3ec0 0fb72f5 0fb53e7 
0fc0b36 0012ce0 0fb3b46 0fb831a 0fb4c8c 
0fc3180 0011527 0fb6c24 0fba5da 0fb7cf0 
0fbc1a5 0014f13 0fafa01 0fb36f9 0fb0b3e 
0fc266d 00129ca 0fb54f7 0fb9d71 0fb67ce 
0fbcade 0014cdd 0fb0805 0fb3e6e 0fb1e1c 
0fbd4f2 0015877 0fb0210 0fb4ce1 0fb18eb 
0fc0099 0013fa0 0fb3784 0fb7436 0fb4f0c 
0fb996c 0017472 0facf04 0fb0ed3 0fae81e 
0fc0573 0014ad5 0fb335e 0fb7c53 0fb4ba4 
0fbb41f 001687b 0faf1b7 0fb2754 0fb0981 
0fbc4d7 0016fb1 0faf419 0fb3ca2 0fb08fd 
0fbf544 00152f9 0fb2e69 0fb68d7 0fb42f6 
0fb91bc 001859f 0fac980 0fb059f 0fadbe9 
0fbfc42 0015c65 0fb2b9e 0fb7169 0fb3c7f 
0fba7a3 0017b34 0fae600 0fb1942 0faf737 
0fbb399 0018552 0fae195 0fb2933 0faf162 
0fbdf3f 0016b5d 0fb1713 0fb5101 0fb2952 
0fb76a2 001a104 0faacd8 0fae907 0fac11a 
0fbdde3 0017aa6 0fb0b2f 0fb512e 0fb1f33 
0fb8891 0019a43 0fac4df 0faf827 0fada90 
0fb951e 001a410 0fac0f6 0fb0873 0fad63b 
0fbbe17 0018b0c 0faf458 0fb2dd8 0fb0898 
0fb528b 001c2d3 0fa87c8 0fac3a9 0fa9b2c 
0fbb85f 0019db5 0fae521 0fb2ab8 0faf722 
0fb6145 001bfa0 0fa9dae 0facfe5 0fab0c0 
0fb6bc8 001cc44 0fa9821 0fadec3 0faab10 
0fb940b 001b5b3 0facb99 0fb0424 0fadeac 
0fb2788 001ed6a 0fa6086 0fa9b9b 0fa7316 
0fb8b29 001c847 0fabc65 0fb0109 0facd3c 
0fb3087 001ead0 0fa7107 0faa315 0fa843f 
0fb3a08 001f5c2 0fa6bbe 0fab11f 0fa7dc3 
0fb61ff 001dc81 0fa9e2a 0fad5bf 0fab104 
0faf438 00213fd 0fa2fed 0fa695d 0fa41e7 
0fb5893 001edd9 0fa8c45 0facf30 0fa9e07 
0faff46 0020f1f 0fa41fa 0fa7291 0fa54d3 
0fb0647 0021c57 0fa38fc 0fa7e02 0fa4b43 
0fb2f57 00203ef 0fa6d0b 0faa3c4 0fa7fd5 
0fac06c 0023d77 0f9fc97 0fa3655 0fa0f98 
0fb1f64 0021b8b 0fa5253 0fa96cd 0fa65bc 
0fac23d 00240b7 0fa040f 0fa364e 0fa19c7 
0fac5b3 00250c7 0f9f81b 0fa3e46 0fa0ca0 
0fae6d4 0023de7 0fa23c4 0fa5c1e 0fa39e3 
0fa736b 0027c71 0f9af54 0f9e9e6 0f9c4a7 
0fad074 0025e50 0fa04cf 0fa4823 0fa1687 
