0fda499 0fc9300 0fc9094 0fddd96 0003001 
0fd5b01 0fc5353 0fc42bc 0fdd756 0003b76 
0fd6e84 0fc5f25 0fc5af9 0fdceab 0003fa8 
0fdbdac 0fcb653 0fca729 0fdbb2c 00015f2 
0fd5188 0fc4ae1 0fc3bb7 0fd9827 0003b47 
0fdcec1 0fcc0df 0fcbc70 0fd7709 00011e7 
0fd7e30 0fc792d 0fc66c6 0fd552c 0001d3c 
0fd81c0 0fc6e32 0fc6f1d 0fd50d2 00026c3 
0fdb89d 0fca4b7 0fca181 0fd6b7f 0000710 
0fd4043 0fc34cf 0fc2930 0fd720c 000329e 
0fdbffb 0fcac92 0fcac2c 0fd6f26 0000af6 
0fd77d8 0fc6e50 0fc5fe8 0fd67db 000147b 
0fd8579 0fc7216 0fc723d 0fd655e 0001b4d 
0fdcba4 0fcbe61 0fcb570 0fd6a01 0fffcb0 
0fd5f26 0fc5377 0fc493c 0fd670e 0001b70 
0fdd9c0 0fcc7a8 0fcc6ce 0fd7073 0fffee1 
0fd905f 0fc8918 0fc78dc 0fd7478 00002c0 
0fd9ae6 0fc891e 0fc87ab 0fd7afe 0000989 
0fddf08 0fcd32c 0fcc8ac 0fd85c5 0fffb9f 
0fd6f6b 0fc6457 0fc58cf 0fd8512 0000a55 
0fde4f9 0fcd31c 0fcd0d5 0fd9062 0fffc2c 
0fd98eb 0fc91fb 0fc7ff3 0fd93c2 0fffdd7 
0fd9db1 0fc8c5d 0fc8948 0fd972b 00002dd 
0fddb8d 0fccfbe 0fcc410 0fd9fe4 0fffb99 
0fd6515 0fc5a2a 0fc4d82 0fd9def 00008fd 
0fdd2c2 0fcc0e1 0fcbdec 0fda763 0fffc35 
0fd7fcf 0fc7848 0fc6650 0fda794 00000ec 
0fd7c0a 0fc6a2c 0fc670d 0fdaa36 0000ba6 
0fdb651 0fca9e9 0fc9e38 0fdb5ae 0fffc14 
0fd3aef 0fc2f98 0fc22da 0fdb56b 0001cd3 
0fda6d0 0fc9461 0fc9166 0fdc235 00002a2 
0fd56d7 0fc4f13 0fc3ccd 0fdc606 0001152 
0fd556a 0fc4387 0fc3ff7 0fdcc06 0002192 
0fd96a6 0fc8a18 0fc7e88 0fdd704 0000394 
0fd224c 0fc161e 0fc097c 0fdd608 00030ab 
0fd91d0 0fc7de0 0fc7c34 0fde115 0001186 
0fd487a 0fc3f08 0fc2e18 0fde3ed 00020c5 
0fd47be 0fc33ed 0fc3213 0fde69f 00030eb 
