0fba443 0fae54d 0fb0923 0016925 00163df 
0fb911d 0fac7f2 0faf784 0017e2b 00178cc 
0fbe7ae 0fb23fa 0fb4dde 0013ea8 00149a0 
0fb814b 0fac14d 0fae6e5 001766e 0017305 
0fbe66f 0fb1b48 0fb4db6 0ff2fe9 0014cd3 
0fbc0b0 0fb02fd 0fb256b 0fe64c3 0014dd0 
0fbaf9b 0fae87d 0fb162a 0fe4be7 0015e77 
0fc00f9 0fb3e93 0fb66c1 0fe4daf 001324e 
0fb90d5 0fad1a6 0faf69c 0fe55bb 00161c6 
0fbebcc 0fb22aa 0fb5288 0fe6bef 00142a1 
0fbbe72 0fb0206 0fb23a8 0fe7acc 001487f 
0fba446 0fadc26 0fb0c78 0ff2105 0015f9c 
0fbf1f3 0fb2e43 0fb57c2 0fe9400 0013676 
0fb822c 0fac1fc 0fae96c 000691c 0016661 
0fbdf1d 0fb1586 0fb4712 0ff51b6 00146a1 
0fbb282 0faf5f7 0fb18e6 0ff8d22 0014cc2 
0fb9597 0facd98 0fafdc7 0010ad4 00166b6 
0fbe61d 0fb230a 0fb4d77 0ff4c53 0013cfa 
0fb789a 0fab95e 0fadf63 00139a2 0016c7d 
0fbd7df 0fb0d7d 0fb4040 0ffb5e4 0014c3d 
0fbafc3 0faf21b 0fb168d 0ff7975 0015075 
0fb96f8 0face06 0faff52 00079d2 0016759 
0fbecb7 0fb28b6 0fb52d9 0feac38 0013a48 
0fb8204 0fac1ab 0fae956 0004fcd 001671d 
0fbe234 0fb174c 0fb49bc 0fef9d8 00144d3 
0fbbb0e 0fafd69 0fb20ab 0feed79 00147b5 
0fba092 0fad857 0fb0878 0fffbab 0015f75 
0fbf6a0 0fb3252 0fb5c10 0fe9c11 0013294 
0fb8960 0fac89b 0faf071 0001802 0016124 
0fbe739 0fb1c4b 0fb4eb7 0ff0835 00140e4 
0fbc068 0fb032d 0fb2603 0ff1072 0014410 
0fba258 0fada6a 0fb0a35 000494c 0015dc0 
0fbf62a 0fb3226 0fb5bf5 0feb252 0013280 
0fb869a 0fac67a 0faedb3 000dc92 00161f5 
0fbe18d 0fb16ba 0fb49b3 0ffd4c4 00142ce 
0fbbab5 0fafce2 0fb2130 0000b07 001462b 
0fb9c0c 0fad3b1 0fb02a8 001491d 0015caa 
0fbf179 0fb2d51 0fb5842 0ffa441 0fff9ed 
0fb83e4 0fac472 0fae991 0014f89 0010bf3 
0fbddfd 0fb136e 0fb458c 00060e7 0ff67fa 
0fbb8bc 0fafb85 0fb1f2b 0002b89 0fec897 
0fb9831 0fad063 0faff0c 0013a0e 0ff228d 
0fbee15 0fb29b8 0fb552c 0ff4963 0fe761c 
0fb7e28 0fabe28 0fae454 0013a2a 0fe5c5c 
0fbd69d 0fb0c9a 0fb3e85 0ffce55 0fe4c3b 
0fbb13d 0faf460 0fb178b 0ff61b6 0fe383b 
0fb8f3b 0fac7f4 0faf73b 0004f76 0fe20bc 
0fbe60d 0fb229a 0fb4bc5 0fe8dc8 0fe10e5 
0fb784a 0fab988 0fadf68 0ff65c8 0fdf1b5 
0fbd232 0fb08cf 0fb3937 0fe9216 0fdda21 
0fbb166 0faf520 0fb1684 0fe6d5b 0fdbca0 
0fb9062 0fac997 0faf82a 0feaee3 0fda04b 
0fbe91e 0fb253b 0fb4ec3 0fe71a6 0fd8fa7 
0fb7e2f 0fabef2 0fae4c0 0fedce4 0fd68aa 
0fbdad0 0fb10f4 0fb419c 0fe853e 0fd3d46 
0fbc493 0fb0748 0fb297d 0fe6e57 0fcef4d 
0fbba34 0faf069 0fb20ab 0fe690a 0fc4db7 
0fc557f 0fb8a5f 0fbbb75 0fe6d64 0faa376 
0fc0e35 0fb46da 0fb720c 0fe7918 0f948e0 
0fc512a 0fb89dd 0fbb6eb 0fe7a78 0f95f7d 
0fc0a26 0fb51d2 0fb6eb2 0fe8e6a 0fa06e4 
0fbd0a0 0fb0f38 0fb367c 0fe9d1e 0fa6303 
0fc2aeb 0fb6b6d 0fb8fdc 0febd22 0fa55be 
0fbb548 0faf7c8 0fb1b54 000d907 0fa57ff 
0fbfa8a 0fb32f0 0fb6102 0012c4e 0fa9ae1 
0fbd4cd 0fb17cd 0fb3976 00133c9 0fae364 
0fba76e 0fadb2e 0fb0d9c 001571a 0fb335c 
0fbfb5b 0fb3625 0fb6240 0009a8e 0fb78a6 
0fb8f0b 0facd4f 0faf478 0015267 0fb8fff 
0fbe57e 0fb2017 0fb4c12 0feb276 0fbb80c 
0fbce8a 0fb17be 0fb3380 0fe4219 0fbc986 
0fba579 0fae770 0fb0b87 0fe1285 0fbff96 
0fc0445 0fb3ba9 0fb6a10 0fdffec 0fc1b9c 
