0fc1d30 0fdc789 0fb620f 0fba65a 0fb412e 
0fba888 0fdbe11 0faf5af 0fb304b 0fad55a 
0fc051d 0fdbbf5 0fb4435 0fb9106 0fb1f00 
0fbf973 0fdb683 0fb47a3 0fb8016 0fb24ed 
0fbbefd 0fdab4e 0fb019a 0fb4937 0fadf53 
0fc28da 0fda248 0fb6bfb 0fbb1ef 0fb4b4a 
0fbb2b3 0fd96ec 0fafe1e 0fb3a7a 0fadf37 
0fc0638 0fd963a 0fb43ae 0fb91da 0fb22e9 
0fbf7a3 0fd8ad7 0fb4239 0fb7eae 0fb2770 
0fbc3ce 0fd7f2d 0fb0497 0fb4e54 0fae5dd 
0fc2feb 0fd7f96 0fb71ad 0fbb93d 0fb523f 
0fbbb29 0fd7f96 0fb0493 0fb42d7 0fae53c 
0fc0e83 0fd8d46 0fb4ade 0fb99d5 0fb24b2 
0fbfacf 0fd99d0 0fb44c8 0fb819d 0fb257e 
0fbc45a 0fda03a 0fb033f 0fb4e96 0fae72c 
0fc2eca 0fda9ac 0fb6f58 0fbb7b6 0fb5467 
0fbb932 0fdad91 0fb016c 0fb40a2 0fae71c 
0fc097b 0fdbbed 0fb44e5 0fb94d7 0fb2642 
0fbf551 0fdc5f4 0fb3f05 0fb7c96 0fb24fc 
0fbbba6 0fdcdc0 0fafc41 0fb463f 0fadf14 
0fc21a4 0fddbaa 0fb634e 0fbab1d 0fb47a3 
0fba854 0fdd71f 0faf276 0fb305b 0fad893 
0fbf7bd 0fddbd7 0fb351c 0fb83aa 0fb16a3 
0fbe24a 0fddeb6 0fb2e94 0fb699f 0fb1220 
0fba643 0fddf71 0fae988 0fb30fb 0fac9ac 
0fc0b51 0fde7d0 0fb4fa5 0fb94ac 0fb309d 
0fb95b3 0fddb58 0fae1ba 0fb1d98 0fac4b0 
0fbe7d5 0fdd58e 0fb26fe 0fb7357 0fb0500 
0fbd5ff 0fdcca0 0fb2387 0fb5cbd 0fb0482 
0fb9d7a 0fdc1b7 0fae146 0fb27cc 0fac02d 
0fc05e6 0fdc45c 0fb4a6c 0fb8ec7 0fb2a46 
0fb922f 0fdb31a 0fadd1f 0fb1927 0fac262 
0fbe273 0fdab59 0fb2036 0fb6d19 0fb016b 
0fbce1c 0fda667 0fb1a05 0fb53fd 0fafdd6 
0fb932c 0fd997f 0fad5a5 0fb1c3c 0fab60f 
0fbf5b9 0fd9778 0fb3993 0fb7d4f 0fb18e1 
0fb78ed 0fd9011 0fac5af 0faff3c 0faa3fc 
0fbc1f0 0fd9d05 0fb0213 0fb4bca 0fada2e 
0fba808 0fda882 0faf7cf 0fb2f40 0fad3bd 
0fb6800 0fdab26 0faafb3 0faf45a 0fa892d 
0fbc900 0fdb6c7 0fb1205 0fb541e 0faeb1d 
0fb4c3f 0fdb645 0fa9ce0 0fad5de 0fa7834 
0fb95a8 0fdbd8e 0fad838 0fb22e8 0fab155 
0fb7f40 0fdbc17 0facf31 0fb0830 0faae31 
0fb4367 0fdad73 0fa8909 0facfed 0fa6964 
0fba827 0fda62e 0faeecf 0fb3382 0fad319 
0fb2e99 0fd9b80 0fa7d9a 0fab88b 0fa5ffc 
0fb795d 0fda1e2 0fababc 0fb06fb 0fa99c1 
0fb6338 0fda092 0fab2da 0faec7a 0fa9511 
