0fa4545 0fc479d 0f97ceb 0f9a7c8 0ff6a14 
0fa8018 0fc528d 0f9b9f0 0f9b0e7 001a6f0 
0faf67f 0fc7835 0fa2e5a 0fa48e9 0016fef 
0fa197d 0fc9189 0f951fc 0f96493 002d2aa 
0fb2e20 0fcc924 0fa66e8 0fa670b 002a6aa 
0fa4eb1 0fced08 0f98603 0f9b266 002b576 
0fa825c 0fd7efb 0f9b9d1 0f9b6b0 002c7fe 
0faf23f 0fdefa3 0fa28ad 0fa4956 0029b89 
0f9f6f4 00038f8 0f92cf4 0f94248 002d1d7 
0fb18aa 0fe9f32 0fa4fe0 0fa4fa9 002a37e 
0fa4ca9 0019716 0f982a8 0f9acea 002ad60 
0fa8c07 0029ac0 0f9c602 0f9bf0e 002b8fa 
0fb174b 00167f2 0fa4ddc 0fa696e 00280a2 
0fa2800 002a490 0f961b0 0f97514 002b15a 
0fb55a2 0027257 0fa9010 0fa8cc3 0027c35 
0fa9a8d 00277c8 0f9d36c 0f9fc18 00281ca 
0fae290 0028303 0fa1d73 0fa16c1 0028cea 
0fb716f 0024b6f 0faaa9b 0fac624 0025547 
0fa86f2 0027a30 0f9c0f3 0f9d252 0028432 
0fbb1ab 0023380 0faeb7f 0fae7a9 0024ef9 
0faf63f 0020e3c 0fa2d6d 0fa557c 002527d 
0fb38e9 0016273 0fa71ef 0fa688e 0025a38 
0fbc34f 0fe9120 0fafa58 0fb1489 0021f15 
0fad39f 0febf2a 0fa0b4a 0fa1e7c 0024c7e 
0fbf4bb 0fd9e9f 0fb2f39 0fb2c3e 0021717 
0fb34d8 0fd8608 0fa6dec 0fa9684 0021c2d 
0fb70c0 0fd7098 0faabc2 0faa384 00226db 
0fbf6fa 0fd7c6b 0fb3032 0fb4af5 001ef36 
0fb0178 0fd6535 0fa3b5f 0fa4fb3 0021f92 
0fc1abd 0fd7ef3 0fb5505 0fb537c 001ef61 
0fb52b2 0fd8524 0fa8b8d 0fab5d9 001f8d9 
0fb83ca 0fd7e4e 0fabecc 0fab8e1 0020895 
0fc06f4 0fd8ec8 0fb4053 0fb5c43 001d4c3 
0fb0d41 0fd756d 0fa4765 0fa5cc8 00207c4 
0fc24ac 0fd8828 0fb5f5e 0fb5d8b 001d966 
0fb60d2 0fd7d49 0fa99ea 0fac431 001e2de 
0fb8cac 0fd73db 0fac796 0fac28f 001f3e2 
0fc0b1d 0fd9a70 0fb444e 0fb6125 001c29b 
0fb0de9 0fd8d62 0fa47d1 0fa5e25 001f7da 
0fc24ac 0fd93c2 0fb5f1a 0fb5dea 001cbf0 
0fb60a5 0fd8adf 0fa9966 0fac46a 001d707 
0fb86e6 0fd8ae7 0fac1a4 0fabc9d 001eb6d 
0fc0a96 0fda621 0fb43a2 0fb5f45 001bc3b 
0fb0cd5 0fd91f6 0fa4682 0fa5c69 001f355 
0fc211d 0fd9f96 0fb5b9a 0fb59fa 001c745 
0fb5dcc 0fd9792 0fa96b8 0fac182 001d1a0 
0fb80f0 0fd8ab9 0fabbcd 0fab5fb 001e65a 
0fc0587 0fd9552 0fb3ea6 0fb5995 001b612 
0fb02cc 0fd641f 0fa3c39 0fa52b7 001ef09 
0fc100b 0fd6d38 0fb4a18 0fb485c 001c84c 
0fb4c9c 0fd6503 0fa8572 0faaefb 001d491 
0fb714c 0fd442c 0faac37 0faa68b 001ea72 
0fc007d 0fd3154 0fb3920 0fb5515 001b83b 
0fb015c 0fcfe7b 0fa3b35 0fa51de 001ec5f 
0fc1249 0fcfdc3 0fb4cc0 0fb4947 001bfed 
0fb58c5 0fcd5ca 0fa917d 0fabb66 001c92d 
0fb7905 0fcc063 0fab3a1 0faaf1b 001dfd2 
