0fd2856 000dc1c 0fc6b48 0fc0127 0fb1abb 
0fd4bc4 000c2c2 0fc9da8 0fc22f0 0fb15f3 
0fccc22 00105be 0fc19a5 0fba41d 0fb05ee 
0fd5e0a 000d22c 0fca14e 0fc3641 0faf91e 
0fcdc2d 000fe43 0fc3180 0fbb298 0fadc2e 
0fd0ab3 0010224 0fc4bb6 0fbe2fc 0fac479 
0fd32f9 000e48c 0fc841c 0fc0995 0faa641 
0fcb9af 001224a 0fc0620 0fb90c0 0fa7d86 
0fd4de5 000ebbf 0fc92f9 0fc2585 0fa6042 
0fcced9 001167e 0fc27c3 0fba556 0fa3727 
0fcff68 0011858 0fc430c 0fbd7ce 0fa0d6d 
0fd2c1f 000f7e3 0fc7eda 0fc0323 0f9e8ec 
0fcb079 00135ca 0fc006a 0fb8820 0f9c909 
0fd4316 000fef1 0fc8974 0fc1b64 0f9cbde 
0fcc175 0012afa 0fc1c87 0fb9858 0f9d083 
0fcede2 0012f14 0fc33fc 0fbc678 0f9e31e 
0fd1b85 0010f5a 0fc7116 0fbf272 0f9f6f2 
0fca28d 0014c4e 0fbf454 0fb7a29 0fa04d8 
0fd3c1b 0011219 0fc8398 0fc142d 0fa1e9a 
0fcc63c 00136dc 0fc1f9d 0fb9ccb 0fa2deb 
0fcfa61 00134bf 0fc3dc0 0fbd2b0 0fa4488 
0fd2e3c 0010e97 0fc808b 0fc052f 0fa5b15 
0fcb9d8 0014607 0fc08b5 0fb916f 0fa65fe 
0fd559e 0010804 0fc9b5c 0fc2dab 0fa83ad 
0fce049 00129b8 0fc388e 0fbb6bf 0fa9ac3 
0fd1303 0012557 0fc550d 0fbeb80 0faae7e 
0fd4b49 000a588 0fc99c8 0fc20cc 0fabaec 
0fcd6e9 00133e5 0fc236f 0fbaed9 0fab3b8 
0fd76c2 0ffa44c 0fcb7f5 0fc4de3 0faaff4 
0fd0641 0007e93 0fc5a44 0fbdc45 0fa9933 
0fd3888 0003902 0fc779a 0fc10c0 0fa7f30 
0fd6fa2 0fef18e 0fcbf18 0fc4795 0fa6467 
0fcf8fd 00032c6 0fc44ad 0fbcff2 0fa3e58 
0fd8eae 0feecdb 0fcd2ce 0fc67f2 0fa25de 
0fd1b8d 0ff25c6 0fc71ca 0fbf2aa 0f9fec5 
0fd46cc 0ff3273 0fc87fd 0fc1f4c 0f9e0af 
0fd7949 0fee400 0fcc99d 0fc51ae 0f9ba55 
0fd0055 0ff1d61 0fc4ba7 0fbd7e9 0f9898e 
0fd949d 0fed2f6 0fcd681 0fc6e52 0f95a24 
0fd2a6b 0fecacc 0fc7d2a 0fc02b0 0f8eec1 
0fd532c 0feca47 0fc94de 0fc2d06 0f8968d 
0fd5d8f 0fecdbc 0fcad70 0fc35cb 0f956fe 
0fcd58c 0ffabb6 0fc1fc4 0fbada8 0f99ec1 
0fd67b5 0fedf17 0fcaaf3 0fc416e 0f982d9 
0fd0d72 0ff3847 0fc5c32 0fbe402 0f8c8b4 
0fd2785 0ff5e83 0fc6664 0fbfea5 0f8c73e 
0fd5bae 0fec924 0fca881 0fc328f 0f8ab44 
0fcc619 0ff2cb9 0fc17eb 0fb9c62 0f90c1f 
0fd44c9 0fecf12 0fc9365 0fc1dcc 0f95be6 
0fcc105 000a3da 0fc25d2 0fb97d3 0f9996b 
0fcd99c 001412d 0fc2bc5 0fbb2af 0f9ed47 
0fcfd00 001287f 0fc58e1 0fbd479 0fa6c26 
0fc7132 0016fca 0fbc5ae 0fb4971 0fae78b 
0fcf4b5 001441b 0fc3a32 0fbcded 0fb766d 
0fc75c2 0017050 0fbcc78 0fb4dd3 0fbe839 
0fc870d 0018075 0fbcc43 0fb6131 0fca1ce 
0fc9827 00170d8 0fbeb8d 0fb70b5 0fdbeb8 
0fbf4f4 001c4b0 0fb484c 0facd6e 001a995 
0fc67a5 001a5bb 0fbb057 0fb403e 001af2d 
0fbdc45 001de02 0fb35e4 0fab344 001e7ac 
0fbf259 001f23c 0fb355b 0facb22 001fbdc 
0fc222d 001d789 0fb71e9 0faf99b 001e124 
0fb9fc9 0021b2d 0faee13 0fa77da 00224ee 
0fc3551 001e781 0fb7970 0fb0dfd 001f117 
0fbc612 0020b83 0fb1e54 0fa9cc1 0021544 
0fbee06 002116f 0fb33b3 0fac65b 0021b1e 
0fc2ce6 001ea14 0fb838c 0fb0397 001f3bd 
0fbb396 00224d0 0fb0c55 0fa8ab6 0022e93 
0fc4e48 001ebfd 0fb9e80 0fb25f1 001f598 
0fbde9d 0020d30 0fb42b4 0fab4d0 00216ed 
0fc0230 00212bf 0fb510f 0fada22 0021c6a 
0fc399a 001ed46 0fb97c7 0fb107b 001f6e8 
0fbb956 002296d 0fb175d 0fa913d 0023333 
0fc53f7 001ee8c 0fba591 0fb2c28 001f828 
0fbea2c 0020b45 0fb4d20 0fac094 0021502 
0fc174d 0020a9f 0fb6436 0faef57 002144a 
0fc5f93 001db39 0fbb9cc 0fb363e 001e4d2 
0fbe5f5 00210e1 0fb4061 0fabd1e 0021a94 
0fc7fdc 001d4ce 0fbd258 0fb57e7 001de4c 
0fc12b9 001f148 0fb79f8 0fae93e 001faeb 
0fc3b83 001f24a 0fb90db 0fb1443 001fbda 
0fc82ea 001c409 0fbeb3a 0fb5a6f 001cd89 
0fc0bbd 001f921 0fb7c7f 0fae49c 00202c4 
0fcac0e 001b932 0fc1c7c 0fb86a0 001c29d 
0fc496d 001d0a3 0fbd50c 0fb2300 001da2d 
0fc822a 001c84c 0fbff2b 0fb5e20 0013e5e 
0fcd7c6 001900b 0fc6af2 0fbb2c4 0fda626 
0fc66e2 001c069 0fbfa44 0fb4237 0fcf27f 
0fd0650 0017e7e 0fc850a 0fbdecd 0fc99bd 
0fc8656 001a2ae 0fc122a 0fb5ce5 0fcba95 
0fc96b5 001b2b6 0fc1106 0fb6f9b 0fd06f4 
0fcc4e2 001945e 0fc49f9 0fb9cf6 0fd608c 
0fc3073 001e343 0fbb034 0fb06b7 0fe7d5b 
0fcb96b 001bc6d 0fc1fe7 0fb8d1f 001c1e4 
