0faf825 0f98247 0f94dd2 00274a6 0026f1e 
0fa20d7 0f96a65 0f877f6 002a322 0029da2 
0fb2105 0f992ce 0f97af0 0027b8f 00275fc 
0fa7e00 0f9a8f7 0f8d210 00283eb 0027e6e 
0fab6c6 0f988b1 0f9114d 0028c7a 00286ed 
0fb3105 0f9b95d 0f98655 0025a3a 00254ba 
0fa5cd8 0f996f8 0f8b2d5 0028439 0027ebd 
0fb55f9 0f9b8cc 0f9ae63 0025965 00253d9 
0faafab 0f9c93e 0f9027a 0025ebc 002594d 
0fae372 0f9ac4a 0f93caf 0026938 00263c1 
0fb5c60 0f9d80a 0f9b0a8 0023899 0023324 
0fa8d9b 0f9ad2f 0f8e2de 00260af 0025b4e 
0fb89e8 0f9c211 0f9e17b 00232e3 0022d72 
0fae82a 0f9d589 0f93a23 00234a4 0022f4a 
0fb1f30 0f9c0d9 0f97744 002377f 00237a7 
0fb9a98 0f9f7c0 0f9ef6a 0003071 00205c6 
0fad115 0f9da9d 0f926da 000ba27 0022b72 
0fbcd3a 0f9f858 0fa2479 0fe621b 001fdd4 
0fb2e4f 0fa031d 0f97f21 0fde535 001ff91 
0fb61d9 0f9e899 0f9b974 0fe016a 00207bb 
0fbdd0f 0fa1f54 0fa2ed0 0fdbc12 001d511 
0fb10d3 0fa08a2 0f96387 0fdb94c 001faad 
0fc0819 0fa296a 0fa5d4c 0fdc9f0 001cdaa 
0fb6910 0fa3c6a 0f9b884 0fdd19b 001cf69 
0fb957c 0fa23c0 0f9eaf3 0fde2e5 001d919 
0fc0aac 0fa5bb1 0fa5b87 0fe007c 001a7c3 
0fb3a46 0fa4074 0f98de6 0ff0bbc 001cf7e 
0fc2f74 0fa656d 0fa85cf 0fea455 001a37f 
0fb92f8 0fa7fe6 0f9e3ee 0000875 001a5b8 
0fbc211 0fa73bd 0fa17c9 001b329 001af05 
0fc4100 0fab25e 0fa9223 0018186 0017cd6 
0fb7a5b 0fa9c0d 0f9cc98 001a6d3 001a196 
0fc79e5 0faba26 0face79 0017797 001724c 
0fbe931 0fad272 0fa380f 0017484 0016f52 
0fc1bcc 0fac34a 0fa70bd 0017a04 00174c0 
0fca196 0fb00cb 0faf1fb 001432e 0013df7 
0fbddfc 0faedcb 0fa2f53 00163c6 0015e99 
0fcdc9e 0fb1352 0fb3062 001321d 0012cee 
0fc5224 0fb2c9c 0faa005 0012b5b 0012644 
0fc8b9f 0fb145e 0fadf89 0012d14 00127ea 
0fd1bac 0fb4c55 0fb6aea 000f076 000eb59 
0fc602a 0fb31cf 0fab086 0010b5e 0010656 
0fd6232 0fb54a0 0fbb5f5 0ffc470 000cf95 
0fcd6af 0fb7314 0fb240c 0ff03f9 000c4f5 
0fd0504 0fb66ca 0fb58be 0fef1f7 000c677 
0fd88a3 0fbaaa3 0fbd83e 0feec82 0008c77 
0fcc06e 0fb9ef6 0fb10d6 0fed5d3 000aab5 
0fdb783 0fbc713 0fc0aa0 0fed2fd 00077de 
0fd2955 0fbe195 0fb768d 0fec55e 000706a 
0fd53cd 0fbccf4 0fba6e6 0feb2e1 0007588 
0fdd77b 0fc0b58 0fc265f 0fea506 0003c96 
0fd0e39 0fbf8e4 0fb5d6d 0fe86d4 0005d90 
0fe0396 0fc1b69 0fc55df 0fe7312 0002c26 
0fd77eb 0fc3394 0fbc461 0fe4ca8 0002606 
0fda3d3 0fc21d3 0fbf6d4 0fe1a73 0002ae5 
0fe2ab0 0fc5e4a 0fc79c8 0fdf2d4 0fffc8c 
0fd5fa0 0fc4878 0fbaef4 0fdc48e 000131a 
0fe4d9a 0fc6d71 0fc9fe2 0fdb3fa 0fffd3b 
0fdb767 0fc9013 0fc03cc 0fda5d9 0fffbe0 
0fdd1b1 0fc82fb 0fc2444 0fd9af5 0fffdce 
