0fb3c9d 0fa5e66 0fa2c64 00246ad 0e22c3b 
0fa7012 0f9b1ce 0f95fbb 0029576 0e22b67 
0fb3050 0fa3093 0fa21c2 00259c2 0e23ef2 
0fada6b 0fa223f 0f9c994 0026262 0e2437d 
0fac475 0f9d97b 0f9b5f4 002810c 0e246cb 
0fb5ae0 0fa7b1a 0fa4b6f 0023365 0e2546c 
0fa919b 0f9d0b9 0f981ca 00280d8 0e2557a 
0fb4f95 0fa4d61 0fa41d9 001f813 0e272f2 
0faeee9 0fa34aa 0f9df1e 001ee39 0e2959f 
0fad3c7 0f9e384 0f9c56a 00263e3 0e2b1d6 
0fb6c9f 0fa89fc 0fa5ef0 0004070 0e2c553 
0faa66d 0f9e494 0f996c9 0026451 0e2bf32 
0fb6c7b 0fa6882 0fa5fce 000d120 0e2c2e1 
0fb152a 0fa5a0a 0fa0660 000f69b 0e2c0ef 
0fafdd7 0fa0d35 0f9f017 0021bbc 0e2c70a 
0fb991a 0fab386 0fa8b82 0ff18c4 0e2d619 
0fad1bf 0fa0d22 0f9c2c5 0022082 0e2d3af 
0fb9500 0fa8ee1 0fa88a0 0001d74 0e2dc50 
0fb40b5 0fa809d 0fa3213 00050b3 0e2e002 
0fb2886 0fa32f7 0fa1afe 001e02c 0e2ea53 
0fbc75a 0fadd7b 0fab9bd 0febe52 0e2fb08 
0fb0439 0fa3a3b 0f9f569 001f0d3 0e2f3d0 
0fbc736 0fabcfb 0fabb0e 0001030 0e300a7 
0fb764e 0fab3d3 0fa67dd 0007318 0e304f9 
0fb5dc6 0fa6bbd 0fa5062 001e231 0e2f795 
0fc022e 0fb1a30 0faf4e7 0ff1ede 0e2ea4d 
0fb3cb0 0fa70b3 0fa2dfd 001e536 0e2e79d 
0fbf7de 0fae8ed 0faebd6 00072f2 0e311ee 
0fba218 0fad5f2 0fa93c1 000b780 0e342b3 
0fb7ccf 0fa80b8 0fa6fa0 001d3ee 0e3767c 
0fc192f 0fb28e0 0fb0c5b 0ff1468 0e3a5cb 
0fb4e33 0fa7f20 0fa4003 001cd18 0e3cba9 
0fc0316 0faf595 0faf781 0ffe94c 0e4276f 
0fba846 0fae3da 0fa9aa1 0ffe91e 0e48768 
0fb7e1f 0fa8bce 0fa71e8 001a0cb 0e4daba 
0fc1531 0fb2bd7 0fb08ab 0fe916a 0e53885 
0fb4658 0fa7d4f 0fa391b 001bf47 0e57a63 
0fbfbee 0faf6d8 0faf138 000b1bb 0e5b3c7 
0fba962 0fae4a2 0fa9c48 0010570 0e5ee85 
0fb7f2b 0fa89a7 0fa7346 001e671 0e63563 
0fc1efd 0fb3229 0fb13af 00004cb 0e66768 
0fb513f 0fa7e3d 0fa4420 001e9c5 0e69c85 
0fc0016 0faece2 0faf49b 001b9e8 0e6ec30 
0fbacc4 0fae47e 0fa9f43 001c10a 0e72312 
0fb8863 0fa9dfa 0fa7d68 001e594 0e723f6 
0fc2f60 0fb4a78 0fb236f 0019639 0e7297d 
0fb6773 0fa9fb0 0fa5b8b 001de62 0e7457d 
0fc1bac 0fb135c 0fb1195 001a72b 0e76efb 
0fbd164 0fb1010 0fac4fd 001a8be 0e78e87 
0fba739 0fabaf2 0fa9d0a 001cda9 0e7b450 
0fc4697 0fb5e7b 0fb3b4c 00182b0 0e7ec36 
0fb7928 0faafc3 0fa6db7 001d031 0e82c21 
0fc2750 0fb2177 0fb1d98 001a0e1 0e877c7 
0fbd983 0fb1206 0facd79 001a32b 0e89d93 
0fba58d 0fab35d 0fa9bdc 001ca9e 0e8bec3 
0fc4489 0fb5858 0fb399a 0017da9 0e8e0b8 
0fb75fa 0faacf5 0fa6a19 001c82a 0e8ee0a 
0fc248e 0fb238f 0fb1a50 0019136 0e905f0 
0fbdad0 0fb193b 0face22 0018f4a 0e90d97 
0fbaa0d 0fabb57 0fa9fb4 001b220 0e9026c 
0fc4526 0fb5914 0fb3990 00163cb 0e915ac 
0fb73dd 0faa785 0fa67e5 001ad68 0e91229 
0fc1b77 0fb1389 0fb115b 0017a21 0e92132 
0fbce53 0fb0bae 0fac202 0017d4e 0e91aee 
0fb98ea 0faac59 0fa8ec7 001a64a 0e90a4e 
0fc344b 0fb4b97 0fb290f 0015b37 0e91109 
0fb5f1c 0fa97be 0fa5357 001a5f0 0e918e9 
0fbfffa 0fafac8 0faf610 00173cb 0e92a76 
0fbadeb 0fae39e 0faa1ae 00176c5 0e92d59 
0fb6f72 0fa78f5 0fa65a8 001a35d 0e922fd 
0fc0c8a 0fb1779 0fb01de 00157e3 0e90f09 
0fb3ff1 0fa6f50 0fa34e6 001a187 0e8e51c 
0fbe96e 0fad8e4 0fadff2 0017044 0e8f929 
0fb90b1 0fac0f2 0fa84cb 0017f56 0e9929e 
