0fbda00 0fe9599 0fb5ca3 0fac1f3 0fb3000 
0fb6a99 0fe81b6 0fafa76 0fa4f76 0fadccb 
0fb97f4 0febb80 0fb16c4 0fa7fc3 0fae921 
0fbc537 0ff83bf 0fb4d50 0faa9cd 0fb2d54 
0fb5090 0015786 0fad8ef 0fa3888 0fab4ab 
0fbe327 0fff86d 0fb619d 0fac984 0fb38c5 
0fb70ef 000eeba 0fafd29 0fa548f 0fae0d1 
0fb9bf2 0014f34 0fb1bdf 0fa85f5 0faef2d 
0fbc5cc 00136f5 0fb5045 0faabd0 0fb2fb1 
0fb56aa 0015a46 0fadfcf 0fa3e88 0fab9b4 
0fbe351 00136d0 0fb6587 0facbfb 0fb39d1 
0fb6f63 0014aa8 0fafe7d 0fa54ea 0fadfab 
0fb9f2c 0014b58 0fb1f86 0fa88c8 0faef97 
0fbc7bf 00133a1 0fb5243 0faad7a 0fb2f2e 
0fb5929 0015728 0fae1f9 0fa40c3 0fab9fc 
0fbe9ed 00131c6 0fb6c1d 0fad264 0fb3f14 
0fb7af0 001445f 0fb09f1 0fa6083 0faea64 
0fbb064 001439c 0fb312d 0fa9a32 0faff7d 
0fbdefe 0012922 0fb6ac7 0fac4fa 0fb444b 
0fb7aa7 00148a1 0fb048b 0fa626f 0fad8ad 
0fc0ec8 00120bc 0fb91f7 0faf730 0fb60c5 
0fba07d 0013289 0fb2fdf 0fa85d1 0fb0d8c 
0fbd81e 0012f91 0fb59e0 0fac1ad 0fb267b 
0fc024e 00114f3 0fb8df9 0fae850 0fb6880 
0fb9b71 00134d1 0fb266e 0fa837d 0fafac6 
0fc2cdb 0010d25 0fbb1ea 0fb159b 0fb80e9 
0fbbf6c 0011e8b 0fb5109 0faa52b 0fb2d8a 
0fbf757 0011aee 0fb79b2 0fae141 0fb473d 
0fc2489 000ff47 0fbb19d 0fb0ab5 0fb8b1e 
0fbc19a 0011caf 0fb4be0 0faa98a 0fb2006 
0fc4ff8 000f4d8 0fbd3ab 0fb3893 0fba373 
0fbe120 00105c7 0fb7145 0fac6ed 0fb4f2a 
0fc1d61 000ffe0 0fb9f2a 0fb0775 0fb6dca 
0fc4ac4 000e386 0fbd648 0fb3136 0fbb31d 
0fbead6 000ffa8 0fb73ac 0fad34d 0fb4bdd 
