0fa8a39 0fa1466 0fa64c9 0fd1cbc 0fa3a74 0fa4f99 
0fa53d6 0f9de79 0fa2e7a 0fd1b28 0fa0490 0fa1a81 
0fa7230 0f9fc00 0fa4c66 0fd1bd5 0fa21d8 0fa36a6 
0fa7f11 0fa0971 0fa59a0 0fd1bb8 0fa2fb9 0fa45cf 
0fa51b8 0f9db95 0fa2b1b 0fd1817 0fa00f1 0fa1668 
0fa904d 0fa1a81 0fa6a33 0fd17a6 0fa3fdd 0fa552f 
0fa5a95 0f9e51f 0fa34a4 0fd1673 0fa0ac3 0fa20c0 
0fa78ac 0fa0293 0fa525a 0fd16c6 0fa27b9 0fa3c8e 
0fa85f8 0fa108b 0fa6030 0fd16ef 0fa362b 0fa4c43 
0fa57cc 0f9e1df 0fa3056 0fd120b 0fa064d 0fa1ba2 
0fa97c3 0fa21d2 0fa70a0 0fd12bf 0fa4690 0fa5c03 
0fa63df 0f9ee55 0fa3d31 0fd1331 0fa1381 0fa29df 
0fa8149 0fa0b0a 0fa5a19 0fd12ad 0fa2fc3 0fa4508 
0fa8f7a 0fa19f9 0fa6917 0fd12f6 0fa3f20 0fa55ce 
0fa6440 0f9ee3b 0fa3d30 0fd1175 0fa12f1 0fa28fd 
0faa445 0fa2e4e 0fa7d50 0fd10ed 0fa5313 0fa691c 
0fa7159 0f9fbcf 0fa4ad5 0fd1132 0fa20fc 0fa37d1 
0fa9019 0fa19f4 0fa6961 0fd1192 0fa3ed9 0fa5483 
0fa9f44 0fa29e2 0fa790c 0fd1132 0fa4f10 0fa6606 
0fa7511 0f9ff1f 0fa4e0b 0fd0fe5 0fa23d9 0fa3a2a 
0fab733 0fa414f 0fa90aa 0fd10f6 0fa665d 0fa7caa 
0fa844b 0fa0ec1 0fa5df6 0fd102a 0fa341b 0fa4b3d 
0faa246 0fa2c0c 0fa7b2e 0fd0f20 0fa50cd 0fa66be 
0fab1bb 0fa3c25 0fa8b0f 0fd0ea2 0fa6149 0fa787e 
0fa8737 0fa1119 0fa5fd7 0fd0d90 0fa35d4 0fa4c5b 
0fac956 0fa534e 0faa2c1 0fd0fa5 0fa7872 0fa8f12 
0fa9746 0fa21ab 0fa71af 0fd11ea 0fa4790 0fa5f22 
0fab2ff 0fa3cad 0fa8ccb 0fd10bf 0fa6216 0fa7884 
0fac067 0fa4ac9 0fa9a8e 0fd1055 0fa7082 0fa882b 
0fa93a3 0fa1d83 0fa6d7d 0fd1026 0fa4319 0fa5a0a 
0facfc1 0fa59b5 0faa919 0fd0d74 0fa7ec7 0fa958c 
0fa9ab7 0fa2523 0fa74ec 0fd0efb 0fa4acb 0fa6260 
0fab3a3 0fa3d60 0fa8cce 0fd0d72 0fa6234 0fa7881 
0fac02d 0fa4aa9 0fa99e2 0fd0df9 0fa6fc9 0fa8753 
0fa91c1 0fa1bc6 0fa6bb3 0fd0f3b 0fa4121 0fa57d2 
0facd38 0fa573c 0faa6b8 0fd0e44 0fa7c3a 0fa92d0 
0fa958a 0fa1ff4 0fa6f18 0fd0e39 0fa4502 0fa5c75 
0faad58 0fa3716 0fa8644 0fd0d6b 0fa5ba9 0fa71ce 
0fab8c9 0fa4352 0fa922b 0fd0cfb 0fa6820 0fa7f6e 
0fa8840 0fa125e 0fa610f 0fd0bdb 0fa36ca 0fa4d64 
0fac668 0fa5092 0fa9fc4 0fd0dcd 0fa7556 0fa8bf0 
0fa8f93 0fa1a21 0fa693d 0fd0dd8 0fa3f37 0fa56a7 
0faa7a8 0fa3176 0fa80ee 0fd0d8f 0fa563b 0fa6c75 
0fab45f 0fa3ed6 0fa8e4c 0fd0e83 0fa641f 0fa7b9a 
0fa82e3 0fa0cde 0fa5c73 0fd0d77 0fa31f3 0fa48b1 
0fabf02 0fa48ff 0fa9902 0fd0ed7 0fa6e64 0fa850b 
0fa856b 0fa0fc8 0fa5fba 0fd0ea9 0fa358b 0fa4d09 
0fa9a32 0fa240e 0fa73d6 0fd0dbd 0fa490d 0fa5f27 
0faa460 0fa2f0d 0fa7ed6 0fd0e6f 0fa549a 0fa6bd5 
0fa70ee 0f9fb2d 0fa4ac1 0fd0d59 0fa2056 0fa36c4 
0faa946 0fa3399 0fa82e1 0fd0bc4 0fa5881 0fa6ed7 
0fa6f5f 0f9fa00 0fa498a 0fd0cb2 0fa1f99 0fa36a9 
0fa82ac 0fa0c96 0fa5c02 0fd0b92 0fa31a0 0fa4760 
0fa8be9 0fa168d 0fa65ab 0fd0b17 0fa3be1 0fa52d4 
0fa5960 0f9e3a4 0fa3344 0fd0bcb 0fa0907 0fa1f42 
0fa94b1 0fa1ed2 0fa6ea1 0fd0c59 0fa4468 0fa5a93 
0fa5db6 0f9e820 0fa385a 0fd0ed5 0fa0e80 0fa2596 
0fa70c0 0f9fa6c 0fa4aba 0fd0c91 0fa2025 0fa362d 
