0fa575a 0f9ddd2 0fa42a3 0fcb6ce 0faa869 0fa08f0 
0fa7d4f 0fa044e 0fa6a41 0fcba0b 0fad1cd 0fa32b3 
0fa3268 0f9b929 0fa1e2f 0fcb74d 0fa855a 0f9e619 
0fa7e86 0fa0513 0fa6a63 0fcb7ae 0fad045 0fa30f8 
0fa46e8 0f9cdd9 0fa3302 0fcb6d5 0fa9b80 0f9fc92 
0fa4f58 0f9d5a4 0fa3b1a 0fcb804 0faa059 0fa0133 
0fa7398 0f9fa42 0fa5fd1 0fcb80e 0fac733 0fa2846 
0fa295d 0f9afbc 0fa1530 0fcb7c7 0fa7c62 0f9dd16 
0fa71e6 0f9f7f4 0fa5d0e 0fcb5e3 0fac32f 0fa23cd 
0fa3656 0f9bcc2 0fa2125 0fcb3f5 0fa8a41 0f9eb28 
0fa3711 0f9bcf7 0fa1ef2 0fcaf89 0fa8562 0f9e605 
0fa5b1f 0f9e18d 0fa437f 0fcafd9 0faac1b 0fa0cb9 
0fa1104 0f9975e 0f9f947 0fcb042 0fa613a 0f9c1e2 
0fa5b09 0f9e151 0fa4307 0fcb03e 0faaa13 0fa0a6a 
0fa2596 0f9ac67 0fa0df2 0fcb063 0fa77a5 0f9d870 
0fa292e 0f9af5c 0fa10ee 0fcaffc 0fa7794 0f9d87e 
0fa4e90 0f9d523 0fa36ae 0fcafec 0fa9f5f 0fa007a 
0fa034f 0f9899f 0f9eb36 0fcaf8f 0fa536b 0f9b41c 
0fa4bd8 0f9d214 0fa3385 0fcaff7 0fa9a4c 0f9fae6 
0fa15b0 0f99c74 0f9fdd4 0fcb046 0fa671b 0f9c846 
0fa16b9 0f99cf0 0f9fe4b 0fcb0ed 0fa645c 0f9c595 
0fa39a8 0f9c063 0fa21ab 0fcb0b8 0fa8a15 0f9eb4f 
0f9ecdb 0f9734b 0f9d4b1 0fcb1b2 0fa3ca5 0f99da9 
0fa36d8 0f9bd20 0fa21c3 0fcb809 0fa8786 0f9e856 
0fa02d2 0f98972 0f9ef0c 0fcb9e4 0fa5752 0f9b860 
0fa061f 0f98c13 0f9f22f 0fcbb33 0fa572f 0f9b7e6 
0fa2d8f 0f9b400 0fa1a03 0fcbb3c 0fa80f2 0f9e23b 
0f9e12b 0f96761 0f9cd51 0fcbac8 0fa33b2 0f99557 
0fa26b9 0f9accb 0fa125a 0fcb93c 0fa776a 0f9d93b 
0f9ee4b 0f974c8 0f9d9ae 0fcb667 0fa41a5 0f9a410 
0f9e7d1 0f96d9c 0f9cfa2 0fcb05f 0fa358d 0f9976b 
0fa0a64 0f9909d 0f9f24c 0fcafad 0fa5a7f 0f9bca3 
0f9badf 0f940d6 0f9a28d 0fcafc2 0fa0a5e 0f96c5c 
0f9ff4a 0f9851c 0f9e6bd 0fcafad 0fa4d26 0f9aed0 
0f9c968 0f94fb9 0f9b14a 0fcaf8d 0fa1a51 0f97c5c 
0f9c603 0f94bc8 0f9ae60 0fcb0f6 0fa1445 0f975f1 
0f9efd3 0f9762d 0f9dbe0 0fcb8d1 0fa42fe 0f9a51e 
0f99ea3 0f924d6 0f98a05 0fcb72e 0f9f0dc 0f952f6 
0f9e1e3 0f967f2 0f9cca8 0fcb574 0fa31e6 0f9941e 
0f9ae4e 0f934dd 0f9997b 0fcb547 0fa0145 0f963fa 
0f9ad5a 0f9336b 0f9985e 0fcb644 0f9fd0c 0f95f7e 
0f9d958 0f95ffa 0f9c54b 0fcb7d7 0fa2bb1 0f98e9a 
0f99018 0f916b0 0f97bc6 0fcb765 0f9e1d3 0f944ca 
0f9dbb2 0f96248 0f9c70c 0fcb65e 0fa2b88 0f98e71 
0f9b126 0f93837 0f99c99 0fcb5f7 0fa03b2 0f96703 
0f9b5c4 0f93c32 0f9a0af 0fcb55b 0fa04c6 0f967d4 
0f9e842 0f96f1e 0f9d3ad 0fcb593 0fa397d 0f99cec 
0f9a1cd 0f92864 0f98cb9 0fcb48d 0f9f24d 0f955d1 
