0f27fd0 0e8d4f1 0f98a70 0fe09c3 0edf52f 
0f31e4e 0e96d02 0fa34ce 0fe532e 0ee9ff5 
0f2ab12 0e8fecb 0f9b51e 0fe3019 0ee24f7 
0f2dd6b 0e929dc 0f9f362 0fe2737 0ee5ff4 
0f312a7 0e96266 0fa2754 0fe6bf0 0ee9478 
0f292a4 0e8ec44 0f9a95b 0fe2b41 0ee1823 
0f3301f 0e98fb3 0fa5a49 0fe86ef 0eec947 
0f2b76b 0e91761 0f9d496 0fe5b72 0ee47aa 
0f2ecf3 0e943b4 0fa10ad 0fe512d 0ee81e6 
0f3208e 0e9772b 0fa3d86 0fe8400 0eeafb9 
0f2a3af 0e8faf0 0f9b72d 0fe343f 0ee2ec3 
0f33d0f 0e992b4 0fa5c84 0fe83dc 0eed5cb 
0f2b879 0e9129f 0f9caef 0fe54b0 0ee46e8 
0f2e36b 0e938c1 0f9fca3 0fe41f8 0ee77b2 
0f310dc 0e96010 0fa2646 0fe83b4 0eea2d5 
0f28dbf 0e8e96e 0f9a17f 0fe33aa 0ee21ef 
0f327cf 0e981da 0fa4a8e 0fe7748 0eec465 
0f2aecf 0e907d6 0f9c3d1 0fe4fe9 0ee42d0 
0f2db1d 0e9297e 0f9f7a8 0fe35c0 0ee73d3 
0f301fb 0e94f8d 0fa1e72 0fe6402 0ee9e7b 
0f28151 0e8cb9a 0f99baf 0fe01ef 0ee19ec 
0f3158c 0e95548 0fa38f3 0fe48ee 0eebb11 
0f292fb 0e8dc64 0f9aaec 0fe1923 0ee2ff8 
0f2c5f2 0e910d7 0f9e5cb 0fe1140 0ee69cd 
0f2e721 0e93a8e 0fa067c 0fe42a8 0ee8a28 
0f26911 0e8bef7 0f98485 0fdf7ca 0ee0660 
0f2fd9b 0e94bb0 0fa2168 0fe4539 0eea3b8 
0f284dc 0e8c87f 0f99b3e 0fe3b1f 0ee1ef1 
0f2b257 0e8f72a 0f9d304 0fe1f7a 0ee509f 
0f2e097 0e92e49 0fa007c 0fe5f48 0ee7b59 
0f265f2 0e8b966 0f983b5 0fe0790 0edfc22 
0f2f803 0e9426e 0fa21b2 0fe439f 0ee952a 
0f28022 0e8cb50 0f99b82 0fe192b 0ee1125 
0f2afb7 0e8f480 0f9d2ba 0fe1705 0ee47b7 
0f2d915 0e92104 0f9f9ba 0fe553e 0ee6f55 
0f25e8a 0e8ad8a 0f979fe 0fe01b1 0edee00 
0f2fb02 0e94620 0fa214a 0fe2fd6 0ee8d94 
0f28735 0e8d57b 0f99ef7 0fe0580 0ee0ad8 
0f2bab1 0e9012a 0f9d9ef 0fe06d2 0ee3df6 
0f2e537 0e92e2e 0fa013e 0fe4568 0ee6551 
0f2716f 0e8c1b5 0f98929 0fdfc4e 0edeb8d 
0f30637 0e95618 0fa285e 0fe3bd6 0ee86e9 
0f28a40 0e8da92 0f9a078 0fe0cf3 0edfdd8 
0f2c06c 0e909f8 0f9dfcd 0fe0aeb 0ee37bf 
0f2eda6 0e936ed 0fa0bf9 0fe46bc 0ee6102 
0f26c5c 0e8b471 0f98605 0fdf628 0edd886 
0f2fcf3 0e946c0 0fa2294 0fe2ff9 0ee72c5 
