0faa993 0fa46ea 0fb699b 0fadb60 0faccf3 
0fadb79 0fa7a5e 0fb9b29 0fb09c7 0fafec4 
0fad6f5 0fa7510 0fb96e4 0fb091d 0fafa9e 
0fab00d 0fa4d87 0fb6f91 0fadf29 0fad2d1 
0faf992 0fa9897 0fbb8f7 0fb2970 0fb1cc3 
0fab02e 0fa4d05 0fb6f9b 0fae175 0fad2ff 
0fae33b 0fa81aa 0fba251 0fb10f0 0fb05cb 
0fadf7c 0fa7d40 0fb9eee 0fb1111 0fb0288 
0fab732 0fa5452 0fb766f 0fae5bf 0fad9b2 
0fb00ec 0fa9fb1 0fbc2c5 0fb3308 0fb26b4 
0fab7ae 0fa548d 0fb79ce 0faeb8e 0fadd5a 
0fae9cf 0fa8885 0fbabb6 0fb1a3d 0fb0f7a 
0fae5e6 0fa8409 0fba855 0fb1a6e 0fb0c4a 
0fabda1 0fa5b5e 0fb7fd8 0faef33 0fae36c 
0fb05ab 0faa52d 0fbc81f 0fb3817 0fb2c2a 
0fabad7 0fa587e 0fb7db1 0faef4c 0fae154 
0faea5a 0fa89fa 0fbad01 0fb1b72 0fb10ee 
0fae3c8 0fa830a 0fba714 0fb1932 0fb0b4a 
0fab7a4 0fa5586 0fb79e1 0fae956 0faddea 
0fafe76 0fa9dbe 0fbc0ab 0fb30c4 0fb2554 
0fab0ad 0fa4e01 0fb7354 0fae4cc 0fad761 
0fadf1e 0fa7e17 0fba16e 0fb0f75 0fb05ad 
0fad8c6 0fa76f9 0fb9b80 0fb0d20 0faffea 
0faaa1b 0fa47b7 0fb6c8f 0fadb56 0fad0a0 
0faf08f 0fa8fcf 0fbb325 0fb225c 0fb17a1 
0faa1b6 0fa3f42 0fb6497 0fad534 0fac88d 
0face9a 0fa6dd2 0fb90ed 0fafe6b 0faf532 
0fac88b 0fa672b 0fb8b2d 0fafc6c 0faefc3 
0fa9857 0fa3659 0fb5aaa 0fac941 0fabee8 
0fadf58 0fa7ee7 0fba1a5 0fb10ca 0fb0670 
0fa9186 0fa2efa 0fb5414 0fac54f 0fab87e 
0fabd49 0fa5c51 0fb7f75 0faed8e 0fae406 
0fab8c8 0fa5714 0fb7b50 0faed34 0fadfee 
0fa8763 0fa250e 0fb49a9 0fab8ef 0faadd4 
0face08 0fa6d29 0fb904f 0fb0043 0faf513 
0fa7fa5 0fa1c6f 0fb4214 0fab439 0faa674 
0faa8b5 0fa46f5 0fb6acb 0fad9e9 0facf50 
0faa20f 0fa3fb0 0fb6487 0fad6ff 0fac921 
0fa6c58 0fa0954 0fb2e3f 0fa9db7 0fa9293 
0faad42 0fa4bc5 0fb6ee4 0fade1c 0fad3e4 
0fa5880 0f9f536 0fb1a4b 0fa8aa9 0fa7eef 
0fa78ff 0fa1759 0fb3a51 0faa6f3 0fa9f1e 
0fa6b9c 0fa0958 0fb2d5f 0fa9d4d 0fa923a 
0fa2c49 0f9c986 0faedf9 0fa5b07 0fa5244 
0fa6669 0fa056e 0fb285a 0fa95af 0fa8cf0 
0fa0cd1 0f9aa46 0facf22 0fa3e91 0fa334e 
0fa2855 0f9c78c 0faea60 0fa5644 0fa4e9c 
0fa1c0e 0f9ba62 0fade99 0fa4de1 0fa42d2 
0f9dd3f 0f97b17 0fa9f95 0fa0d3e 0fa0374 
0fa1b25 0f9babd 0faddba 0fa4bef 0fa4221 
0f9c80b 0f965a3 0fa8aa9 0f9fabf 0f9eec4 
0f9e96d 0f9884f 0faab40 0fa1853 0fa0f8f 
0f9e50a 0f9830e 0faa6fb 0fa17f4 0fa0b76 
0f9acf3 0f94a2c 0fa6ed7 0f9dd28 0f9d2a1 
0f9f13b 0f98fe2 0fab30e 0fa20a8 0fa16ff 
0f9a699 0f94359 0fa68c3 0f9d7ba 0f9cc08 
0f9ceb4 0f96cfa 0fa908e 0f9fc38 0f9f3e5 
0f9d434 0f971e6 0fa9679 0fa0670 0f9f9f9 
0f9a50d 0f94298 0fa6718 0f9d461 0f9ca52 
0f9f254 0f991d4 0fab4a3 0fa2192 0fa182d 
0f9af23 0f94cea 0fa71bb 0f9e040 0f9d4d1 
0f9dd28 0f97c4d 0fa9f4a 0fa0ac8 0fa0292 
0f9e655 0f984b0 0faa8cc 0fa1876 0fa0c1e 
0f9bb40 0f9591c 0fa7d91 0f9eae5 0f9e04d 
0fa0b3a 0f9aaa0 0facdc0 0fa3b24 0fa30c0 
0f9ca58 0f967c0 0fa8d12 0f9fc9f 0f9efab 
0f9fa15 0f998e7 0fabc40 0fa286c 0fa1f2a 
0fa0723 0f9a527 0fac9a1 0fa39d7 0fa2cad 
0f9dec7 0f97c2e 0faa0e7 0fa0f05 0fa0390 
0fa3466 0f9d350 0faf65e 0fa6571 0fa59b1 
0f9f966 0f99674 0fabba4 0fa2c78 0fa1ea4 
0fa2f65 0f9ce27 0faf159 0fa5efb 0fa5477 
0fa4258 0f9e0a6 0fb04b8 0fa762c 0fa6806 
0fa1f20 0f9bcc3 0fae141 0fa50dd 0fa4449 
