0fd1fb5 0fc5ae8 001e043 0fd1a3f 0fc5780 
0fd24ed 0fc6061 0015e22 0fd2fb4 0fc5b9c 
0fccfdc 0fc0a79 0016cad 0fcd096 0fc06fe 
0fd50cf 0fc8b9e 001b76b 0fd4da3 0fc8794 
0fcd25a 0fc0d54 000b885 0fcda18 0fc0832 
0fd19c8 0fc5433 001e48d 0fd0ee4 0fc50b1 
0fd2106 0fc5ba4 00160e4 0fd2676 0fc569c 
0fccb05 0fc0587 0016959 0fcc8a3 0fc016a 
0fd4b1b 0fc8602 001bcd2 0fd489b 0fc81bb 
0fccc65 0fc0794 000b76a 0fcd732 0fc026a 
0fd13fc 0fc4f24 001e911 0fd0efe 0fc4b85 
0fd1ba4 0fc573e 0016603 0fd2766 0fc51e4 
0fcc566 0fc0126 00167ce 0fcc934 0fbfcab 
0fd46cc 0fc8269 001c0b5 0fd489b 0fc7e28 
0fcc9d4 0fc0535 000ba66 0fcd4c3 0fbfff5 
0fd112d 0fc4c33 001eb1b 0fd0980 0fc4856 
0fd1a5f 0fc55a8 001664b 0fd2333 0fc5023 
0fcc344 0fbfe86 0016734 0fcc431 0fbf9fb 
0fd4554 0fc80b2 001c218 0fd451b 0fc7c2e 
0fcc7d3 0fc03a0 000b673 0fcd48b 0fbfdfb 
0fd0d8d 0fc48f6 001ecc2 0fd0789 0fc44cb 
0fd1743 0fc52ba 00168d0 0fd2084 0fc4cef 
0fcbf0e 0fbfa3a 00166ce 0fcbf2d 0fbf576 
0fd4166 0fc7cbf 001c716 0fd3f1a 0fc77eb 
0fcc693 0fc022e 000baa2 0fcd171 0fbfc56 
0fd0b03 0fc4661 001f008 0fd04d2 0fc421d 
0fd168b 0fc5251 0016c1b 0fd2166 0fc4c6b 
0fcbe3f 0fbf9fe 00167a9 0fcc103 0fbf51f 
0fd4084 0fc7c53 001c7db 0fd40b7 0fc776b 
0fcc43d 0fc000f 000be86 0fccfd5 0fbfa0d 
0fd097e 0fc4504 001f138 0fd026e 0fc4080 
0fd1607 0fc51c9 0017001 0fd1f5a 0fc4baa 
0fcbe2d 0fbf987 001681f 0fcbf6a 0fbf4a4 
0fd412f 0fc7cc3 001c7fd 0fd3f42 0fc77b8 
0fcc6af 0fc028d 000c0b0 0fcd216 0fbfc6b 
0fd0b5f 0fc46c2 001efc9 0fd04e5 0fc424d 
0fd1930 0fc54fb 001703f 0fd2367 0fc4ee6 
0fcbfa7 0fbfb5f 0016806 0fcc166 0fbf64c 
0fd43d1 0fc7f93 001c4ce 0fd432c 0fc7a8e 
0fcc97f 0fc0565 000c316 0fcd502 0fbff54 
0fd0c28 0fc47d1 001ee91 0fd05ae 0fc4344 
0fd1b65 0fc576f 001720b 0fd254e 0fc5134 
0fcc1b3 0fbfda7 001679a 0fcc34e 0fbf85f 
0fd45a0 0fc81a8 001c330 0fd44fe 0fc7c60 
0fccb96 0fc07ca 000c56e 0fcd72f 0fc0174 
0fd0f54 0fc4b2f 001ebcb 0fd0845 0fc4665 
0fd1df3 0fc5a35 00172b4 0fd277f 0fc53ca 
0fcc455 0fc0055 00166bd 0fcc57d 0fbfaef 
0fd486b 0fc8474 001c0a1 0fd473f 0fc7f33 
0fccf2c 0fc0b6d 000c352 0fcdab1 0fc0512 
0fd123f 0fc4e34 001e8ca 0fd0b8d 0fc4963 
0fd2345 0fc5f87 0016fe8 0fd2d09 0fc5928 
0fcc860 0fc0480 0016277 0fcc9d6 0fbff04 
0fd4c10 0fc8847 001bd24 0fd4ad5 0fc82e1 
0fcd3dc 0fc104c 000c59f 0fcdf66 0fc09bf 
0fd161a 0fc522d 001e4b8 0fd0f2a 0fc4d3d 
0fd27cb 0fc6433 0016faf 0fd3140 0fc5dbe 
0fccc9a 0fc08d7 00160b8 0fcce18 0fc0353 
0fd5147 0fc8d92 001b80d 0fd4fe1 0fc8829 
0fcd8c0 0fc1539 000c3ae 0fce467 0fc0eb3 
0fd1905 0fc5516 001e148 0fd124a 0fc503d 
0fd2c0a 0fc6877 0016c9a 0fd35bd 0fc6216 
0fcd051 0fc0c85 0015c53 0fcd22b 0fc0715 
0fd53fe 0fc9045 001b531 0fd5300 0fc8af9 
0fcdc2e 0fc188c 000c0d1 0fce873 0fc1239 
0fd1c0a 0fc57fb 001ddbf 0fd1640 0fc5346 
0fd2f41 0fc6b8e 0016c11 0fd39a5 0fc6552 
0fcd232 0fc0e33 001596b 0fcd4f8 0fc08e8 
0fd5643 0fc9233 001b349 0fd55e0 0fc8d1d 
0fcdeb7 0fc1ac6 000c1ec 0fceb4b 0fc1491 
0fd1e56 0fc5a0c 001dba4 0fd18e0 0fc5570 
0fd31c5 0fc6dbc 0016b7b 0fd3c3e 0fc67a2 
0fcd56e 0fc1131 0015868 0fcd861 0fc0bf8 
0fd596d 0fc9542 001b059 0fd5949 0fc9038 
0fce20c 0fc1e10 000c3d9 0fceefe 0fc17dd 
0fd2086 0fc5c30 001d99e 0fd1b61 0fc579e 
0fd3496 0fc709b 0016c48 0fd3f20 0fc6a7c 
0fcd73d 0fc1319 001587e 0fcda55 0fc0ddd 
0fd5bfd 0fc97de 001adc7 0fd5ba8 0fc92c7 
0fce50c 0fc2108 000c4e4 0fcf1b7 0fc1acc 
0fd22df 0fc5e81 001d72b 0fd1d8f 0fc59d6 
0fd37fb 0fc73ec 0016c4c 0fd4247 0fc6db2 
0fcd915 0fc14ce 001580f 0fcdc2a 0fc0f90 
0fd5df7 0fc99ae 001ac17 0fd5d9c 0fc94aa 
0fce746 0fc2332 000c5e8 0fcf410 0fc1ced 
0fd23df 0fc5f6c 001d616 0fd1ec7 0fc5ac2 
0fd3978 0fc7560 0016b8d 0fd440f 0fc6f2f 
0fcd947 0fc1516 0015681 0fcdcdc 0fc0fc5 
0fd5d5c 0fc9921 001ac78 0fd5d3b 0fc940a 
0fce717 0fc230a 000c427 0fcf403 0fc1caa 
0fd2317 0fc5eb3 001d5c5 0fd1dd9 0fc59f3 
0fd3996 0fc757f 0016b85 0fd43c7 0fc6f2d 
0fcda56 0fc1610 00153eb 0fcdd6a 0fc10b3 
0fd5d8d 0fc9955 001ac5b 0fd5d18 0fc9422 
0fce687 0fc228f 000c4a0 0fcf375 0fc1c1b 
0fd2249 0fc5ddb 001d67b 0fd1d0a 0fc5909 
0fd37d4 0fc73bc 0016bee 0fd421e 0fc6d69 
0fcd6fb 0fc12c7 00151f9 0fcda43 0fc0d5f 
0fd5c23 0fc97ec 001ae17 0fd5b97 0fc92c2 
0fce562 0fc2167 000c8e2 0fcf22a 0fc1af7 
0fd2028 0fc5bef 001d8de 0fd1b03 0fc5711 
0fd381f 0fc742e 0017090 0fd4276 0fc6dd5 
0fcd800 0fc13e6 00157ab 0fcdb74 0fc0e77 
0fd5ce5 0fc98cc 001ad61 0fd5c90 0fc939b 
0fce7a3 0fc23c0 000c77a 0fcf495 0fc1d47 
0fd20fc 0fc5cd2 001d73e 0fd1bf5 0fc57f1 
0fd3899 0fc74c3 0016e2c 0fd4308 0fc6e5f 
0fcd71b 0fc132e 001517c 0fcdadd 0fc0dad 
0fd5af6 0fc970e 001aeaf 0fd5ad3 0fc91cd 
0fce468 0fc20c6 000c17a 0fcf1ca 0fc1a3d 
0fd1cdf 0fc58f5 001d98e 0fd1842 0fc53fe 
0fd33a3 0fc700d 0016f6f 0fd3e7c 0fc698a 
0fcd079 0fc0c94 0014f28 0fcd44d 0fc06f5 
0fd534c 0fc8f6b 001b5f6 0fd533d 0fc8a11 
0fcdd00 0fc194d 000bcdf 0fcea4e 0fc12c1 
0fd140c 0fc5009 001e033 0fd0f4f 0fc4b10 
0fd2c34 0fc687b 0017298 0fd36d2 0fc6207 
0fcc8a2 0fc04c5 0014d84 0fccc85 0fbff24 
0fd4b65 0fc8788 001bdd9 0fd4b7e 0fc8231 
0fcd54c 0fc11aa 000bfb7 0fce2ad 0fc0b24 
0fd0c3b 0fc484c 001e749 0fd0772 0fc4347 
0fd25a4 0fc61ff 001774f 0fd302f 0fc5b77 
0fcc162 0fbfd85 0014cc5 0fcc529 0fbf7dd 
0fd442a 0fc8044 001c4f7 0fd4421 0fc7ae1 
0fcce5e 0fc0aa8 000bda7 0fcdb87 0fc041d 
0fd0525 0fc4119 001ec9c 0fd0010 0fc3c11 
0fd1d87 0fc59e5 0017b91 0fd27cf 0fc534d 
0fcb996 0fbf5d6 0014d68 0fcbd7b 0fbf02b 
0fd3ca6 0fc78e3 001cce7 0fd3bff 0fc7370 
0fcc6f8 0fc037c 000be5e 0fcd469 0fbfcd4 
0fcfcb1 0fc38ec 001f314 0fcf7f7 0fc33d0 
0fd1655 0fc52e1 001800d 0fd209d 0fc4c3b 
0fcb242 0fbeea5 0014bf2 0fcb651 0fbe8e0 
0fd351a 0fc7180 001d437 0fd3460 0fc6bef 
0fcc08f 0fbfd25 000bb15 0fccdf7 0fbf682 
0fcf5f2 0fc3228 001f80c 0fcf0f7 0fc2d07 
0fd114c 0fc4dd1 00184ba 0fd1b74 0fc4736 
0fcacbe 0fbe91c 0014f36 0fcb0b8 0fbe367 
0fd309f 0fc6cef 001d90d 0fd2fc7 0fc6775 
0fcbc48 0fbf89f 000c057 0fcca7e 0fbf242 
0fcf0b2 0fc2d03 001fd18 0fcec10 0fc27ef 
0fd0d80 0fc4a07 00188ac 0fd179d 0fc4367 
0fca7f0 0fbe445 0014f2c 0fcac15 0fbde98 
0fd2c7d 0fc68c1 001dd63 0fd2b81 0fc633f 
0fcb949 0fbf5d5 000c208 0fcc6ab 0fbef30 
0fcedfe 0fc2a39 001fea8 0fce91b 0fc251e 
0fd0bd5 0fc4851 0018a90 0fd15cc 0fc41b9 
0fca5fe 0fbe25c 0014e59 0fca9f6 0fbdca0 
0fd2b30 0fc6791 001defd 0fd29f9 0fc6202 
0fcb8cb 0fbf56f 000c33a 0fcc622 0fbeec9 
0fcec81 0fc28d4 001ff57 0fce791 0fc23b4 
0fd0b9e 0fc4843 0018c99 0fd1585 0fc4198 
0fca511 0fbe199 0014b5c 0fca930 0fbdbcf 
0fd2b1c 0fc679e 001df37 0fd29d3 0fc61fb 
0fcb901 0fbf5ce 000c301 0fcc654 0fbef0f 
0fcec1a 0fc288e 001fed5 0fce6f3 0fc234d 
0fd0bee 0fc48bc 0018e3e 0fd159a 0fc41f5 
0fca587 0fbe22a 0014ca0 0fca9a6 0fbdc4b 
0fd2b48 0fc67db 001df7c 0fd29d7 0fc6232 
0fcba09 0fbf6df 000c7ef 0fcc75c 0fbf018 
0fcebfd 0fc2892 001ff69 0fce70d 0fc234d 
0fd0cbc 0fc499f 0019111 0fd1693 0fc42e3 
0fca56f 0fbe21a 0014d23 0fca9a6 0fbdc36 
0fd2b36 0fc67dd 001df62 0fd29c9 0fc622a 
0fcbaba 0fbf7a4 000c54c 0fcc80e 0fbf0d0 
0fcecc1 0fc295b 001fd9f 0fce7b4 0fc2414 
0fd0e49 0fc4b3b 001908f 0fd17d6 0fc4463 
0fca6b8 0fbe389 0014bfb 0fcaae0 0fbdd8b 
0fd2ce9 0fc69a6 001de2b 0fd2b5b 0fc63ec 
0fcbcb2 0fbf9a5 000cad6 0fcc9f7 0fbf2c5 
0fcedc2 0fc2a6a 001fcbe 0fce8b2 0fc2521 
0fd108a 0fc4d80 0019072 0fd1a21 0fc46be 
0fca88e 0fbe56c 00148cb 0fcaceb 0fbdf6e 
0fd2ea6 0fc6b79 001dc3e 0fd2d15 0fc65bd 
0fcbf6c 0fbfc84 000c875 0fcccb5 0fbf591 
0fcef3d 0fc2c0e 001fae4 0fcea1a 0fc26af 
0fd1367 0fc5087 0019053 0fd1ca6 0fc499e 
0fcaad8 0fbe7d5 001484b 0fcaefd 0fbe1bc 
0fd3097 0fc6d94 001da93 0fd2eda 0fc67b1 
0fcc13b 0fbfe83 000cc91 0fcce7e 0fbf756 
0fcefcc 0fc2cc4 001fa2d 0fceaaa 0fc272b 
0fd1572 0fc529c 001915c 0fd1e9f 0fc4b88 
0fcac91 0fbe97d 0014603 0fcb137 0fbe368 
0fd3299 0fc6f7e 001d88e 0fd30af 0fc69ad 
0fcc468 0fc018e 000cd10 0fcd17a 0fbfa83 
0fcf29d 0fc2f7e 001f73f 0fced3a 0fc2a08 
0fd1836 0fc5569 001912b 0fd2158 0fc4e6c 
0fcaee9 0fbebf9 0014722 0fcb32c 0fbe5c4 
0fd33a9 0fc70ac 001d782 0fd31d4 0fc6aca 
0fcc549 0fc0272 000cf31 0fcd2a2 0fbfb69 
0fcf26e 0fc2f31 001f78b 0fced78 0fc29cc 
0fd18dc 0fc55da 0019257 0fd2246 0fc4f03 
0fcaf1f 0fbebde 0014497 0fcb3c9 0fbe5dc 
0fd33be 0fc7055 001d77e 0fd329d 0fc6ac0 
0fcc69b 0fc0375 000cbff 0fcd455 0fbfc97 
