0fb5fa4 0faf85b 0fc154c 0fbbd9a 0fb8716 
0fadefe 0fa7730 0fb93f6 0fb369c 0fb0523 
0fb946b 0fb2d71 0fc4989 0fbeb6d 0fbbab6 
0faed66 0fa859d 0fba2f4 0fb4b99 0fb149e 
0fb4339 0fadbd3 0fbf7cc 0fb9636 0fb68af 
0fb5d5b 0faf602 0fc12fc 0fbbb24 0fb84b2 
0fada73 0fa7294 0fb8f79 0fb320c 0fb0086 
0fb8e52 0fb2761 0fc43b3 0fbe576 0fbb4c5 
0fae6ae 0fa7ee1 0fb9c6d 0fb4509 0fb0e2b 
0fb3ac4 0fad368 0fbef84 0fb8ded 0fb6070 
0fb53ba 0faec6d 0fc0986 0fbb19d 0fb7b64 
0facf37 0fa6772 0fb8456 0fb26cb 0faf596 
0fb82e4 0fb1bfc 0fc381a 0fbd9b9 0fba971 
0fada7b 0fa72b4 0fb9007 0fb388d 0fb01e4 
0fb2c93 0fac54d 0fbe13f 0fb7f75 0fb5231 
0fb46d5 0fadfa1 0fbfc72 0fba45a 0fb6e51 
0fac0c2 0fa58fb 0fb75ba 0fb182d 0fae6fe 
0fb746e 0fb0d7d 0fc296d 0fbcaf0 0fb9ad4 
0faccc4 0fa6500 0fb823e 0fb2aae 0faf424 
0fb1d9b 0fab65a 0fbd24c 0fb7072 0fb4338 
0fb38f5 0fad1b6 0fbee83 0fb9662 0fb606e 
0fab17b 0fa49b1 0fb665b 0fb08be 0fad7a6 
0fb64d6 0fafdea 0fc19d6 0fbbb2b 0fb8b2c 
0fabc67 0fa54b0 0fb71f5 0fb1a50 0fae3be 
0fb09bb 0faa285 0fbbe53 0fb5c54 0fb2f49 
0fb257b 0fabe43 0fbdb0c 0fb82b3 0fb4cf8 
0fa9cb0 0fa34eb 0fb5199 0faf3cb 0fac2e1 
0fb4f34 0fae855 0fc0453 0fba564 0fb75a1 
0faa6e7 0fa3f2c 0fb5c71 0fb0491 0face46 
0faf479 0fa8d3a 0fba916 0fb46e8 0fb1a16 
0fb10c7 0faa982 0fbc652 0fb6dd7 0fb383b 
0fa758c 0fa0df1 0fb2a7c 0facdaf 0fa9be6 
0fb23a0 0fabcae 0fbd8bd 0fb79c4 0fb49f0 
0fa7efe 0fa1733 0fb3480 0fadcae 0faa64c 
0facc4d 0fa64fe 0fb80f0 0fb1ea6 0faf1d1 
0faeb31 0fa83fd 0fba0da 0fb4833 0fb12a0 
0fa6212 0f9fa50 0fb171c 0fab922 0fa8845 
0fb15ef 0faaf0a 0fbcb00 0fb6bec 0fb3c4a 
0fa6fda 0fa0821 0fb2572 0facd78 0fa972d 
0fabcc9 0fa5596 0fb717b 0fb0f1d 0fae245 
0fadc11 0fa74df 0fb91aa 0fb38fa 0fb036a 
0fa532c 0f9eb6d 0fb0819 0faaa1e 0fa794a 
0fb07cf 0faa0f0 0fbbcd6 0fb5dad 0fb2e0f 
0fa638d 0f9fbd5 0fb190a 0fac0f8 0fa8ac9 
0fab117 0fa49df 0fb65c4 0fb0332 0fad692 
0fad1fd 0fa6ad1 0fb8798 0fb2ea3 0faf95b 
0fa48fa 0f9e141 0fafde1 0fa9f9a 0fa6f0a 
0faff02 0fa9823 0fbb40b 0fb5477 0fb2537 
0fa5bb2 0f9f40e 0fb1140 0fab8e2 0fa82f1 
0faa9af 0fa4285 0fb5e4d 0fafb80 0facf20 
0facbf6 0fa64d7 0fb8187 0fb2862 0faf33b 
0fa4398 0f9dbde 0faf887 0fa9a3a 0fa69a2 
0faf906 0fa9225 0fbae18 0fb4e8e 0fb1f34 
0fa56e1 0f9ef18 0fb0c6a 0fab464 0fa7e1b 
0faa26c 0fa3b06 0fb5709 0faf4cb 0fac7e6 
0fac5d3 0fa5e6a 0fb7b70 0fb22fc 0faed3e 
0fa3c3a 0f9d432 0faf14a 0fa9409 0fa627a 
0faf20b 0fa8ad6 0fba756 0fb48ec 0fb1886 
0fa504b 0f9e826 0fb05ec 0faaf0a 0fa77c9 
0fa9ba3 0fa33e4 0fb505e 0faef66 0fac164 
0fac0e8 0fa5941 0fb76b5 0fb1f49 0fae89e 
0fa3703 0f9cec5 0faec22 0fa8fc9 0fa5d73 
0faed91 0fa8625 0fba2dc 0fb4515 0fb1438 
0fa4de1 0f9e5a6 0fb03b2 0faad25 0fa759d 
0fa98df 0fa311a 0fb4dcf 0faecfd 0fabed1 
0fabf7b 0fa57c9 0fb756f 0fb1df7 0fae74a 
0fa3615 0f9cdcd 0faeb3a 0fa8ee5 0fa5ca7 
0faeceb 0fa8570 0fba219 0fb4451 0fb1393 
