0fb089c 0fa9b8b 0facebe 
0fab24a 0fa4509 0fa77b5 
0facc81 0fa5e15 0fa907d 
0fb3366 0fac48c 0faf653 
0fb5a5f 0faec77 0fb1e8e 
0fb0bc6 0fa9f00 0fad2e6 
0fab4d9 0fa47e3 0fa7cdc 
0face54 0fa603a 0fa961e 
0fb356f 0fac6de 0fafcbf 
0fb5d14 0faef60 0fb249b 
0fb0ee6 0faa23d 0fad73b 
0fab788 0fa4a9f 0fa803d 
0fad045 0fa6224 0fa9893 
0fb36eb 0fac848 0fafeeb 
0fb5efd 0faf128 0fb2723 
0fb10d5 0faa3fc 0fad976 
0fab962 0fa4c4a 0fa81fb 
0fad24d 0fa640b 0fa9a74 
0fb38cb 0faca20 0fb00ea 
0fb605a 0faf298 0fb2923 
0fb1289 0faa5de 0fadbf4 
0fabaa8 0fa4dd7 0fa8407 
0fad370 0fa656e 0fa9c1a 
0fb39f0 0facb71 0fb0235 
0fb6190 0faf3fb 0fb2a35 
0fb13de 0faa74d 0fadcf4 
0fabb9a 0fa4eca 0fa8491 
0fad3d3 0fa65d1 0fa9c30 
0fb3a5c 0facbdb 0fb027d 
0fb6322 0faf582 0fb2bc2 
0fb164d 0faa9b5 0fadf78 
0fabe0a 0fa512e 0fa8716 
0fad5ea 0fa67d6 0fa9e36 
0fb3c80 0facdf2 0fb047b 
0fb6575 0faf7cc 0fb2de3 
0fb182b 0faab8a 0fae12d 
0fac03b 0fa535f 0fa8945 
0fad84b 0fa6a37 0faa0cf 
0fb3efc 0fad068 0fb0751 
0fb67b4 0faf9fd 0fb3086 
0fb1ae8 0faae40 0fae447 
0fac27a 0fa559d 0fa8bcd 
0fada1a 0fa6c0e 0faa2c8 
0fb40e9 0fad25c 0fb0949 
0fb69cd 0fafc1d 0fb328d 
0fb1cff 0fab05e 0fae64a 
0fac4d5 0fa5800 0fa8e0b 
0fadc27 0fa6e20 0faa4c8 
0fb427c 0fad3fb 0fb0af1 
0fb6bd4 0fafe33 0fb34c9 
0fb1f6c 0fab2d6 0fae8f4 
0fac729 0fa5a57 0fa9093 
0fade26 0fa701f 0faa6df 
0fb4545 0fad6c1 0fb0daf 
0fb6e83 0fb00e2 0fb3762 
0fb218c 0fab503 0faeaf5 
0fac913 0fa5c5c 0fa9263 
0fae07b 0fa728c 0faa91e 
0fb476d 0fad909 0fb0fd3 
0fb715c 0fb03dc 0fb3a44 
0fb248e 0fab80f 0faedee 
0facb86 0fa5ebc 0fa94c4 
0fae29b 0fa749a 0faab29 
0fb498e 0fadb10 0fb11dc 
0fb739c 0fb05fa 0fb3c5f 
0fb26aa 0faba13 0faeffb 
0facded 0fa610b 0fa971a 
0fae46a 0fa7647 0faace0 
0fb4bc4 0fadd29 0fb13f8 
0fb7648 0fb0887 0fb3eef 
0fb297b 0fabcbd 0faf2c3 
0fad061 0fa6371 0fa99a1 
0fae6a2 0fa787a 0faaf50 
0fb4e31 0fadf7f 0fb169a 
0fb79eb 0fb0c0f 0fb42c3 
0fb2d89 0fac0c8 0faf707 
0fad43e 0fa6747 0fa9da3 
0faeb1d 0fa7ce8 0fab3cc 
0fb52c6 0fae410 0fb1b2e 
0fb7df6 0fb1022 0fb46cd 
0fb31ae 0fac4e4 0fafb16 
0fad868 0fa6b63 0faa1b8 
0faef00 0fa80c4 0fab7b3 
0fb5708 0fae84b 0fb1f7b 
0fb8262 0fb1483 0fb4b39 
0fb36a9 0fac9e0 0fb0008 
0fadd39 0fa7040 0faa686 
0faf361 0fa852c 0fabc03 
0fb5b4b 0faec8e 0fb239d 
0fb864b 0fb187c 0fb4f05 
0fb398e 0facce8 0fb02d7 
0fadfaf 0fa72cb 0faa8ea 
0faf593 0fa8771 0fabe22 
0fb5cbc 0faee13 0fb24fc 
0fb87dc 0fb1a14 0fb508a 
0fb3b6f 0faceb7 0fb04b0 
0fae0dc 0fa73f4 0faaa07 
0faf642 0fa8829 0fabeb8 
0fb5d88 0faeeea 0fb25b7 
0fb889b 0fb1ad8 0fb514d 
0fb3be1 0facf31 0fb0519 
0fae0dd 0fa73f4 0faa9ff 
0faf584 0fa8761 0fabe05 
0fb5cfe 0faee56 0fb2530 
0fb88d0 0fb1b03 0fb516c 
0fb3c06 0facf45 0fb053b 
0fae0f3 0fa7411 0faaa02 
0faf59d 0fa8789 0fabde5 
0fb5cbf 0faee24 0fb24c0 
0fb87b1 0fb19ec 0fb5024 
0fb3af0 0face39 0fb03f9 
0fadf54 0fa7276 0faa859 
